cn,sv,vi
"座上客常滿
樽中酒不空","Tọa thượng khách thường mãn;
Tôn trung tửu bất không.","Trên chiếu khách không ngớt;
Trong và rượu chẳng vơi."
"桑蔬滿園供閑趣
蘭桂森庭獻壽章","Tang sơ mãn phố cung nhàn thú;
Lan quế sâm đình hiến thọ chương.","Hưởng thú nhàn rau dưa thanh đạm;
Vui tuổi thọ lan quế xum vầy."
"丹駕自天來城郭以前開李帝
一聲從大振山河依醬笑高王","Đan giá tự thiên lai, thành quách dĩ tiền khai Lý đế;
Nhất thanh tòng đại chấn, sơn hà y cựu tiếu Cao vương.","Từ trời giáng xuống, thành quách ngàn xưa mở nghiệp nhà Lý;
Sấm vang mặt đất, núi sông như cũ cười diễu Cao Biền."
"舊邦文雅傳先進
古道儀型易後生","Cựu bang văn nhã truyền tiên tiến;
Cổ đạo nghi hinh dịch hậu sinh.","Phong văn nước cũ truyền người nước;
Mực thước đạo xưa dẫn kẻ sau."
"南海聖神西土佛
文林山水太圍祠","Nam Hải thánh thần Tây thổ Phật;
Văn Lâm sơn thủy Thái Vi từ.","Thánh thần vùng Nam Hải có đức Phật Tây thổ;
Sông núi đất Văn Lâm tạo dựng đền Thái Vi."
"天啓聖明黎前李後
地鍾神秀檜嶺梧江","Thiên khải thánh minh Lê tiền Lý hậu;
Địa chung thần tú Cối lĩnh Ngô giang.","Trời mở thánh minh, Lê tiền Lý hậu;
Đất thần hun đúc, núi Cối sông Ngô."
"成名多在窮居日
得志常因處閑時","Thành danh đa tại cùng cư nhật;
Đắc chí thường nhân xử khốn thời.","Thành danh nếm trải thời gian khổ;
Toại chí từng qua buổi khốn cùng."
"關河是客情非客
聲氣同吾品亦吾","Quan hà thị khách tình phi khách;
Thanh khí đồng ngô phẩm diệc ngô.","Nước non như khách, tình không khách;
Chí hướng cùng ta, tính giống ta."
"福至平安天澤降
時來祿利地滋生","Phúc chí bình an thiên trạch giáng;
Thời lai lộc lợi dịa tư sinh.","Có phúc bình yên do trời giúp;
Gặp thời lợi lộc bởi đất sinh."
"根深不怕風搖動
樹正無愁月影斜","Căn thâm bất phạ phong dao động;
Thụ chinh vô sầu nguyệt ảnh tà.","Rễ sâu chẳng sợ cành lay động;
Cây thẳng không lo bóng xế tà."
"白首仍然心自壯
青雲猶且志彌堅","Bạch thủ nhưng nhiên tâm tự tráng;
Thanh vân do thả chí di kiên.","Đầu bạc nhưng lòng còn tráng kiện;
Mây xanh vẫn tỏ chí kiên cường."
"筆樹有花兄弟樂
書田無稅子孫耕","Bút thụ hữu hoa huynh đệ lạc;
Thư điền vô thuế tử tôn canh.","Cây bút có hoa, vui hưởng thỏa thuê huynh đệ;
Ruộng thư không thuế, cấy cầy mặc sức tử tôn."
"四方弧矢男兒債
萬里晨昏孝子身","Tứ phương hồ thỉ nam nhi trái;
Vạn lý thần hôn hiếu tử thân.","Tài cung kiếm bốn phương, ấy là nợ nam nhi;
Đạo thần hôn vạn dặm, phải tròn phận hiếu tử."
"萬古功成名顯達
千秋德盛姓繁榮","Vạn cổ công thành danh hiển đạt;
Thiên thu đức thịnh tính phốn vinh.","Muôn thuở công thành danh hiển đạt;
Nghìn thu đức sáng họ phồn vinh."
"義仁積聚千年盛
福德栽培萬代享","Nghĩa nhân tích tụ thiên niên thịnh;
Phúc đức tài bồi vạn đại hanh.","Chất chứa nghĩa nhân nghìn thuở thịnh;
Trau dồi phúc đức vạn đời vui."
"木出千枝由有本
水流萬派溯從源","Mộc xuất thiên chi do hữu bản;
Thủy lưu vạn phái tố tòng nguyên.","Cây chung nghìn nhánh sinh từ gốc;
Nước chảy muôn dòng phát tại nguồn."
"本根色彩於花葉
祖考精神在子孫","Bản căn sắc thái ư hoa diệp;
Tổ khảo tinh thần tại tử tôn.","Sắc thái cội cành hoa lá hiện;
Tinh thần tiên tổ cháu con nêu."
"萬古乾坤興再造
九霄日月映重光","Vạn cổ càn khôn hưng tái tạo;
Cứu tiêu nhật nguyệt ánh trùng quang.","Muôn thuở đất trời bừng đổi mới;
Chín tầng nhật nguyệt tỏa sáng trong."
"一勤天下無難事
百忍堂中有太和","Nhất cần thiên hạ vô nan sự;
Bách nhân đường trung hữu thái hòa.","Một chữ cần, thiên hạ không còn việc khó;
Trăm điều nhẫn, gia đình luôn có niềm vui."
"世上皆貪珠玉美
家中都愛子孫賢","Thế thượng giai tham châu ngọc mỹ;
Gia trung đô ái tử tôn hiền.","Thiên hạ đều tham châu ngọc quí;
Gia đình thỉ chuộng cháu con hiền."
"無享即仙哪有術
安心是药更何方","Vn sự tức tiên na hữu thuật;
An tâm thị được cánh hà phương.","Vô sụ1 ti,a, cần chi mưu thuật;
An tâm ấy thuốc, chẳng chuộng kê đơn."
"貴自辛勤方始得
榮從勞苦乃成来","Qui tự tân cần phương thủy đắc;
Vinh tòng lao khổ nãi thành lai.","Sang trọng nhờ siêng năng mới có;
Vinh hoa qua khó nhọc mà nên."
"積善洪禧留永燦
經財厚祿發長興","Tích thiện hồng hi lưu vình xán;
Kinh tài hậu lộc phát trường hưng.","Tích thiện, mãi lưu truyền phúc lớn;
Kinh tài, luôn phấn phát lộc dầy."
"得地安居收厚福
逢時生業享豐財","Đắc địa an cư thu hậu phúc;
Phùng thời sinh nghiệp hưởng phong tài.","Được đất tốt ở yên thu phúc hậu;
Gặp thời nạy sinh nghiệp hưởng tài dư."
"庭前最喜風和習
門内榮開熟氣兼","Đình tiền tối hỉ phong hòa tập;
Môn nội vinh khai thực khí huân.","Trước cửa mừng vui luồng gió ấm:
Trong nhà vinh hạnh nếp sống êm."
"天錫永齡繼引魯彭之歲月
地鍾旺氣嬉游歐亞的乾坤","Thiên tích vĩnh linh, kế dần Kiều Bành chi tuế nguyệt;
Địa chung vượng khí, hi du Âu á đích cần khôn.","Trời phú tuổi cao, năm tháng Kiều Bành còn đủng đỉnh;
Đất bồi khí vượng, đường đời Âu Á vẫn thènh thang."
"事大早行必早連
子賢增教便增明","Sự đại tảo hành tất tảo đạc;
Tử hiền tăng giáo tiện tăng minh.","Việc lớn sớm làm càng sớm đạt;
Con hiền thêm dạy sẽ thêm thông."
"勤種地早還糧父老開時常課子
多讀書省告壯鄉民無事英來城","Cần chủng địa, bảo hoàn lương, phụ lão nhàn thời thường khóa tử,
Đa độc thư, tỉnh cáo trạng, hương dân vô sự mạc lai thành.","Chăm cày ruộng, sớm nộp lương, phụ lão thừa nhàn, thường dạy trẻ;
Siêng học hành, bớt kiện tụng, lương dân vô sự, chẳng vào thành."
"佛在心真心是佛積善餘慶
察有道正道傳家施仁常樂","Phật tại tâm, chân tâm thị Phật, tích thiện dư khương;
Gia hữu đạo, chính đạo truyềngia, thi nhân thường lạc.","Phật ở lòng, lòng thành là Phật, chứa việc thiện dồi dào phúc đức;
Gia có đạo, đạolý truyền gia, làm điều nhân thoải mái tinh thần."
"怒中言發速悔遲可思可忍
世間财得難失易惟儉惟勤","Nộ trung ngôn, phát tốc hối trì, khả tư, khả nhân;
Thế gian tài, đắc nan thất dị, duy kiệm, duy cần.","Nói lúc giận, phát ngôn vội vã, hối lại đã chầy, nên phải suy phải nhịn;
Của trên đời, kiếm được khí khẳn, mất đi càng dễ, chỉ có kiệm có cần."
"仁慈再出仁慈子
孝順還生孝順兒.","Nhân từ tái xuât nhân từ tử;
Hiếu thuận hoàn sinh hiêu thuận nhi.","Nhân từ lại có con nhân từ;
Hiếu thảo lại sinh con hiếu thảo."
"常等國事如家事
每休民心似己心","Thường trừ quốc sự như gia sự;
Mỗi thể dân tâm tự kỷ tâm.","Quốc sự thường lo như gia sụ;
Lòng dân phải thấu tựa lòng ta."
"•君親恩義存天地
祖考精神在子孫","Quân thân ân nghĩa tồn thiên địa;
Tổ khảo tinh thần tại tử tôn.","Ơn nghĩa quân thân mãi cùng trời đất;
Tinh thần tiên tổ truyền dõi cháu con."
"木本水源千古念
天經地義百年心","Mộc bản thủy nguyên thiên cố niệm;
Thiên kinh địa nghĩa bách niên tâm.","Nhớ ghi muôn thuở nước nguồn, cây cội;
Lo lắng trăm năm đất nghĩa, trời kinh."
"英靈千古在
顯赫四時新","Anh linh thiên cổ tại;
Hiển hách tứ thời tân.","Anh linh còn nguyên muôn thuở;
Hiển hách đổi mới bốn mùa."
"禮樂威儀敬如神在
誕歌鼓舞樂在人和","Lễ nhạc uy nghĩ kính như thần tại;
Âu ca cổ vũ lạc tại nhân hòa.","Lễ nhạc uy nghi, kính tựa thần linh hiến hiện;
Âu ca cổ vũ, vui thay dân chúng thuận hòa."
"八寶車書通北极
萬年禮樂燦南宮","Bát bảo xa thư thông Bắc cực;.
Vạn niên lễ nhạc xán Nam cung.","Thông cực Bắc xa thư tám cõi;
Sáng cung Nam lễ nhạc muôn năm."
"五色祥雲綠聖殿
千秋恩霧覆民靈","Ngũ sắc tường vân duyên thánh điện;
Thiên thu ân vụ phú dân lĩnh.","Năm sắc mây lành viền điện thánh;
Nghìn thu mưa móc thấm lòng dân."
"欲求保安于後裔
須憑感格於先靈","Dục cầu bảo an vu hậu duệ;
Tu bằng cảm cách ư tiên linh.","Mong muốn giữ gìn cho con cháu;
Linh thiêng phù hộ ở tổ tiên."
"族姓貴尊萬代長存名繼盛
祖堂靈拜千年恒在德流光","Tộc tính quý tôn, vạn đại trường tồn danh kế thịnh;
Tổ đường linh bái, thiên niền hằng tại đức lưu quang.","Họ hàng tôn quý, chẳng phai mờ công danh muôn thuở;
Tổ miếu thiêng liêng, còn tỏa sáng phúc đức nghìn thu."
"上不負先祖貽流之慶
下足為後人瞻仰之標","Thượng bất phụ tiên tổ di lưu chi khánh;
Hạ túc vi hậu nhân chiêm ngưỡng chi tiêu.","Trên chẳng phụ phúc đức tổ tiên truyền lại;
Dưới đủ làm gương sáng con cháu noi theo."
"鞠育恩深東海大
生成義重泰山高","Cúc dục ân thâm Đông hải đại;
Sinh thành nghĩa trọng Thái sơn cao.","Ơn nuôi dạy biển Đông khôn sánh;
Nghĩs sinh thành non Thái nào bằng."
"百計不如仁德善
千金菓若子孫腎","Bách kế bất như nhân đức thiện;
Thiên kim mạc nhược tử tôn hiền.","Trắm chước chẳng bằng nhân đức tốt;
Nghìn vàng khôn sánh cháu con hiền."
"才人可作國家事
孝子能安父母心","Tài nhân khả tác quốc gia sự;
Hiếu tử năng an phụ mẫu tâm.","Người tài việc non sông gánh vác;
Con hiếu lòng bố mẹ toại nguyên."
"德承先祖千年盛
福蔭兒孫百世榮","Đức thừa tiên tổ thiên niên thịnh:
Phúc ấm nhi tôn bách thế vinh.","Nghìn năm thịnh, tổ tiên xưa tích đức;
Trăm đời vinh, con cháu được nhờ ơn."
"有作前修兼齒德
不忘後世共尊親","Hữu tác tiền tu kiêm xỉ đức;
Bất vong hậu thế cộng tôn thân.","Nền thọ đức ông cha đã dựng;
Đạo tôn thần con cháu đừng quên."
"愛國莫忘祖
仁民先睦親","Ái quốc mạc vong tổ;
Nhân dân tiên mục thân.","Yêu nước đừng quên tiên tổ;
Thương dân phải quý người thân."
"遇飲酒時須飲酒
得高歌處且高歌","Ngộ ẩm tửu thời tu ẩm tửu;
Đắc cao ca xứ thả cao ca.","Đáng nơi chè chén nên chè chén;
Xứng chỗ xướng ca hãy xướng ca."
"天光隱約情無限
月影團圓色倍妍","Thiên quang ẩn ước tình vô hạn;
Nguyệt ánh đoàn viên sắc bội nghiên.","Bầu trời man mác tình vô hạn;
Ánh nguyệt mông lung sắc tuyệt trần."
"算來世事金應躍
說到人情劍欲鳴","Toán lai thế sự kim ưng dược;
Thuyết đáo nhân tình kiếm giục minh.","Tính xem thế sự vàng như múa;
Nói đến nhân tình kiếm muốn kêu."
"利名都是夢
富貴不勝閑","Lợi danh đô thị mộng;
Phú quý bất thăng nhàn.","Danh lợi là ảo mộng;
Giàu sang chẳng bằng nhàn."
"涯邊挹石稱知己
苔里尋詩見故人","Nhai biên ấp thạch xưng tri kỷ;
Đài lý tầm thi kiến cố nhân.","Men bờ ôm đá xưng tri kỷ;
Vạch bụi tìm thơ thấy cố nhân."
"赢輪世事統棋局
濃淡人情付酒鐘","Doanh thâu thế sự nhiêu kỳ cục;
Nồng đạm nhân tình phó tửu chung.","Cuộc cờ thua được như thế sự;
Ly rượu nhạt nồng tựa nhân tình."
"平生莫作皺眉事
世上應無切齒人","Bình sinh mạc tác sô mì sự;
Thế thượng ưng vô thiết xỉ nhân.","Ở đời đâu phải thành chau mặt;
Xử thế không cần đến nghiến răng."
"庭栽棲鳳竹
池養化龍魚","Đình tài thê phượng trúc;
Trì dưỡng hóa long ngư.","Sân trồng trúc phượng đậu;
Ao nuôi cá hóa rồng."
"高見福星朝永燦
樂觀祿曜照長明","Cao kiến phúc tinh triều vĩnh xán;
Lạc quan lộc diệu chiếu trường minh.","Mừng thấy phúc trời soi sáng mãi;
Vui nhìn lộc nước chiếu dài lâu."
"清時清舍迎清客
歷酒歷杯接歷人","Thanh thời thanh xá nghênh thanh khách;
Lịch tửu lịch bôi tiếp lịch nhân.","Thanh buổi thanh nhà mừng thanh khách;
Lịch ly lịch rượu tiếp lịch nhân."
"有容游觀時何必拘拘風水議
同鄉歆慕處所謂存存道義門","Hữu khách du quan thì, hà tất câu câu phong thủy nghị;
Đồng hương hâm mộ xứ, sở vị tồn tồn đạo nghĩa môn.","Đông khách tham quan, há phải tìm nơi phong thủy đẹp;
Cả làng hâm mộ, chỉ vì chuộng cửa nghĩa nhân cao."
"建造家風新骨格
保存國教古精華","Kiến tạo gia phong tân cốt cách;
Bảo tồn quốc giáo cổ tinh hoa.","Dựng xây cốt cách gia phong mới;
Giữ gìn tinh hoa quốc giáo xưa."
"田地勤耕觀大務
詩書廣讀喜高名","Điền địa cần canh quan đại vụ;
Thi thư quảng độc hỉ cao danh.","Ruộng vườn cần mắn mùa thu lớn;
Thi văn đọc nhiều đỗ đạt cao."
"書田菽粟皆眞味
心地芝蘭有異香","Thư điền thúc túc giai chân vị;
Tâm địa chi lan hữu dị tâm.","Tuyệt trần: lúa gạo thu từ ruộng sách;
Thú vị: chi lan trỗ tại vườn tâm."
"興來文字三杯酒
老至生涯萬卷書","Hứng lai văn tự tam bôi tửu;
Lào chí sinh nhai vạn quyển thư.","Rượu ba chín ngâm nga khi hứng;
Sách vạn pho tiêu khiển tuổi già."
"春節百花春聚江山含仰望
時來萬種長成秀茂普齊資","ân tiết bách hoa xuân tụ giang sơn hàm ngưỡng vọng;
Thời lai vạn chủng trường thành tú mậu phổ tề tư.","Tiết xuân trăm hoa tụ hội núi sông đều ngưỡng vọng;
Đến thời vạn loại trưởng thành tốt tươi cùng tốt tươi."
"水繞花還西湖鍾秀
龍朝鳳舞北關恩光","Thủy nhiều hoa hoàn, Tây Hồ chung tú;
Long triều phượng vũ, Bắc khuyết ân quang.","Nước ấm, hoa ôm, Hồ Tây hun vẻ đẹp;
Rồng chầu, phượng múa, Cửa Bắc đượm ơn soi."
"南水汪洋流不盡
北仇鄭重塊難消","Nam thủy uông dương lưu bất tận
Bắc cừu trịnh trọng khối nan tiêu","Sông Nam cuồn cuộn xuôi bất tận
Thù Bắc sâu xa kết khó quên."
"德合地生千古美
恩同雨施萬家春","Đức hợp địa sinh thiên cổ mĩ
Ân đồng vũ thí vạn gia xuân","Đức hợp đất sinh nghìn xưa đẹp
Ổn cùng mưa đến vạn nhà xuân"
"一念精誠蒙福澤
千秋俸祀沐恩波","Nhất niệm tinh thành mông phúc trạch;
Thiên thu phụng tự mộc ân ba.","Thành kính một niềm ơn phúc trạch;
Phụng thờ nghìn thuở gội ân ba."
"爲佛為仙萬億化身紫竹菩陀東土鑑
樂山樂水千層紅紫青松古柏鳥能言","Vi phật, vi tiên, vạn ức hóá thân, tử trúc bồ đà Đông Thổ giám;
Nhạo sơn, nhạo thủy, thiên tằng hồng tử, thanh tùng cổ bách điều năng ngôn.","Là phạt, là tiên, vạn ức hóa thân, trúc tía bồ đà soi miền Đông Thổ;
Yêu non, yêu nước, ngàn tầng đỏ thắm, tùng xanh bách cổ chim biết hót vang."
"廟貌山容相隱約
天光雲影共徘徊","Miếu mạo sơn dung tương ấn ước;
Thiên quang vận ảnh cộng bồi hồi.","Dáng miếu, mặt non cùng thấp thoáng;
Trời quang, mây bóng vẩn vơ hồn."
"兔烏隨過往
山水自高聲","Thố ô tuỳ quá vãng;
Sơn thuy tự cao thanh.","Thỏ quạ theo nhau đến;
Non nước vốn cao thanh."
"天根月掘人來往
水色山光相送迎","Thiên căn nguyệt quật nhân lai văng:
Thủy sắc sơn quang tương tống nghênh.","Nền trời trăng mọc người lui tới;
Sắc nước màu non đưa đón nhau."
"橋引長虹棲島岸
樓當明月坐湖心","Kiều dẫn trường hồng thê đảo ngạn;
Lâu đương minh nguyệt toạ hồ tâm.","Cầu dẫn cầu vồng đậu bờ đảo;
Lầu đương trắng sáng toạ lòng hồ."
"夜月或過仙是鶴
濠梁信樂子非魚","Dạ nguyệt hoặc qua tiên thị hạc;
Hào lương tín lạc tử phi ngư.","Dưới nguyệt lướt qua tiên hay hạc;
Trên cầu đôi bạn đoán cá vui."
"虎榜龍門善根緣法
研臺筆塔大塊文章","Hồ bảng long môn thiện căn duyên pháp;
Nghiên đài bút tháp đại khối văn chương.","Bảng hổ cửa rồng theo duyên người thiện;
Đài nghiên tháp bút trời đất văn chương."
"平湖張日月
故殿小乾坤","Bình hồ trương nhật nguyệt;
Cố điện tiểu càn khôn.","Hồ phẳng in nhật nguyệt;
Điện cũ tiểu càn khôn."
".文光街斗北
亭影落湖中","Văn quang xung Đẩu Bắc;
Đình ảnh lạc hồ trung.","Ánh văn xông Bắc đẩu;
Đình bóng lọt lòng hồ."
"劍有餘靈光若水
文從大塊壽如山","Kiếm hữu dư linh quang nhược thuy;
Văn tòng đại khối thọ như sơn.","Kiếm có dấu linh quang tựa nước;
Văn theo trời đất thọ tày non."
"道有主張斗北文明之象
人同膽仰交南禮樂之都","Đạo hữu chủ trương Đẩu Bắc văn minh chi tượng:
Nhân đồng chiêm ngưỡng Giao Nam lễ nhạc chi đô.","Đạo có chủ trương, hình tượng văn minh Bắc Đẩu;
Người cùng chiêm ngưỡng, kinh đô lễ nhạc nước Nam."
"山名不在高水靈不在深自有主者
天柱賴以尊地維賴以立維此浩然","Sơn danh bất tại cao, thuy linh bất tại thâm, tự hữu chủ giả;
Thiên trụ lại di tôn, địa duy lại di lập, duy thử hạo nhiên.","Danh sơn không tại cao, thuỷ linh không tại sâu, tự thân có chủ;
Thiên trụ nhờ tôn kính, địa duy nhờ được lập, đấy khí hạo nhiên."
"位秉圖書開太運
德留翰墨燦天章","Vị bỉnh đồ thư khai thái vận;
Đức lưu hàn mặc xán thiên chương.","Nấm giữ đồ thư khai thái vận;
Đức lưu bút mực sáng thiên chương."
"一心白貫萬光旦
四海良回九夢天","Nhất tâm bạch quán vạn quang đán;
Tứ hải lương hồi cửu mộng thiên.","Một tấm lòng ngay muôn năm sáng;
Ngàn trùng tính thiện mãi trời thương."
"日朗星輝筆研文章留勝跡
鴛飛鶴降湖山地秀蠻靈聲","Nhật lăng tinh huy bút nghiên văn chương lưu thắng tích;
Loan phi hạc giáng hồ sơn địa tú uất linh thanh.","Trời sáng sao dầy nghiên bút văn chương lưu thắng tích;
Loan bay hạc giáng núi hồ đất đẹp nổi tiếng linh."
"惟聖不知惟神不測
在天成象在地成形","Duy thánh bất tri duy thần bất trắc;
Tại thiên thành tượng tại địa thành hình.","Thánh ta bất tri, thần ta bất trắc;
Trời thì thành tượng, đất lại thành hình."
"大忠以行乎大勇
至義乃本於至仁","Đại trung dĩ hành hồ đại dũng;
Chí nghĩa nãi bản ư chí nhân.","Đại trung để làm việc đại dũng;
Chí nghĩa là gốc ở chí nhân."
"誰知萬古重興業
半在關河半在仁","Thuỳ tri vạn cổ trùng hưng nghiệp;
Bán tại quan hà bán tại nhân.","Ai hay vạn cổ trùng hưng nghiệp;
Nửa ở địa hình nửa ở người."
"為國為人民文武聖神留顯號
在上在左右聰明正直贊玄機","Vị quốc vị nhân dân văn vũ thánh thần lưu hiển hiệu;
Tại thượng tại tả hữu thông minh chính trực tán huyền cơ.","Vì nước, vì nhân dân, văn vũ thánh thần danh hiển hách;
Tại trên, tại tả hữu, thông minh chính trực, máy diệu huyền."
"天上人間同陟降
聖文神武合聲靈","Thiên thượng nhân gian đồng trắc giáng;
Thánh văn thần vũ hợp thanh linh.","Trời đất nhân gian cùng thăng giáng;
Thánh văn thần vũ hợp tiếng linh."
"天何言哉願道非關我卜
神一者也音德只在中經","Thiên hà ngôn tai! Hiển đạo phi quan ngã bốc;
Thần nhất giả dã, âm đức chỉ tại trung kinh.","Trời nói gì đâu! Đường tỏ chẳng liên quan đến bói;
Thần linh nhất quán, âm đức còn trong sách Trung kinh."
"鎭北古名藍蕩漾西湖光慧日
學南今勝跡方從東土振禅開","Trấn Bắc cổ danh lam, đăng dạng Tây Hồ quang tuệ nhật;
Việt Nam kim thắng tích, phương tùng Đông Thổ chấn thiền quan.","Trấn Bắc vốn danh lam, lãng đãng Tây Hồ quang tuệ nhật;
Việt Nam nay thắng tích, ngát hương Đông Thổ giữ thiền quan."
"鎮國艷傳洱月濃雲名勝地
安花興睹歐風亞雨太平天","Trấn quốc diễm truyền, Nhị nguyệt, Nùng vân danh thắng địa;
.Yên Hoa hưng đổ, Âu phong Á vũ, thái bình thiên.","Trấn Quốc đẹp truyền, trăng Nhị, mây Nùng danh thắng địa;
Yên Hoa hưng vận, gió Âu, mưu Á, thái bình thiên."
"福等河沙作福自然得福
功垂萬世興功便見成功","Phúc đẳng hà sa tác phúc tự nhiên đắc phúc;
Công thuỳ vạn thế hưng công tiện kiến thành công.","Phúc tựa cát sông Hằng, làm phúc tự nhiên được phúc;
Công ghi cùng vạn thế, nổi công liền thấy thành công."
"為仙為佛為國王生化三身留異蹟
有洞有湖有天帝江山一帶表奇觀","Vi tiên vi phật vi quốc vương sinh hóa tam thân lưu dị tích;
Hữu động hữu hồ hữu thiên đế giang sơn nhất đới biểu kỳ quan.","Là tiên là phật là quốc vương, sinh hóa ba thân lưu tích lạ;
Có động có hồ có thiên đế, giang sơn một dải biểu kỳ quan."
"禅門開世界
梵字小乾坤","Thiền môn khai thế giới;
Phan vũ tiểu càn khôn.","Của thiền mở thế giới;
Chùa Phật nhỏ đất trời."
"天地猶依天地舊
草花今異草花前","Thiên địa do y thiên địa cựu;
Thảo hoa kim dị thảo hoa tiền.","Trời dất vẫn như trời đất cũ;
Cỏ hoa nay khác cỏ hoa xưa."
"艷龍桃園千古色
莊嚴佛像壹高臺","Diễm lệ đào viên thiên cổ sắc;
Trang nghiêm phật tượng nhất cao đài.","Vườn dào diễm lệ ngàn năm sắc;
Tượng phật trang nghiêm một đài cao."
"天保辰亨生聖帝
地靈運泰出神佔","Thiên bảo thời hanh sinh thánh đế;
Địa linh vận thái xuất thần tiền.","Trời giúp hanh thông sinh vua thánh;
Đất linh vận mở xuất thần tiên."
"鷲嶺花枯傳密法
頂山聖化顯眞王","Thứu Lĩnh hoa khô truyền mật pháp;
Đỉnh sơn thánh hóá hiển chân vương.","Hoa khô Thứu Lĩnh truyền mật pháp;
Thánh hóa Đinh sơn hiển chân vương."
"頂上花開標勝境
山中佛蹟顯名藍","Đỉnh thượng hoa khai tiêu thắng cảnh;
Sơn trung phật tích hiển danh lam.","Hoa khai dinh núi nêu thắng cảnh;
Dấu phật trong non hiện danh lam."
"佛波眾生莫論富質榮辱容
法門轉化勿談貴賤智愚人","Phật độ chúng sinh mạc luận phú bần vinh nhục khách;
Pháp môn chuyển hoá vật đàm quý tiện trí ngu nhân.","Phật cứu chúng sinh, chớ bàn khách giàu nghèo vinh nhục;
Pháp môn chuyển hóa, đừng nói kẻ ngu trí sang hèn."
"暮鼓朝鍾喚醒•塵埃名利客
法聲佛號歸回苦海夢迷人","Mộ cổ triêu chung hoán tỉnh trần ai danh lợi khách;
Pháp thanh phật hiệu quy hồi khổ hải mộng mê nhân.","Chuông sớm trống chiều gọi khách lợi danh trần ai tỉnh lại;
Tiếng kinh câu kệ đưa người mê mộng khổ hải quay về."
"真心所得千年盛
正法興傳萬代榮","Chân tâm sở đắc thiên niên thịnh;
Chính pháp hưng truyền vạn đại vinh.","Lòng thành đạt được ngàn năm thịnh;
Phép chính hưng truyền vạn thuở vinh."
"國家有永山河固
佛道無窮日月長","Quốc gia hữu vĩnh sơn hà cố;
Phật đạo vô cùng nhật nguyệt trường.","Quốc gia còn mãi non sông vững;
Đạo phật vô cùng nhật nguyệt trường."
"青地弘開傳佛道
竺林通達轉法輪","Thanh địa hoẳng khai truyền phật đạo;
Trúc lâm thông đạt chuyển pháp luân.","Thanh địa mở mang truyền đạo phật;
Trúc lâm thông đạt chuyển pháp luân."
"大殿煇皇衣缽花開迎瑞日
林寂淨菩提樹長送春風","Đại điện huy hoàng y bát hoa khai nghênh thụy nhật; •
Giác lâm tịch tĩnh bồ đề thụ trưởng tống xuân phong.","Điện lớn huy hoàng, y bát hoa khai mừng ngày tốt;
Giác làm tĩnh mịch, bổ đề cây lớn tiền gió xuân."
"聚德妙靈通方信古今蓬島
母儀神運化長留天地雪冰","Thánh đức diệu linh thông, phương tín cổ kim bồng đảo;
Mẫu nghi thần vận hóa, trường lưu thiên địa tuyết băng.","Thánh đức thật linh thông, mới biết xưa nay nơi hồng đảo;
Mẫu nghi thần biến hóá, dài lâu trời đất chốn tuyết băng."
"天本再生畸花下題詩神筆在
地仙參降顯御前製錦聖恩嘉","Thiên Bản tái sinh kỳ, hoa hạ đề thi thần bút tại;
Địa Tiên tam giáng hiển, ngự tiền chế cẩm thánh ân gia.","Đất Thiên Bản tái sinh kỳ diệu, dưới hoa đề thơ thần, bút đó;
Miền Tiên Hương tam giáng hiển linh, trước nhà vua dệt gấm, ơn đây."
"參世.金身子育群生瞻法雨
歷朝.葩衰母儀千古凜英風","Tam thế kim thân tử dục quần sinh chiêm pháp vũ;
Lịch triều ba cổn mẫu nghi thiên cổ lầm anh phong.","Thân vàng ba thế, nuôi dưỡng quần sinh xem pháp vũ;
Áo cổn mấy triều, mẫu nghi thiên cổ nổi anh phong."
"生化丰姿山若畫
好生心事石猶銘","Sinh hóa phong tư sơn nhược họạ;
Hiếu sinh tâm sự thạch do minh.","Sinh hóa phong tư non như vẽ;
Hiếu sinh tâm sự đá còn bia."
"天本降生神上等
仙香鍾育女中英","Thiên Bản giáng sinh thần thượng đẳng;
Tiên Hương chung dục nữ trung unh.","Thiên Bản giáng sinh bậc thần thượng đẳng;
Tiên Hương hun đúc bậc nữ anh linh."
"普天之下資坤德
化日之中仰聖茲","Phổ thiên chi hạ tư khôn đức;
Hóa nhật chi trung ngưỡng thánh tư.","Khắp dưới gầm trời nương khôn đức;
Giữa ngày mẫu hóa ngưỡng thánh tư."
"化而生正氣天上下
神猶在靈聲地北南","Hóa nhi sinh chính khí thiên thượng hạ;
Thần do tại linh thanh địa Bắc Nam.","Hóa như sinh chính khí khắp trời trên dưới;
Thần như tại tiếng linh vang cả Bắc Nam."
"五百餘年神故化
再參轉世聖如仙","Ngũ bách dư niên thần cố hóá;
Tái tam chuyển thế thánh như tiên.","Ngũ bách năm dư thần đã hóa;
Tái tam lần biến thánh thành tiên."
"普化工高山萬丈
濟生徳著月天秋","Phổ hóá cộng cao sơn vạn trượng;
Tế sinh đức trứ nguyệt thiên thụ.","Công phổ hóa núi cao muôn trượng;
Đức tế sinh trăng rọi nghìn thu."
"十八人神功未泯
五家興邑德長留","Thập bát nhân thần công vị dẫn
Ngũ gia hưng ấp đức trường lưu","Mười tám nhân thần công không mất
Năm nhà dựng ấp đức dài lâu"
