cn,vi
求宗室子育于宫中,Cầu tông thất tử dục vu cung trung.
下詔曰朕臨兆民久無後嗣天下重噐伊,"Hạ chiếu viết: ""Trẫm lâm triệu dân cửu vô hậu tự, thiên hạ trọng khí y.."
誰可傳宜育崇賢成慶成廣成昭成興侯之子擇其善者立之,"thuỳ khả truyền? Nghi dục Sùng Hiền, Thành Khánh, Thành Quảng, Thành Chiêu, Thành Hưng hầu chi tử, trạch kì thiện giả lập chi."
時崇賢侯子陽焕年方二歲而聰敏上深愛之遂立爲皇太子,"Thời Sùng Hiền Hầu tử Dương Hoán niên phương nhị tuế nhi thông mẫn, thượng thâm ái chi, toại lập vi hoàng thái tử."
占成献金花三朶,Chiêm Thành hiến kim hoa tam đoá.
戊戌九年宋重禾元年,Mậu Tuất cửu niên [Tống Trùng Hoà nguyên niên].
春正月詔󰱇民兵皇男,"Xuân, chính nguyệt, chiếu tuyển dân binh hoàng nam."
二月真臘國使朝見,"Nhị nguyệt, Chân Lạp quốc sứ triều kiến."
設春筵宴禮及慶成七寳㙮,Thiết xuân diên yến lễ cập khánh thành thất bảo tháp.
會詔有司僃儀仗于靈光殿偕引使觀之,"Hội chiếu Hữu ti bị nghi trượng vu Linh Quang điện, giai dẫn sứ quan chi."
三月以大黄男壮勇者充玉階興聖都及御龍兵三百五十人,"Tam nguyệt dĩ đại hoàng nam tráng dũng giả sung Ngọc Giai, Hưng Thánh, Đô cập Ngự Long binh tam bách ngũ thập nhân."
户部左侍郎李秀蠲卒,Hộ bộ Tả thị lang Lí Tú Quyền tốt.
夏五月貶禮部右侍郎黎伯玉爲内人書家,"Hạ ngũ nguyệt, biếm Lễ bộ hữu thị lang Lê Bá Ngọc vi Nội nhân thư gia."
旱祈禱得雨,"Hạn, kì đảo đắc vũ."
秋七,Thu thất..
夏,"Hạ,.."
月中元節罷執卓以遇靈仁太后盂蘭盆日故也,"nguyệt, Trung Nguyên tiết bãi chấp trác, dĩ ngộ Linh Nhân thái hậu Vu Lan bồn nhật cố dã."
占城來貢,Chiêm Thành lai cống.
九月辛巳設慶成勝嚴聖壽寺千佛會使占城使觀之,"Cửu nguyệt, Tân Tị, thiết khánh thành Thắng Nghiêm Thánh Thọ tự Thiên phật hội, sử Chiêm Thành sứ quan chi."
丙戌帝御靈光殿觀覧舟設秋筵宴禮,"Bính Tuất, đế ngự Linh Quang điện quan lãm chu, thiết thu diên yến lễ."
冬十一月遣員外郎阮伯度李寳臣遺白黒犀二及馴象三于宋,"Đông, thập nhất nguyệt, khiển Viên ngoại lang Nguyễn Bá Độ, Lí Bảo Thần di bạch hắc tê nhị, cập thuần tượng tam vu Tống."
是歲甘露降帝手書天下太平聖躬萬歲八字于碑命工𢹂之,"Thị tuế cam lộ giáng, đế thủ thư ""Thiên Hạ Thái Bình Thánh Cung Vạn Tuế"" bát tự vu bi, mệnh công huề chi."
禁京城内外諸人家奴僕不得刺墨胷脚如禁軍樣及刺龍文於申上犯者沒官,"Cấm Kinh thành nội ngoại chư nhân gia nô bộc, bất đắc thứ mặc hung cước như cấm quân dạng, cập thích long văn ư thân thượng, phạm giả một quan."
己亥十年宋宣和元年,"Kỉ Hợi, thập niên [Tống Tuyên Hoà nguyên niên]."
春正月帝幸快場捕白象,"Xuân, chính nguyệt, đế hạnh Khoái Trường bổ bạch tượng."
四月都曹潘田献白鹿,"tứ nguyệt, Đô tào Phan Điền hiến bạch lộc."
五月設慶成浄慮寺會,"Ngũ nguyệt, thiết khánh thành Tịnh Lự tự hội."
龍見于京師茶肆,Long hiện vu Kinh sư trà tứ.
秋七月造景興清闌二舟,"Thu, thất nguyệt, tạo Cảnh Hưng, Thanh Lan nhị chu."
詔諸軍造戰艦治兵甲欲親征麻沙洞也,"Chiếu chư quân tạo chiến hạm, trị binh giáp, dục thân chinh Ma Sa động dã."
八月甲申帝御靈光殿觀競舟,"Bát nguyệt, Giáp Thân, đế ngự Linh Quang điện quan cạnh chu."
設秋筵宴禮,Thiết thu diên yến lễ.
此後每歲八月競舟設宴以爲常,"Thử hậu mỗi tuế bát nguyệt cạnh chu, thiết yến dĩ vi thường."
冬十月閲武捷羽林等六兵曹之壮勇者爲玉階興聖捧日廣成武都火頭其下等爲玉階興聖捧日廣城武都御龍兵,"Đông, thập nguyệt, duyệt Vũ Tiệp, Vũ Lâm đẳng lục binh tào chi, tráng dũng giả, vi Ngọc Giai, Hưng Thánh, Bổng Nhật, Quảng Thành, Vũ Đô hoả đầu, kì hạ đẳng vi Ngọc Giai, Hưng Thánh, Bổng Nhật, Quảng Thành, Vũ Đô, Ngự Long binh."
會天下軍人盟于龍墀,Hội thiên hạ quân nhân minh vu Long Trì.
詔曰朕膺一祖二宗之業奄有蒼生是四海兆姓之民均如赤子𦤶異域懷,"Chiếu viết: ""Trẫm ưng nhất tổ nhị tông chi nghiệp, yểm hữu thương sinh, thị tứ hải triệu tính chi dân, quân như xích tử, trí dị vực hoài.."
仁而欵附殊方慕義以來賔,"nhân nhi khoản phụ, thù phương mộ nghĩa dĩ lai tấn."
且麻沙洞丁生於吾之境土而麻沙洞長世作子之藩臣,"Thả Ma Sa động đinh sinh ư ngô chi cảnh thổ, nhi Ma Sa động trưởng thế tác tử chi phiên thần."
蠢爾庸酋忽負先臣之約忘其歲貢乃鈌故典之常,"Xuẩn nhĩ dung tù, hốt phụ tiên thần chi ước, vong kì tuế cống, nãi khuyết cố điển chi thường."
朕每思之事非得已其以金日朕自将討之,"Trẫm mỗi tư chi sự, phi đắc dĩ kì dĩ kim nhật trẫm tự tương thảo chi."
咨爾将師六軍各盡汝心咸聽朕命,"Tư nhĩ tướng sư lục quân, các tận nhữ tâm, hàm thính trẫm mệnh""."
乃頒噐械授将士帝御景興舟𭛁自千秋步旌旗󰰿日劎㦸攅霜虎賁皷譟士氣百倍,"Nãi ban khí giới thụ tướng sĩ, đế ngự Cảnh Hưng chu, phát tự Thiên Thu bộ, tinh kì tế nhật, kiếm kích toàn sương, hổ bí cổ táo, sĩ khí bách bội."
是日黃龍見飛逐舟,Thị nhật hoàng long hiện phi trục chu.
行次龍水峽成慶侯献六眸龜胷上有王字,"Hành thứ Long Thuỷ hiệp, Khành khánh hầu hiến lục mâu quy, hung thượng hữu ""vương"" tự."
花浪又漲,Hoa lãng hựu trướng.
帝自将擊麻沙洞破之俘其洞長魏滂等數百人獲金幣牛羊不,"Đế tự tương kích Ma Sa động phá chi, phu kì động trưởng Nguỵ Bàng đẳng sổ bách nhân, hoạch kim tệ ngưu dương bất.."
可勝數,khả thắng sổ.
命偏将入沿邊諸洞招諭逃亡使各㱕業,"Mệnh thiên tướng nhập duyên biên chư động chiêu dụ đào vong, sử các quy nghiệp."
十二月朔㱕自麻沙洞献魏滂于太廟,"Thập nhị nguyệt, sóc, quy tự Ma Sa động, hiến Nguỵ Bàng vu Thái Miếu."
大饗将士頒四錢帛有差,"Đại hưởng tướng sĩ, ban tứ tiền bạch hữu sai."
庚子天符睿武元年宋宣和二年,"Canh Tí, Thiên Phù Duệ Vũ nguyên niên, [Tống Tuyên Hoà nhị niên]."
春正月朔群臣上表勸加上尊號仍請改元,"Xuân, chính nguyệt, sóc, quần thần thượng biểu khuyên gia thượng tôn hiệu, nhưng thỉnh cải nguyên."
𠃔之,Yết chi.
二月設廣照燈會,"Nhị nguyệt, thiết Quảng Chiếu đăng hội."
三月真臘國來貢,"Tam nguyệt, Chân Lạp quốc lai cống."
夏六月漆作甲主都鄧安献白雀,"Hạ, lục nguyệt, Tất Tác giáp chủ đô Đặng An hiến bạch tước."
秋九月皇龍見,"Thu, cửu nguyệt, hoàng long hiện."
占城來貢,Chiêm Thành lai cống.
大熟,Đại thục.
冬十月築眾僊臺,"Đông, thập nguyệt, trúc Chúng Tiên đài."
十二月以内人書家潘景牟俞都爲内常侍,"Thập nhị nguyệt, dĩ Nội nhân thư gia Phan Cảnh, Mâu Du Đô vi Nội thường thị."
辛丑二年宋宣和三年,"Tân Sửu, nhị niên [Tống Tuyên Hoà tam niên]."
春三月僧王愛献檳榔一本七莖,"Xuân, tam nguyệt, tăng Vương Ái hiến tân lang nhất bản thất kinh."
太師陳度上言此物不足爲瑞,"Thái sư Trần Độ thượng ngôn: ""Thử vật bất túc vi thuỵ""."
罷之,Bãi chi.
設慶成寳天寺重明殿會,"Thiết khánh thành Bảo Thiên tự, Trùng Minh điện hội."
夏五月大水溢大興門外,"Hạ ngũ nguyệt, đại thuỷ, ải Đại Hưng môn ngoại."
秋七月紫草番人何午献白麞,"Thu thất nguyệt, Tử Thảo phiên nhân Hà Ngọ hiến bạch chương."
造廣教寺,Tạo Quảng Giáo tự.
大蝗,Đại hoàng.
冬十月復以黎伯玉爲内常侍,"Đông thập nguyệt, phục dĩ Lê Bá Ngọc vi Nội thường thị."
壬寅三年宋宣和四年,"Nhâm Dần, tam niên [Tống Tuyên Hoà tứ niên]."
春二月僧楊須献白碧玉一玨雙玉,"Xuân, nhị nguyệt, tăng Dương Tu hiến bạch bích ngọc nhất giác song ngọc."
日玨三月戊寅設慶成隊山崇善延齡寳㙮會,"nhật giác. Tam nguyệt, Mậu Dần thiết khánh thành Đội Sơn Sùng Thiện Diên Linh bảo tháp hội."
禁諸人不得以竹木杖及利噐相毆,Cấm chư nhân bất đắc dĩ trúc mộc trượng cập lợi khí tương ẩu.
夏四月以李奉等二十人爲獄吏按民間詞訟,"Hạ, tứ nguyệt, dĩ Lí Phụng đẳng nhị thập nhân vi ngục lại, án dân gian từ tụng."
五月交,"Ngũ nguyệt, Giao.."
甲管范波司献白鹿,giáp quản Phạm Ba Tư hiến bạch lộc.
秋八月己亥帝御靈光殿觀競州,"Thu, bát nguyệt, Kỷ Hợi, đế ngự Linh Quang điện quan cạnh chu."
初制銀纓引鹵簿,Sơ chế ngân anh dẫn lỗ bạc.
丁未員外郎李元献檳榔珠一顆,"Đinh Mùi, Viên ngoại lang Lí Nguyên hiến tân lang châu nhất khoả."
詔却之,Chiếu khước chi.
冬十二月遣員外郎丁慶安袁士明遺馴象于宋,"Đông, thập nhị nguyệt, khiển Viên ngoại lang Đinh Khánh An, Viên Sĩ Minh di thuần tượng vu Tống."
時袁士明有故不僊宫賜其子崇爲奉信郎,"Thời Viên Sĩ Minh hữu cố bất tiên cung, tứ kì tử Sùng vi Phụng tin lang."
是歲詔諸收捕盗賊外亡而爲世家所奪者世家與迯亡同罪,"Thị tuế, chiếu: chư thu bổ đạo tặc ngoại vong nhi vi thế gia sở đoạt giả, thế gia dữ đào vong đồng tội."
收捕吏輙停留在家不經官者扙八十,"Thu bổ lại triếp đình lưu tại gia, bất kinh quan giả trượng bát thập."
癸卯四年宋宣和五年,"Quý Mão, tứ niên [Tống Tuyên Hoà ngũ niên]."
春正月二十五日誕聖節,"Xuân, chính nguyệt, nhị thập ngũ nhật, Đản thánh tiết."
初造推輪舞舍令宫女舞其上以献觴,"Sơ tạo suy luân vũ xá, lệnh cung nữ vũ kì thượng dĩ hiến thương."
二月設春筵,"Nhị nguyệt, thiết xuân diên.."
宴禮于崇淵殿,yến lễ vu Sùng Uyên điện.
𥘉作曲柄雨盖,Sơ tác khúc Bính vũ cái.
壬寅帝幸龍水海捕象,Nhâm Dần đế hạnh Long Thuỷ hải bổ tượng.
丁未設慶成奉慈寺會,Đinh Mùi thiết khánh thành Phụng Từ tự hội.
丙辰還京師,Bính Thìn hoàn kinh sư.
三月辛巳設慶成僊逰廣孝寺會,"Tam nguyệt, Tân Tị, Thiết khánh thành Tiên Du Quảng Hiếu tự hội."
追進聖宗及上陽皇太后,Truy tiến Thánh Tông cập Thượng Dương hoàng thái hậu.
夏四月甲申真臘國五人來附,"Hạ, tứ nguyệt, Giáp Thân, Chân Lạp quốc ngũ nhân lai phụ."
禁宰牛,Cấm tể ngưu.
詔曰牛者稼穡之所重利人不少,"Chiếu viết: ""Ngưu giả giá sắc chi sở trọng, lợi nhân bất thiểu."
今後三家爲一保不得殺而食之違者寘之刑憲,"Kim hậu tam gia vi nhất bảo, bất đắc sát nhi thực chi, vi giả trí chi hình hiến""."
秋七月真臘國來貢,"Thu thất nguyệt, Chân Lạp quốc lai cống."
八月朔帝御天安殿頒賜群臣秋夜,"Bát nguyệt sóc, đế ngự Thiên An điện ban tứ quần thần thu dạ."
帝御彾光殿觀兢舟,Đế ngự Linh Quang điện quan cạnh chu.
是夜帝御崇淵殿設金盖宴禮,"Thị dạ, đế ngự Sùng Uyên điện thiết kim cái yến lễ."
冬十月帝幸應豊行宫省歛,"Đông thập nguyệt, đế hạnh Ứng Phong hành cung tỉnh liễm."
是行造,Thị hành tạo..
𢒎橋過波剌江,phi kiều quá Ba Lạt giang.
十一月還京師,"Thập nhất nguyệt, hoàn Kinh sư."
儒道釋並献賀詩,"Nho, Đạo, Thích tịnh hiến hạ thi."
築紫霄臺,Trúc Tử Tiêu đài.
是歲大熟,Thị tuế đại thục.
甲辰五年宋宣和六年,"Giáp Thìn, ngũ niên [Tống Tuyên Hoà lục niên]."
春正月姚索献白雀,"Xuân, chính nguyệt, Diêu Sách hiến bạch tước."
閏月造祥光舟其制两腹,"Nhuận nguyệt, tạo Tường Quang chu, kì chế lưỡng phúc."
帝幸應豊行宮省耕,Đế hạnh Ứng Phong hành cung tỉnh canh.
帝御行宫占城國人具翁及其從弟三人來朝,"Đế ngự Hành Cung, Chiêm Thành quốc nhân Cụ Ông cập kì tòng đệ tam nhân lai triều."
二月帝還京師,"Nhị nguyệt, đế hoàn Kinh sư."
夏四月真臘國金丁阿傳及家僮四人來附,"Hạ, tứ nguyệt, Chân Lạp quốc Kim Đinh A Truyền cập gia đồng tứ nhân lai phụ."
廣原首領楊嗣興献白鹿,Quảng Nguyên thủ lĩnh Dương Tự Hưng hiến bạch lộc.
造護聖寺,Tạo Hộ Thánh tự.
五月占城國人波司蒲陀羅等三十人來附,"Ngũ nguyệt, Chiêm Thành quốc nhân Ba Tư Bồ Đà La đẳng tam thập nhân lai phụ."
秋七月旱祈雨,"Thu, thất nguyệt, hạn, kì vũ."
内作監甲主都蘇翁献六眸龜胷上,"Nội tác giám giáp chủ đô Tô Ông hiến lục mâu quy, hung thượng.."
有善帝二字,"hữu ""thiện đế"" nhị tự."
九月成慶侯鈌名卒,"Cửu nguyệt, Thành Khánh hầu [Khuyết danh] tốt."
冬十月築鬱羅臺,"Đông, thập nguyệt, trúc Uất La đài."
十一月玉階都李號献金䱓魚,"Thập nhất nguyệt, Ngọc Giai đô Lí Hiệu hiến kim đình ngư."
十二月成慶侯夫人何是欽酖殉死,"Thập nhị nguyệt, Thành Khánh hầu phu nhân Hà Thị khâm đam tuẫn tử."
史臣吳士連曰婦人從一而終非謂殉也,"Sử thần Ngô Sĩ Liên viết: ""Phụ nhân tòng nhất nhi chung, phi vị ""tuẫn"" dã."
何氏徑情直行至欽酖殉死雖云過矣然於人所難而易之亦難能也,"Hà thị kinh tình trực hành chí khâm đam tuẫn tử, tuy vân quá hĩ, nhiên ư nhân sở nan nhi dị chi diệc nan năng dã."
抑成慶侯至是水塟而殉之耶,"Ức Thành Khánh hầu chí thị thuỷ táng nhi tuẫn chi da?""."
復以内常侍黎伯玉爲禮部侍郎,Phục dĩ Nội thường thị Lê Bá Ngọc vi Lễ bộ thị lang.
廣元州小首領莫賢及其部黨出亡宋邕州界貢洞,Quảng Nguyên châu tiểu thủ lĩnh Mạc Hiền cập kì bộ đảng xuất vong Tống Ung Châu giới Cống động.
乙巳六年宋宣和七年,"Ất Tị, lục niên [Tống Tuyên Hoà thất niên]."
春正月以内常侍牟俞都爲中書丞,"Xuân, chính nguyệt, dĩ Nội thường thị Mâu Du Đô vi Trung thư thừa."
邕州執莫賢等請差人就江南交付,Ung Châu chấp Mạc Hiền đẳng thỉnh sai nhân tựu Giang Nam giao phó.
帝遣守富良府中書李献徃江南領還京師,Đế khiển thủ Phú Lương phủ trung thư Lí Hiến vãng Giang Nam lĩnh hoàn Kinh sư.
流莫賢于乂安州妻子並沒官,"Lưu Mạc Hiền vu Nghệ An châu, thê tử tịnh một quan."
紙作藩上献檳鋃珠詔却之,"Chỉ tác phiên thượng hiến tân lang châu, chiếu khước chi."
慶成崇陽殿設宴三日夜,"Khánh thành Sùng Dương điện, thiết yến tam nhật dạ."
夏四月帝幸應豊行宫省耕,"Hạ tứ nguyệt, đế hạnh Ứng Phong hành cung tỉnh canh."
六月帝自應豊行宫幸蓩仁行宫入内常侍中丞牟俞都奉㫖宣示内外臣僚曰黄龍見于行宫之秘殿惟宫女宦官見之,"Lục nguyệt, đế tự Ứng Phong hành cung hạnh Lí Nhân hành cung, Nhập nội thường thị trung thừa Mâu Du Đô phụng chỉ tuyên thị nội ngoại thần Liêu viết: Hoàng long hiện vu hành cung chi bí điện, duy cung nữ, hoạn quan kiến chi."
冬十月帝御應豊行宫省歛,"Đông thập nguyệt, đế ngự Ứng Phong hành cung tỉnh liễm."
十一月遣入内禮部侍郎,"Thập nhất nguyệt, khiển Nhập nội Lễ bộ thị lang.."
黎伯玉討廣原州儂瓊莫七人等,"Lê Bá Ngọc thảo Quảng Nguyên châu Nùng Quỳnh, Mạc Thất Thân đẳng."
将行伯玉會軍盟于大興門外宣軍令,"Tương hành, Bá Ngọc hội quân minh vu Đại Hưng môn, ngoại tuyên quân lệnh."
黄龍見于洞雲祈壽寳臺,Hoàng long hiện vu Động Vân Kì thọ bảo đài.
詔凣敺人死者杖一百刺靣五十字徒󰍁甲,"Chiếu phàm ẩu nhân tử giả, trượng nhất bách, thích diện ngũ thập tự, đồ khao giáp."
丙午七年宋欽宗恒靖康元年,"Bính Ngọ, thất niên [Tống Khâm Tông Hằng, Tịnh Khang nguyên niên]."
春正月設廣照燈會七日夜,"Xuân chính nguyệt, thiết Quảng Chiếu đăng hội thất nhật dạ."
赦都護府罪人,Xá Đô hộ phủ tội nhân.
禁百姓春不得伐木,Cấm bách tính xuân bất đắc phạt mộc.
二月朔帝御天安殿觀王侯蹴毬,"Nhị nguyệt, sóc, đế ngự Thiên An điện quan vương hầu xúc cầu."
三月設慶賀五經禮于壽聖寺,"Tam nguyệt, thiết Khánh hạ ngũ kinh lễ vu Thọ Thánh tự."
复五月壬戌設仁王會于龍墀,"Hạ, ngũ nguyệt, Nhâm Tuất, thiết Nhân Vương hội vu Long Trì."
是日黃龍見于永光殿,Thị nhật Hoàng long hiện vu Vĩnh Quang điện.
秋七月旱自六月至是尤甚,"Thu, thất nguyệt, hạn, tự lục nguyệt chí thị vưu thậm."
六眸龜哯,Lục mâu quy hiện.
滛雨祈晴,Dâm vũ kì tình.
九月占城來貢,"Cửu nguyệt, Chiêm Thành lai cống."
設,Thiết..
廣照燈會于龍墀詔占城使臣觀之,"Quảng Chiếu đăng hội vu Long Trì, chiếu Chiêm Thành sứ thần quan chi."
冬十一月帝幸應豊行宫省歛,"Đông, thập nhất nguyệt, đế hạnh Ứng Phong hành cung tỉnh liễm."
閏月遣令書家嚴常御庫書家徐延遺馴象十及金銀犀兕于宋謝擒莫賢也,"Nhuận nguyệt, khiển lệnh thư gia Nghiêm Thường, Ngự khố thư gia Từ Diên di thuần tượng thập cập kim ngân, tê huỷ vu Tống, tạ cầm Mạc Hiền dã."
常延至桂府見經畧司,"Thường, Diên chí Quế phủ kiến Kinh lược ti."
謂常延曰金年東京及湖南鼎澧等處並已調𭛁兵馬討金人未審㱕期何日,"Vị Thường, Diên viết: ""Kim niên Đông Kinh cập Hồ Nam, Đỉnh Lễ đẳng xứ tịnh dĩ điều phát binh mã thảo Kim nhân, vị thẩm quy kì hà nhật."
此間路地上傳馬鋪丁在在更少請使者領還禮物,"Thử gian lộ địa thượng truyền mã, phố đinh tại tại canh thiểu, thỉnh sứ giả lĩnh hoàn lễ vật""."
常延乃還,"Thường, Diên nãi hoàn."
其年金人粘罕幹離不率眾圍宋汴京虜宋帝徽宗欽宗北㱕,"Kì niên Kim nhân Niêm Hãn, Cán Li Bất suất chúng vi Tống Biện Kinh, lỗ Tống đế Huy Tông, Khâm Tông Bắc quy."
宋國大亂,Tống quốc đại loạn.
時金主窝闊台建國於漠北建元天會,"[Thời Kim chủ Oa Khoát Đài kiến quốc ư Mạc Bắc, kiến nguyên Thiên Hội]."
丁未天符慶壽原年宋靖康二年五月以後高宗構建炎元年,"Đinh Mùi, Thiên Phù Khánh Thọ nguyên niên, [Tống Tịnh Khang nhị niên, ngũ nguyệt dĩ hậu, Cao Tông Cấu, Kiến Viêm nguyên niên]."
春正月以御庫書家范信判清化府事,"Xuân, chính nguyệt, dĩ Ngự khố thư gia Phạm Tín phán Thanh Hoá phủ sự."
二月群臣上尊號加寬慈聖壽四字,"Nhị nguyệt, quần thần thượng tôn hiệu gia: Khoan Từ Thánh Thọ tứ tự."
自正月至二月滛雨命官祈晴,"Tự chính nguyệt chí nhị nguyệt dâm vũ, mệnh quan kì tình."
員外郎阮義長献三足六眸龜,Viên ngoại lang Nguyễn Nghĩa Trường hiến tam túc lục mâu quy.
三月農州首領楊彗進長壽生金二塊,"Tam nguyệt, Nông châu thủ lĩnh Dương Tuệ tiến Trường thọ sinh kim nhị khối."
夏四月帝幸應豊行宫省歛,"Hạ, tứ nguyệt, đế hạnh Ứng Phong hành cung tỉnh liễm."
雨榖,Vũ cốc.
五月僧高亭献白雀,"Ngũ nguyệt, tăng Cao Đình hiến bạch tước."
秋七月丁巳慶成重興延壽寺,"Thu, thất nguyệt, Đinh Tị, khánh thành Trùng Hưng Diên Thọ tự."
冬十一月宋欽州送還廣原州叛黨莫七人等,"Đông, thập nhất nguyệt, Tống Khâm Châu tống hoàn Quảng Nguyên châu phản đảng Mạc Thất Nhân đẳng."
十二月天狗星隕有聲如雷,"Thập nhị nguyệt, Thiên Cẩu tinh vẫn, hữu thanh như lôi."
以延平公主嫁富良府首領楊嗣明,Dĩ Diên Bình công chúa giá Phú Lương phủ thủ lĩnh Dương Tự Minh.
帝弗豫召太尉劉慶覃受遺詔曰朕聞生物之動無有不死,"Đế phất dự, triệu Thái uý Lưu Khánh Đàm thụ di chiếu viết: ""Trẫm văn: sinh vật chi động, vô hữu bất tử."
死者天地之大數物理當然,"Tử giả, thiên địa chi đại số, vật lí đương nhiên."
而舉世之人莫不榮生而恶死,"Nhi cử thế chi nhân, mạc bất vinh sinh nhi ố tử."
厚塟以棄業重服以損性朕甚不取焉,"Hậu táng dĩ khí nghiệp, trọng phục dĩ tổn tính, Trẫm thậm bất thủ yên."
予既寡德無以安百性及至殂落又使元元衰麻在身晨昏臨哭减其飲食絶其祭自以重予過天下其謂予何朕悼早歲而嗣膺大寳居王侯上嚴恭寅畏,"Dư ký quả đức, vô dĩ an bách tính, cập chí tồ lạc, hựu sử nguyên nguyên suy ma tại thân, thần hôn lâm khốc, giảm kì ẩm thực, tuyệt kì tế tự, dĩ trọng dư quá, thiên hạ kì vị dư hà! Trẫm điệu tảo tuế nhi tự ưng đại bảo, cư vương hầu thượng, nghiêm cung dần uý."
五十有六年賴祖宗之靈皇天孚佑四海無󰔄邊陲微警死得列于先君之後幸矣何可興哀,"Ngũ thập hữu lục niên, lại tổ tông chi linh, hoàng thiên phù hựu, tứ hải vô ngu, biên thuỳ vi cảnh, tử đắc liệt vu tiên quân chi hậu hạnh hĩ, hà khả hưng ai."
朕自省歛以來忽嬰弗豫病既彌留,"Trẫm tự tỉnh liễm dĩ lai, hốt anh phất dự, bệnh ký di lưu,.."
恐不及警誓言嗣,khủng bất cập cảnh thệ ngôn tự.
而太死陽焕年已周紀多有大度明𠃔篤誠忠庸恭懿可依朕之舊典即皇帝位,"Nhi thái tử Dương Hoán niên dĩ chu kỷ, đa hữu đại độ, minh doãn đốc thành, trung dung cung ý, khả y trẫm chi cựu điển tức hoàng đế vị."
肆爾童孺誕受厥命繼體傳業多大前功,"Tứ nhĩ đồng nhụ, đản thụ quyết mệnh, kế thể truyền nghiệp, đa đại tiền công."
仍仰爾臣󰱃一心弼亮,Nhưng ngưỡng nhĩ thần thứ nhất tâm bật lượng.
咨爾伯玉實丈人噐飭爾戈矛預僃不󰔄每替厥命朕之瞑日無遺恨矣,"Tư nhĩ Bá Ngọc, thực trượng nhân khí, sức nhĩ qua mâu, dự bị bất ngu, mỗi thế quyết mệnh, trẫm chi minh nhật vô di hận hĩ."
丧則三日釋服宜止哀傷塟則依漢文儉約爲務無别起墳陵宜侍先帝之側,"Tang tắc tam nhật thích phục, nghi chỉ ai thương, táng tắc y Hán Văn, kiệm ước vi vụ, vô biệt khởi phần lăng, nghi thị tiên đế chi trắc."
嗚呼桑榆欲逝寸晷難停盖世噐辭千年永訣,"Ô hô! tang du dục thệ, thốn quỹ nan đình, cái thế khí từ, thiên niên vĩnh quyết."
爾宜誠意祗聽朕言明吿王公敷陳中外,"Nhĩ nghi thành ý chi thính trẫm ngôn, minh cáo vương công phô trần trung ngoại""."
丁卯帝崩于永光殿,"Đinh Mão, đế băng vu Vĩnh Quang điện."
史臣吳士連曰古大順之世人居䏻體信達順以𦤶中和於是天不愛道地不愛寳降甘露出體泉產芝草而龍鳯龜麟諸福之物莫不畢至,"Sử thần Ngô Sĩ Liên viết: ""Cổ đại thuận chi thế, nhân cư năng thể tín đạt thuận, dĩ trí trung hoà, ư thị thiên bất ái đạo, địa bất ái bảo, giáng cam lộ, xuất thể tuyền, sản chi thảo, nhi long, phượng, quy, lân chư phúc chi vật, mạc bất tất chí."
人宗之世祥瑞一何多耶盖由人君所好故人臣妄献之也,"Nhân Tông chi thế, tường thuỵ nhất hà đa da? Cái do nhân quân sở hiếu, cố nhân thần vọng hiến chi dã""."
皇太子即位于柩前,Hoàng thái tử tức vị vu cữu tiền.
令武衛黎伯玉宣是王侯及文武臣僚退于大興門外使諸城吏閉门謹守毋得徃來出入,"Lệnh vũ vệ Lê Bá Ngọc tuyên thị vương hầu cập văn vũ thần liêu, thoái vu Đại Hưng môn ngoại, sử chư thành lại bế môn cẩn thủ, vô đắc vãng lai xuất nhập."
仍命禁軍介之以兵立天安殿下既而令開右掖門召群臣入于龍墀使伯,"Nhưng mệnh cấm quân giới chi dĩ binh, lập Thiên An điện hạ, ký nhi lệnh khai hữu dịch môn, triệu quần thần nhập vu Long Trì, sử Bá.."
玉論王侯及文武臣僚曰不幸先帝奄棄群臣天位弗可久虚,"Ngọc luận vương hầu cập văn vũ thần liêu viết: ""Bất hạnh tiên đế yểm khí quần thần, thiên vị phất khả cửu hư."
惟予冲人黾勉嗣之卿等宜永肩乃心夾輔王室非特不輔先帝注望之意亦使世世子孫享其禄位,"Duy dư xung nhân, mãnh miễn tự chi, khanh đẳng nghi vĩnh khiên nãi tâm giáp phụ vương thất, phi đặc bất phụ tiên đế chú vọng chi ý, diệc sử thế thế tử tôn hưởng kì lộc vị""."
群臣皆拜賀慟哭,Quần thần giai bái hạ đỗng khốc.
使内人杜善舍人蒲崇以其事告崇賢侯,"Sử nội nhân Đỗ Thiện, xá nhân Bồ Sùng dĩ kì sự cáo Sùng Hiền hầu."
詔天夏諸鄕邑各依本業如故毋得藏匿迯亡盗賊及鬪敺殺人者,"Chiếu thiên hạ chư hương ấp các y bản nghiệp như cố, vô đắc tàng nặc đào vong đạo tặc, cập đấu ẩu sát nhân giả."
壬午群臣上表殯于壼天殿,"Nhâm Ngọ, quần thần thượng biểu tẫn vu Hồ Thiên điện."
癸未群臣受䘮服于永平各外,"Quý Mùi, quần thần thụ tang phục vu Vĩnh Bình các ngoại."
甲申群臣上表請御正殿,"Giáp Thân, quần thần thượng biểu thỉnh ngự chính điện."
乙酉始御天安殿視朝,"Ất Dậu, thuỷ ngự Thiên An điện thị triều."
詔群臣除䘮服,Chiếu quần thần trừ tang phục.
是日幸那岸觀宫女上火,"Thị nhật, hạnh Na Ngạn quan cung nữ thượng hoả.."
