cn,vi
淺斟兮慢慢,Rượu vơi hề lại rót
底唱兮連連,Họa xướng hề lại khơi
斟不斟兮蒲城釀,Rượu bồ đào hề rót cho cạn
唱不唱兮紫騮篇,Khúc tử lưu hề xướng cho lơi
願斟九醞兮唱雙聯,Nguyện rót rượu xưa cùng hợp xướng
與君整頓兮舊姻緣,Với chàng xe lại mối duyên trời
交頸成雙到老天,Vai kề đầu bạc cùng đi tới
償了功名離別債,Cho bõ tình xa ngăn cách trước
相憐相守太平年,Thang bình chung sức giữ cho đời
太平年願君止戈置,Thủa thanh bình mong chàng dừng kiếm lại
若然此別妾何淚,Toại lòng suối lệ cũng nguôi ngoai
將會之期將寄言,Phải lúc tương phùng nên nhắn nhủ
嗟乎丈夫當如是,Oai hùng như thế mới là trai
