大 越 史 記 續 編 序	Đại Việt sử kí tục biên tự	
先 是 爲 刺 史 者 以	Tiên thị vi Thứ sử giả dĩ	
其 地 有 明 珠 翠 羽 犀 象 玳 瑁 異 香 美 材 之 物 率 無 清 行 財 計 盈 給 輙 求 遷 代 故 吏 民 皆 叛 之	kì địa hữu minh châu thuý vũ tê tượng đồi mồi dị hương mĩ tài chi vật suất vô thanh hành tài kể doanh cấp triếp cầu thiên đại cố lại dân giai phản chi	
及 琮 到 部 訊 其 叛 狀 僉 曰 前 政 賦 歛 深 刻 百 姓 莫 不 困 乏 京 師 遙 遠 無 所 告 訴 民 不 聊 生 故 相 聚 以 拒 之 非 真 叛 也	Cập Tông đáo bộ tấn kì phản trạng thiêm viết tiền chính phú liễm thâm khắc bách tính mạc bất khốn phạp Kinh sư dao viễn vô sở cáo tố dân bất liêu sinh cố tương tụ dĩ cự chi phi chân phản dã	
琮 乃 遣 人 分 行 慰 諭 使 各 安 其 業 招 撫 流 亡 蠲 復 賦 歛	Tông nãi khiển nhân phân hành uý dụ sử các an kì nghiệp chiêu phủ lưu vong quyên phục phú liễm	
於 是 誅 爲 苛 虐 之 魁 首 者 簡 良 吏 守 諸 郡 縣	Ư thị tru vi hà ngược chi khôi thủ giả giản lương lại thú chư quận huyện	
百 姓 以 安 街 巷 爲 之 歌 曰 賈 父 來 晚 使 我 先 反	Bách tính dĩ an nhai hạng vi chi ca viết Giả phụ lai vãn sử ngã tiên phản	
今 見 清 平 不 敢 復 反	Kim kiến thanh bình bất cảm phục phản	
琮 任 事 三 年 徵 拜 議 郎 使 李 進 代 之 李 進 我 交 州 人	Tông nhiệm sự tam niên trưng bái Nghị Lang Sử Lí Tiến đại chi Lí Tiến ngã Giao Châu nhân	
丙 寅 漢 中 平 三 年	Bính Dần Hán Trung Bình tam niên	
黎 文 休 曰 觀 史 至 我 越 無 主 之 時 爲 北 人 刺 史 之 無 清 行 者 所 困	Lê Văn Hưu viết Quan sử chí ngã Việt vô chủ chi thời vị Bắc nhân Thứ sử chi vô thanh hành giả sở khốn	
北 京 地 遠 無 所 告 訴 不 覺 愧 感 父 集 翼 見 精 誠 如 後 唐 明 宗 時 焚 香 祝 天 願 天 爲 我 越 早 生 聖 人 自 帝 其 國 以 免 北 人 之 侵 漁 者 也	Bắc Kinh địa viễn vô sở cáo tố bất giác quý cảm phụ tập dục kiến tinh thành như hậu Đường Minh Tông thời phần hương chúc thiên nguyện thiên vi ngã Việt tảo sinh thánh nhân tự đế kì quốc dĩ miễn Bắc nhân chi xâm ngư giả dã	
右 属 于 漢 自 癸 卯 至 丙 寅 凣 一 百 四 十 四 年	Hữu thuộc vu Hán Tự Quý Mão chí Bính Dần phàm nhất bách tứ thập tứ niên	
士 王 紀	Sĩ Vương KỶ	
士 王 在 位 四 十 年 壽 九 十 年 王 寬 厚 謙 虚 人 心 愛 戴 保 全 越 之 地 以 當 三 國 之 強 既 明 且 智 足 称 賢 君	Sĩ Vương Tại vị tứ thập niên Thọ cửu thập niên Vương khoan hậu khiêm hư nhân tâm ái đái bảo toàn Việt chi địa dĩ đương tam quốc chi cường ký minh thả trí túc xưng hiền quân	
姓 士 諱 燮 字 彦 威 蒼 梧 廣 信 人 也	Tính Sĩ huý Nhiếp tự Ngạn Uy Thương Ngô Quảng Tín nhân dã	
其 先 魯 國 汶 陽 人 也 北 朝 王 莽 之 亂 避 地 于 我 越 六 世 至 王	Kì tiên Lỗ quốc Vấn Dương nhân dã Bắc triều Vương Mãng chi loạn tị địa vu ngã Việt lục thế chí vương	
父 賜 漢 桓 帝 時 爲 日 南 太 守	Phụ Tứ Hán Hoàn Đế thời vi Nhật Nam Thái thú	
王 少 游 學 漢 京 從 穎 川 劉 子 奇 治 左 氏 春 秋 爲 注 解 舉 孝 廉 補 尙 書 郎 以 公 事 免 官 父 䘮 闋 音 鈌 盡 也 後 舉 荗 才 除 巫 陽 令 遷 交 州 太 守 封 龍 度 亭 侯 都 漊 漊 一 作 樓	Vương thiếu du học Hán kinh tòng Dĩnh Xuyên Lưu Tử Kì trị Tả thị Xuân Thu vi chú giải cử Hiếu Liêm bổ Thượng thư lang dĩ công sự miễn quan phụ tang khuyết Âm khuyết tận dã hậu cử Mậu tài trừ vu Dương lệnh thiên Giao Châu Thái thú phong Long Độ Đình Hầu đô doanh Lâu Lâu nhất tác lâu	
即 龍 編 後 陳 朝 追 封 善 感 嘉 應 靈 武 大 王	tức Long Biên Hậu Trần triều truy phong Thiện Cảm Gia Ứng Linh Vũ Đại Vương	
丁 卯 元 年 漢 中 平 四 年 王 有 第 三 人 一 鮪 武	Đinh Mão nguyên niên Hán Trung Bình tứ niên Vương hữu đệ tam nhân Nhất Vị Vũ	
時 刺 史 朱	Thời Thứ sử Chu	
符 爲 夷 賊 所 殺 州 郡 擾 亂 王 乃 表 一 領 合 浦 太 守 鮪 領 九 真 太 守 武 領 南 海 太 守	Phù vị Di tặc sở sát châu quận nhiễu loạn Vương nãi biểu Nhất lĩnh Hợp Phố Thái thú Vị lĩnh Cửu Chân Thái thú Vũ lĩnh Nam Hải Thái thú	
王 噐 禮 寬 厚 謙 虚 下 士 國 人 愛 之 皆 呼 曰 王	Vương khí lễ khoan hậu khiêm hư hạ sĩ quốc nhân ái chi giai hô viết vương	
漢 之 名 士 避 難 往 依 者 以 百 數	Hán chi danh sĩ tị nạn vãng y giả dĩ bách sổ	
庚 辰 十 四 年 漢 献 帝 恊 刺 史 李 進 上 言 於 漢 帝 曰 率 土 之 濱 莫 非 王 臣 今 建 安 五 年	Canh Thìn thập tứ niên Hán Hiến Đế hiệt Thứ sử Lí Tiến thượng ngôn ư Hán Đế viết Suất thổ chi tân mạc phi vương thần kim Kiến An ngũ niên	
登 仕 朝 廷 皆 中 州 之 士 未 嘗 奬 勸 遠 人	đăng sĩ triều đình giai Trung Châu chi sĩ vị thường tưởng khuyến viễn nhân	
辭 意 感 切 多 所 援 引	Từ ý cảm thiết đa sở viện dẫn	
漢 帝 詔 我 州 之 有 孝 廉 荗 才 許 除 補 属 州 長 吏 不 得 任 中 州	Hán đế chiếu ngã châu chi hữu Hiếu liêm Mậu tài hứa trừ bổ thuộc châu trưởng lại bất đắc nhậm Trung Châu	
進 復 上 疏 曰 所 舉 孝 廉 請 與 十 二 州 博 士 以 人 才 專 對	Tiến phục thượng sớ viết Sở cử Hiếu liêm thỉnh dữ thập nhị châu bác sĩ dĩ nhân tài chuyên đối	
而 有 司 恐 遠 人 虚 誕 毀 折 中 朝 不 許	Nhi hữu ti khủng viễn nhân hư đản huỷ triết trung triều bất hứa	
時 我 越 人 李 琴 宿 衛 在 臺 遂 邀 鄕 人 卜 龍 等 五 六 人 當 正 元 萬 國 朝 會 之 目 俯 伏 殿 庭 曰 皇 恩 不 均	Thời ngã Việt nhân Lí Cầm túc vệ tại đài toại yêu hương nhân Bốc Long đẳng ngũ lục nhân đương chính nguyên vạn quốc triều hội chi mục phủ phục điện đình viết Hoàng ân bất quân	
有 司 問 其 故 琴 曰 南 越 遷 遠 不 爲 皇 天 所 覆 后 土 所 載 故 甘 雨 不 降 凉 風 不 飛	Hữu ti vấn kì cố Cầm viết Nam Việt thiên viễn bất vi hoàng thiên sở phú hậu thổ sở tải cố cam vũ bất giáng lương phong bất phi	
辭 意 懇 苦	Từ ý khẩn khổ	
詔 慰 勞 之 以 我 荗 才 一 人 爲 夏 陽 令 孝 廉 一 人 爲 六 合 令 琴 交 州 人 後 李 琴 仕 至 司 隷 校 尉 張 重 爲 金 城 太 守	Chiếu uý lạo chi dĩ ngã Mậu tài nhất nhân vi Hạ Dương lệnh Hiếu liêm nhất nhân vi Lục Hợp lệnh Cầm Giao Châu nhân Hậu Lí Cầm sĩ chí Tư lệ hiệu uý Trương Trọng vi Kim Thành thái thú	
則 我 越 人 才 得 與 漢 人 同 選 者 李 琴 李 進 有 以 開 之 也	Tắc ngã Việt nhân tài đắc dữ Hán nhân đồng tuyển giả Lí Cầm Lí Tiến hữu dĩ khai chi dã	
重 日 南 人 初 入 洛 正 旦 大 會 晋 明 帝 曰 日 南 北 視 日 耶 重 對 曰 今 郡 中 有 雲 者 不 必 有 其 實 至 於 風 氣 暄 暖 日 影 仰 於 生 民 之	Trọng Nhật Nam nhân sơ nhập Lạc chính đán đại hội Tấn Minh Đế viết Nhật Nam bắc thị nhật da Trọng đối viết Kim quận trung hữu Vân giả bất tất hữu kì thực Chí ư phong khí huyên noãn nhật ảnh ngưỡng ư sinh dân chi	
上 則 有 之 矣 按 宋 文 帝 元 嘉 中 南 征 林 邑 五 月 立 表 望 之 日 在 表 北 九 寸 一 分 交 州 影 在 表 南 三 寸 三 分 交 州 去 洛 水 六 七 千 餘 里 表 取 其 絃 直 當 下 千 里 唐 開 元 十 二 年 測 交 州 夏 至 影 在 表 南 三 寸 三 分 與 元 嘉 所 測 同 王 充 論 衡 曰 日 南 郡 去 洛 且 萬 里 爲 日 南 李 筌 曰 安 南 府 至 長 安 七 千 二 百 五 十 里 孟 琯 云 以 四 方 揆 之 安 南 適 當 中 國 表 地 耳	thượng tắc hữu chi hĩ Án Tống Văn Đế Nguyên Gia trung nam chinh Lâm Ấp ngũ nguyệt lập biểu vọng chi nhật tại biểu bắc cửu thốn nhất phân Giao Châu ảnh tại biểu nam tam thốn tam phân Giao Châu khứ Lạc thuỷ lục thất thiên dư lí biểu thủ kì huyền trực đương hạ thiên lí Đường Khai Nguyên thập nhị niên trắc Giao Châu hạ chí ảnh tại biểu nam tam thốn tam phân dữ Nguyên Gia sở trắc đồng Vương Sung Luận Hành viết Nhật Nam quận khứ Lạc thả vạn lí vi Nhật Nam Lí Thuyên viết An Nam phủ chí Trường An thất thiên nhị bách ngũ thập lí Mạnh quản vân Dĩ tứ phương quỹ chi An Nam thích đương Trung Quốc biểu địa nhĩ	
史 臣 吳 士 連 曰 君 子 於 辭 不 可 已 也	Sử thần Ngô Sĩ Liên viết Quân tử ư từ bất khả dĩ dã	
昔 𩱛 蔑 如 無 辭 則 終 與 草 木 俱 腐 矣	Tích Tông Miệt như vô từ tắc chung dữ thảo mộc cụ hủ hĩ	
李 琴 苟 無 辭 何 以 見 用 於 世 而 我 越 英 特 之 才 北 人 安 得 而 知 之 哉 辭 之 不 可 已 也 如 此 夫	Lí Cầm cẩu vô từ hà dĩ kiến dụng ư thế nhi ngã Việt anh đặc chi tài bắc nhân an đắc nhi tri chi tai Từ chi bất khả dĩ dã như thử phù	
雖 然 此 特 爲 人 才 論 若 顔 閔 則 無 是 言 矣	Tuy nhiên thử đặc vi nhân tài luận nhược Nhan Mẫn tắc vô thị ngôn hĩ	
丁 亥 二 十 一 年 漢 建 安 十 二 年	Đinh Hợi nhị thập nhất niên Hán Kiến An thập nhị niên	
漢 袁 徽 遺 尙 書 令 荀 彧 書 曰 交 州 士 府 君 既 學 問 優 博 又 達 於 從 政 處 大 亂 之 中 保 全 一 郡 二 十 餘 年 彊 場 無 事 民 不 失 業 羈 旅 之 徒 皆 蒙 其 慶 雖 竇 融 保 河 西 曷 以 加 之	Hán Viên Huy di thượng thư lệnh Tuân Úc thư viết Giao Châu Sĩ phủ quân ký học vấn ưu bác hựu đạt ư tòng chính xử đại loạn chi trung bảo toàn nhất quận nhị thập dư niên cường trường vô sự dân bất thất nghiệp ký lữ chi đồ giai mông kì khánh tuy Đậu Dung bảo Hà Tây hạt dĩ gia chi	
官 事 少 閑 輙 玩 書 傳	Quan sự thiểu nhàn triếp ngoạn thư truyện	
春 秋 左 氏 傳 凣 簡 籍 無 徵 輙 以 咨 問 即 傳 諸 疑 皆 有 師 説 意 思 詳 密	Xuân Thu Tả thị truyện phàm giản tịch vô trưng triếp dĩ tư vấn tức truyện chư nghi giai hữu sư thuyết ý tư tường mật	
又 尙 書 古 今 大 義 詳 備	Hựu Thượng Thư cổ kim đại nghĩa tường bị	
兄 弟 並 爲 列 郡 雄 長 一 州 偏 在 萬 里 威 尊 無 上	Huynh đệ tịnh vi liệt quận hùng trưởng nhất châu thiên tại vạn lí uy tôn vô thượng	
出 入 鳴 鍾 磬 備 具 威 儀 笳 皷 箫 吹 車 騎 满 道 胡 人 夾 轂 焚 香 者 常 有 數 十 妻 妾 居 輜 軿 子 弟 從	Xuất nhập minh chung khánh bị cụ uy nghi già cổ tiêu xuy xa kị mãn đạo Hồ nhân giáp cốc phần hương giả thường hữu sổ thập thê thiếp cư truy bỉnh tử đệ tòng	
兵 騎 當 時 貴 重 震 服 百 蠻 尉 佗 不 能 逾 也	binh kị đương thời quý trọng chấn phục bách Man Uý Đà bất năng du dã	
徽 時 寓 交 州	Huy thời ngụ Giao Châu	
及 漢 帝 遣 張 津 爲 刺 史 津 守 任 在 漢 津 建 安 六 年	Cập Hán Đế khiển Trương Tân vi thứ sử Tân thú nhiệm tại Hán Tân Kiến An lục niên	
好 鬼 神 事 常 著 絳 鄚 頭 巾 皷 琴 燒 香 讀 道 書 云 可 以 助 化 爲 其 將 區 景 所 殺 而 荆 州 牧 劉 表 遣 零 陵 令 賴 恭 代 津	hiếu quỷ thần sự thường trữ giáng mạc đầu cân cổ cầm thiêu hương độc Đạo thư vân khả dĩ trợ hoá vị kì tướng Khu Cảnh sở sát nhi Kinh Châu mục Lưu Biểu khiển Linh Lăng lệnh Lại Cung đại Tân	
漢 帝 聞 津 死 賜 王 玺 書 曰 交 州 絶 域 南 江 海 上 恩 不 宣 下 義 壅 塞 如 逆 賊 劉 表 又 遣 賴 恭 窺 看 南 土 今 以 卿 爲 綏 南 中 郎 將 董 督 七 郡 領 交 州 太 守 如 故	Hán đế văn Tân tử tứ vương tỉ thư viết Giao Châu tuyệt vực nam đái giang hải thượng ân bất tuyên hạ nghĩa ung tắc như nghịch tặc Lưu biểu hựu khiển Lại Cung khuy khán nam thổ kim dĩ khanh vi Tuy Nam trung lang tướng đổng đốc thất quận lĩnh Giao Châu Thái thú như cố	
王 遣 吏 張 旻 奉 貢 請 漢 京 都	Vương khiển lại Trương Mân phụng cống thỉnh Hán kinh đô	
是 時 天 下 䘮 亂 道 路 斷 絶 而 王 不 廢 職 貢	Thị thời thiên hạ tang loạn đạo lộ đoạn tuyệt nhi vương bất phế chức cống	
漢 帝 復 下 詔 拜 安 遠	Hán đế phục hạ chiếu bái An Viễn	
將 軍 封 龍 度 亭 侯	tướng quân phong Long Độ Đình Hầu	
後 蒼 梧 太 守 吳 巨 與 恭 相 失 舉 兵 逐 之 恭 走 還 零 陵	Hậu Thương Ngô Thái thú Ngô Cự dữ Cung tương thất cử binh trục chi Cung tẩu hoàn Linh Lăng	
庚 寅 二 十 四 年 漢 建 安 十 五 年	Canh Dần nhị thập tứ niên Hán Kiến An thập ngũ niên	
吳 王 孫 權 遣 步 隲 爲 交 州 刺 史	Ngô Vương Tôn Quyền khiển Bộ Chất vi Giao Châu thứ sử	
隲 到 王 率 兄 弟 奉 承 節 度	Chất đáo vương suất huynh đệ phụng thừa tiết độ	
吳 王 加 王 左 將 軍	Ngô vương gia vương Tả tướng quân	
後 王 遣 子 𢌃 魚 錦 反 入 質 於 吳 吳 王 以 爲 武 昌 太 守	Hậu vương khiển tử Ngẩm Ngư cẩm phiên nhập chất ư Ngô Ngô Vương dĩ vi Vũ Xương Thái thú	
王 諸 子 在 南 者 皆 拜 中 郎 將	Vương chư tử tại Nam giả giai bái Trung lang tướng	
王 又 誘 導 益 州 豪 姓 雍 闓 可 亥 反 等 率 郡 民 人 使 遙 東 附 吳	Vương hựu dụ đạo Ích Châu hào tính Ung Khải Khả hợi phiên đẳng suất quận dân nhân sử dao đông phụ Ngô	
吳 王 益 嘉 之 遷 衛 將 軍 封 龍 編 侯	Ngô Vương ích gia chi thiên Vệ tướng quân phong Long Biên hầu	
王 每 遣 使 請 吳 𦤶 雜 香 細 葛 輙 以 千 數	Vương mỗi khiển sứ thỉnh Ngô trí tạp hương tế cát triếp dĩ thiên sổ	
明 珠 大 貝 琉 璃 翠 羽 瑇 瑁 犀 象 之 珍 奇	Minh châu đại bối lưu li thuý vũ đại mồi tê tượng chi chân kì	
及 異 果 蕉 椰 龍 眼 之 属 無 歲 不 至 又 貢 馬 凣 數 百 匹	cập dị quả tiêu da long nhãn chi thuộc vô tuế bất chí hựu cống mã phàm sổ bách sất	
吳 王 作 書 後 加 寵 賜 以 慰 答 之	Ngô Vương tác thư hậu gia sủng tứ dĩ uý đáp chi	
黎 文 休 曰 士 王 能 有 寬 厚 謙 下 士 得 人 親 愛 而 致 一 時 之 貴 盛	Lê Văn Hưu viết Sĩ Vương năng hữu khoan hậu khiêm hư hạ sĩ đắc nhân thân ái nhi trí nhất thời chi quý thịnh	
又 能 明 義 識 時 雖 才 勇 不 及 趙 武 帝 而 屈 節 事 大 以 保 全 疆 土 可 謂 智 矣	Hựu năng minh nghĩa thức thời tuy tài dũng bất cập Triệu Vũ Đế nhi khuất tiết sự đại dĩ bảo toàn cương thổ khả vị trí hĩ	
惜 其 嗣 子 弗 克 負 荷 先 業 使 越 土 宇 既 皆 全 盛 而 復 分 裂 悲 夫 丙 午 四 十 年 漢 後 主 禪 建 興 四 年 吳 孫 權 黄 武 五 年	Tích kì tự tử phất khắc phụ hà tiên nghiệp sử Việt thổ vũ ký giai toàn thịnh nhi phục phân liệt bi phu Bính Ngọ tứ thập niên Hán Hậu Chúa Thiền Kiến Hưng tứ niên Ngô Tôn Quyền Hoàng Vũ ngũ niên	
王 薨	Vương hoăng	
初 王 嘗 病 死 三 日 僊 人 董 奉 與 藥 一 丸 以 水 含 服 捧 其 頭 摇	Sơ vương thường bệnh tử tam nhật tiên nhân Đổng Phụng dữ dược nhất hoàn dĩ thuỷ hàm phục bổng kì đầu dao	
捎 之 少 頃 即 開 目 動 手 顔 色 漸 平 復 明 日 旋 能 起 坐 四 日 復 能 誤 遂 復 常	sao chi thiểu khoảnh tức khai mục động thủ nhan sắc tiềm bình phục minh nhật toàn năng khởi toạ tứ nhật phục năng ngộ toại phục thường	
奉 字 昌 異 侯 官 人 見 列 仙 傳 候 官 縣 名 在 福 州	Phụng tự Xương Dị Hầu Quan nhân kiến Liệt tiên truyện Hầu Quan huyện danh tại Phúc Châu	
史 臣 吳 士 連 曰 我 國 通 詩 書 習 禮 樂 爲 文 献 之 自 士 王 始 其 功 德 𡸈 特 施 於 當 時 而 有 以 遠 及 於 後 代 𡸈 不 盛 矣 哉 子 之 不 肖 乃 子 之 罪 爾	Sử thần Ngô Sĩ Liên viết Ngã quốc thông thi thư tập lễ nhạc vi văn hiến chi bang tự Sĩ Vương thuỷ kì công đức khởi đặc thí ư đương thời nhi hữu dĩ viễn cập ư hậu đại khởi bất thịnh hĩ tai Tử chi bất tiếu nãi tử chi tội nhĩ	
世 傳 王 既 塟 之 後 至 晋 末 凣 百 六 十 餘 年 林 邑 人 入 寇 掘 發 王 塚 見 其 體 靣 如 生 大 惧 乃 復 封 瘗 土 人 以 爲 神 立 廟 事 之 號 士 王 僊	Thế truyền vương ký táng chi hậu chí Tấn mạt phàm bách lục thập dư niên Lâm Ấp nhân nhập khấu quật phát vương trủng kiến kì thể diện như sinh đại cụ nãi phục phong ế thổ nhân dĩ vi thần lập miếu sự chi hiệu Sĩ Vương Tiên	
盖 其 英 氣 不 朽 所 以 能 爲 神 也	Cái kì anh khí bất hủ sở dĩ năng vi thần dã	
神 祠 在 舊 城 龍 編	Thần từ tại cựu Thành Long Biên	
右 士 王 起 丁 卯 終 丙 午 凡 四 十 年	Hữu Sĩ Vương khởi Đinh Mão chung Bính Ngọ phàm tứ thập niên	
大 越 史 記 外 紀 全 書 卷 之 三 終	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư quyển chi tam chung	
大 越 史 記 外 紀 全 書 卷 之 四	Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Tứ	
属 吳 晋 宋 齊 梁 紀	Thuộc Ngô Tấn Tống Tề Lương KỶ	
丁 未 漢 建 興 五 年 吳 黄 武 六 年	Đinh Mùi Hán Kiến Hưng ngũ niên Ngô Hoàng Vũ lục niên	
吳 主 聞 士 王 薨 以 交 州 懸 遠 乃 分 合 浦 以 北 属 廣 州 吕 岱 爲 刺 史 合 浦 以 南 属 交 州 戴 良 爲 刺 史	Ngô chủ văn Sĩ Vương hoăng dĩ Giao Châu huyền viễn nãi phân Hợp Phố dĩ Bắc thuộc Quảng Châu Lữ Đại vi Thứ sử Hợp Phố dĩ Nam thuộc Giao Châu Đái Lương vi Thứ sử	
又 遣 陳 時 大 王 爲 太 守	Hựu khiển Trần Thì đại vương vi Thái thú	
岱 留 南 海	Đại lưu Nam Hải	
良 與 時 俱 前 行	Lương dữ Thì cụ tiền hành	
到 合 浦 而 王 子 徽 以 自 署 為 太 守 發 宗 兵 拒 之	Đáo Hợp Phố nhi vương tử Huy dĩ tự thự vi Thái thú phát tông binh cự chi	
漢 未 宗 室 相 亂 南 人 率 宗 室 相 聚 爲 兵 以 自 衛 故 名 宗 兵	Hán vị tôn thất tương loạn Nam nhân suất tôn thất tương tụ vi binh dĩ tự vệ cố danh tông binh	
良 留 合 浦	Lương lưu Hợp Phố	
王 吏 桓 鄰 叩 頭 諫 徽 迎 良 徽 怒 笞 殺 鄰	Vương lại Hoàn Lân khấu đầu gián Huy nghênh Lương Huy nộ si sát Lân	
史 臣 吳 士 連 曰 自 古 殺 諫 臣 未 有 不 亡 者	Sử thần Ngô Sĩ Liên viết Tự cổ sát gián thần vị hữu bất vong giả	
陳 殺	Trần sát	
洩 冶 齊 殺 孤 喧 陳 齊 事 可 鑒 也 以 此 垂 戒	Tiết Dã Tề sát Cô Huyên Trần Tề sự khả giám dã dĩ thử thuỳ giới	
猶 有 殺 諫 臣 如 士 徽 者 繼 統 不 旋 踵 而 死 亡 宜 哉	Do hữu sát gián thần như Sĩ Huy giả kế thống bất toàn chủng nhi tử vong nghi tai	
鄰 兄 子 治 發 合 宗 兵 擊 徽	Lân huynh tử Trị Phát hợp tông binh kích Huy	
徽 閉 城 門 自 守	Huy bế thành môn tự thủ	
治 等 攻 之 數 月 不 能 下 乃 和 親 各 罷 兵	Trị đẳng công chi sổ nguyệt bất năng hạ nãi hoà thân các bãi binh	
而 吕 岱 奉 吳 詔 誅 徽 自 廣 州 將 兵 畫 夜 馳 入 合 浦 與 良 俱 前 誘 士 王 之 子 中 郎 將 匡 與 徽 説 令 伏 罪 雖 失 郡 守 保 無 他 憂	Nhi Lữ Đại phụng Ngô chiếu tru Huy tự Quảng Châu tướng binh hoạch dạ trì nhập Hợp Phố dữ Lương cụ tiền dụ Sĩ vương chi tử Trung Lang Tướng Khuông dữ Huy thuyết lệnh phục tội tuy thất quận thú bảo vô tha ưu	
岱 尋 匡 後 至	Đại tầm Khuông hậu chí	
徽 兄 祗 弟 幹 頌 等 六 人 内 袒 迎 岱	Huy huynh Chi đệ Cán Tụng đẳng lục nhân nội đản nghênh Đại	
岱 微 服 前 至 郡 下	Đại vi phục tiền chí quận hạ	
明 早 施 帳 幔 請 徽 兄 弟 以 次 入	Minh tảo thí trướng mạn thỉnh Huy huynh đệ dĩ thứ nhập	
賓 客 满 座 岱 起 擁 節 讀 詔 數 徽 罪 過 左 右 因 反	Tân khách mãn toà Đại khởi ủng tiết độc chiếu sổ Huy tội quá tả hữu nhân phản	
縛 以 出 皆 斬 之 傳 首 武 昌	phọc dĩ xuất giai trảm chi truyền thủ Vũ Xương	
史 臣 吳 士 連 曰 士 徽 父 薨 不 請 命 自 立 又 發 兵 拒 命 義 固 當 討 然	Sử thần Ngô Sĩ Liên viết Sĩ Huy phụ hoăng bất thỉnh mệnh tự lập hựu phát binh cự mệnh nghĩa cố đương thảo nhiên	
吕 岱 誘 之 史 降 而 殺 之 非 也	Lữ Đại dụ chi sử hàng nhi sát chi phi dã	
夫 信 者 國 之 寶 也	Phù tín giả quốc chi bảo dã	
徽 既 降 縛 送 武 昌 使 生 殺 出 於 上 威 信 行 乎 下 不 亦 善 乎 孫 盛 曰 柔 遠 能 邇 莫 善 於 信	Huy ký hàng phọc tống Vũ Xương sử sinh sát xuất ư thượng uy tín hành hồ hạ bất diệc thiện hồ Tôn Thịnh viết Nhu viễn năng nhĩ mạc thiện ư tín	
吕 岱 殺 降 邀 功 君 子 非 之 以 是 知 吕 氏 之 不 延 也 信 哉	Lữ Đại sát hàng yêu công quân tử phi chi dĩ thị tri Lữ thị chi bất diên dã tín tai	
一 鮪 匡 後 出 吳 主 原 其 罪 及 王 贅 子 𢌃 皆 免 爲 庶 人	Nhất Vị Khuông hậu xuất Ngô chủ nguyên kì tội cập vương chuế tử Ngẩm giai miễn vi thứ nhân	
數 一 鮪 坐 法 誅 唯 匡 先 病 殁	Sổ tuế Nhất Vị toạ pháp tru duy Khuông tiên bệnh một	
及 𢌃 卒 徽 大	Cập ngẩm tốt Huy đại	
將 甘 醴 及 桓 治 率 吏 民 共 攻 岱 岱 擊 破 之	tướng Cam Lễ cập Hoàn Trị suất lại dân cộng công Đại Đại kích phá chi	
於 是 除 廣 州 復 爲 交 州 如 故	Ư thị trừ Quảng Châu phục vi Giao Châu như cố	
岱 進 攻 九 真 斬 獲 以 萬 數	Đại tiến công Cửu Chân trảm hoạch dĩ vạn sổ	
辛 亥 漢 建 興 九 年 吳 黄 武 三 年	Tân Hợi Hán Kiến Hưng cửu niên Ngô Hoàng Vũ tam niên	
吳 武 陵 五 溪 蠻 反	Ngô Vũ Lăng Ngũ Khê man phản	
主 以 南 土 清 定 召 刺 史 吕 岱 還	Ngô chủ dĩ Nam thổ thanh định triệu Thứ sử Lữ Đại hoàn	
合 浦 太 守 薜 綜 上 疏 曰 昔 帝 舜 南 巡 崩 於 蒼 梧 秦 置 桂 林 南 海 象 郡 則 四 國 内 属 久 矣	Hợp Phố Thái thú Tiết Tống thượng sớ viết Tích Đế Thuấn nam tuần băng ư Thương Ngô Tần trí Quế Lâm Nam Hải Tượng Quận tắc tứ quốc nội thuộc cửu hĩ	
趙 佗 起 於 番 禺 懷 服 百 越 之 君 珠 崖 之 南 是 也	Triệu Đà khởi ư Phiên Ngung hoài phục Bách Việt chi quân Châu Nhai chi Nam thị dã	
孝 武 誅 吕 嘉 開 九 郡 設 交 趾 刺 史 徙 中 國 罪 人 雜 居 其 閒 稍 使 學 書 粗 通 禮 化	Hiếu Vũ tru Lữ Gia khai cửu quận thiết Giao Chỉ Thứ sử tỉ Trung Quốc tội nhân tạp cư kì nhàn sao sử học thư thô thông lễ hoá	
及 昔 光 守 交 趾 任 延 守 九 真 建 立 學 號 道 以 禮 義	Cập Tích Quang thú Giao Chỉ Nhâm Diên thú Cửu Chân kiến lập học hiệu đạo dĩ lễ nghĩa	
由 此 而 降 四 百	Do thử nhi giáng tứ bách	
餘 年 民 似 有 類	dư niên dân tự hữu loại	
然 土 廣 人 眾 险 阻 山 林 易 以 爲 乱	Nhiên thổ quảng nhân chúng hiểm trở sơn lâm dị dĩ vi loạn	
臣 所 見 南 海 黄 盖 爲 日 南 太 守 下 車 以 供 設 不 備 撾 殺 主 簿 仍 見 驅 逐	Thần sở kiến Nam Hải Hoàng Cái vi Nhật Nam Thái thú hạ xa dĩ cung thiết bất bị qua sát chủ bạ nhưng kiến khu trục	
九 真 太 守 詹 萌 爲 妻 父 周 京 并 請 大 吏	Cửu Chân Thái thú Đam Manh vị thê phụ Chu Kinh tịnh thỉnh đại lại	
酒 酣 作 樂 功 曹 潘 歆 起 舞 属 京 不 起 歆 欲 迫 強 萌 怒 殺 歆	Tửu hàm tác nhạc Công tào Phan Hâm khởi vũ chúc Kinh bất khởi Hâm dục bách cưỡng Manh nộ sát Hâm	
歆 弟 率 眾 攻 萌	Hâm đệ suất chúng công Manh	
