國 之 有 史 尙 矣	Nước có sử đã từ lâu	
覽 聖 宗 淳 皇 帝 天 南 餘 暇 諸 集 而 監 夫 聖 謨 典 則 之 詳	Xem các tập Thiên Nam Dư Hạ của Thánh Tông Thuần Hoàng Đế để thấu tỏ điển chương phép tắc theo khuôn thước thánh hiền	
德 宗 建 皇 帝 樂 宛 餘 閑 各 編 而 會 夫 帝 範 渊 原 之 意	Đọc các tập Lạc Uyển Dư Nhàn của Đức Tông Kiến Hoàng Đế mà hiểu đúng nguồn gốc sâu xa của mẫu mực đế vương	
燕 暇 則 隨 事 詩 賦	Khi nhà rỗi thì tuỳ việc mà làm thơ phú	
言 形 警 戒 即 舜 勑 天 之 也 噐 皿 則 寓 理 制 銘 心 存 脩 省 即 殷 湯 盤 銘 之 戒 也	Lời nói tỏ ý răn ngừa thì như bài ca kính mệnh trời của Ngu Thuấn đồ dùng chọn nghĩa khắc chữ để sửa mình thì như bài minh trên chậu thau của Ân Thang	
凡 其 經 天 緯 地 之 文 治 國 齊 家 之 道 靡	Phàm những văn chương ngang trời dọc đất bàn luận đạo trị nước tề nhà	
不 貫 通	không thông suốt	
日 啟 經 筵 講 求 治 理	Hàng ngày mở Kinh diên tìm trị đạo	
乃 命 兵 部 尙 書 國 子 監 司 業 兼 史 舘 都 總 裁 臣 武 瓊 越 鑑 通 考 述 自 洪 庞 氏 至 十 二 使 君 列 為 外 紀 自 丁 先 皇 至 國 朝 太 祖 髙 皇 帝 大 定 之 初 年 着 為 本 紀 凡 二 十 六 卷	Bèn sai Binh bộ thượng thư Quốc tử giám tư nghiệp kiêm Sử quán đô tổng tài là Vũ Quỳnh soạn bộ Việt Giám Thông Khảo chép từ Hồng Bàng thị đến Mười hai sứ quân tách làm Ngoại Kỷ từ Đinh Tiên Hoàng đến năm đầu Thái Tổ Cao Hoàng Đế của quốc triều đại định thiên hạ chép làm Bản Kỷ cả thảy hai mươi sáu quyển	
大 而 三 綱 五 常 之 道 以 至 事 物 細 微 之 理 莫 不 該 載	Lớn như đạo tam cương ngũ thường cho đến các lẽ tế vi của sự vật không điều gì không ghi chép	
又 命 秘 書 監 黃 樞 等 寫 為 列 本 以 垂 永 久	Lại sai Bí thư giám là bọn Hoàng Khu chép thành bản riêng để truyền lại lâu dài	
於 是	Bây giờ	
皇 上 陛 下 以 宸 心 淵 廣 而 包 括 乎 乾 坤 以 天 智 光 明 而 洞 燭 乎 日 月 撮 其 大 要 使 一 覧 之 間 而 天 地 綱 常 之 道 益 著 常 王 治 平 之 道 益 明 如 大 綱 既 舉 而 目 畢 張 如 明 鏡 既 懸 而 萬 象 皆 照 其 有 關 於 世 教 者 大 矣	Hoàng thượng bệ hạ lấy lòng sâu rộng mà bao trùm trời đất lấy trí sáng suốt mà soi rõ như mặt trời mặt trăng muốn tóm tắt đại yếu để khi xem đến là đạo cương thường của trời đất càng tỏ rõ đạo trị bình của đế vương càng sáng ngời như giềng lưới đã cất thì các mắt lưới đều căng ra như gương sáng đã treo lên thì muôn hình tượng đều chiếu thấy có quan hệ đến sự giáo hoá ở đời thật là to lớn	
乃 命 臣 黎 嵩 為 之 總 論	Bèn sai thần là Lê Tung làm bài tổng luận	
顧 臣 學 識 迂 踈 見 聞 淺 薄 奚 足 以 商 確 古 今 揮 至 理	Nghĩ thần học thức sơ sài kiến văn nông mỏng sao đủ để bàn xét việc xưa nay mà phát huy hết nghĩa lý	
然 既 叨 奉 明 詔 敢 不 對 揚 聖 天 子 之 休 命 乎 臣 謹 拜 手 首 而 献 論 曰 臣 聞	Song đã lạm vâng minh chiếu dám đâu không đáp lại để tuyên dương mệnh tốt của thánh thiên tử Thần kính cẩn chắp tay rập đầu xin dâng bài tổng luận như sau Thần nghe	
周 易 曰 有 天 地 然 後 有 萬 物 有 萬 物 然 後 有 夫 婦 有 夫 婦 然 後 有 父 子 有 父 子 然 後 有 君 臣	Sách Chu Dịch nói Có trời đất rồi sau mới có muôn vật có muôn vật rồi sau mới có vợ chồng Có vợ chồng rồi sau mới có cha con có cha con rồi sau mới có vua tôi	
此 綱 常 之 道 所 由 著 也	Đó là lí do khiến cho đạo cương thường được sáng tỏ	
大 學 曰 心 正 而 后 身 脩 身 脩 而 后 家 齊 家 齊 而 后 國 治 國 治 而 后 天 下 平	Sách Đại Học nói Lòng có chính thì sau mới sửa mình được sửa mình thì sau mới tề nhà được tề nhà thì sau mới trị nước được nước trị thì sau thiên hạ mới bình	
此 治 平 之 道 所 由 行 也	Đó là lí do khiến cho đạo trị bình được thi hành	
然 則 天 地 之 道 不 能 外 綱 常 以 立 極 帝 王 之 道 外 綱 常 以 為 治 㢤 粤 自 洪 庞 氏 經 陽 王 繼 神 農 之 後 娶 洞 庭 君 女 明 夫 婦 之 道 正 風 化 之 原	Xem thế thì đạo trời đất không thể ngoài cương thường mà lập giới hạn đạo đế vương há có thể ngoài cương thường mà yên trị sao Kể từ khi Kinh Dương Vương họ Hồng Bàng nối dòng dõi Thần Nông lấy con gái vua Động Đình sáng rõ đạo vợ chồng theo đúng nguồn phong hoá	
君 焉 則 以 德 化 民 垂 衣 掑 手 民 焉 則 耕 田 井 出 作 入 息 其 炎 帝 太	Vua thì lấy đức mà cảm hoá dân giũ áo khoanh tay Dân thì cày ruộng đào giếng ra ngoài thì làm lụng trở về thì nghỉ ngơi chẳng phải là phong tục thái bình	
古 之 風 貉 龍 君 繼 鴻 庞 之 世 娶 甌 貉 氏 女 而 生 有 百 男 之 祥 百 粤 之 祖 實 始 於 此 享 國 歷 年 最 為 久 長 富 壽 多 男 自 古 以 來 未 之 有 也	Cổ của Viêm Đế sao Lạc Long Quân nối đời Hồng Bàng lấy con gái họ Âu Lạc mà có điềm lành sinh trăm con trai tổ của người Bách Việt thực bắt đầu từ đấy hưởng nước trải nhiều năm rất là lâu dài đã giàu thọ lại nhiều con trai từ xưa đến nay chưa từng có	
䧺 王 嗣 貉 龍 之 統 務 施 德 惠 而 撫 綏 其 民 專 事 農 桑 之 業 靡 有 兵 戈 之 警 繼 世 子 孫 並 以 䧺 王 為 號 祚 凡 十 八 世 經 二 千 餘 年 結 䋲 為 政 民 無 詐 偽 可 見 淳 厖 樸 野 之 俗 矣	Hùng Vương nối nghiệp của Lạc Long chăm ban đức huệ để vỗ yên dân chuyên nghề làm ruộng chăn tằm không lo can qua chinh chiến con cháu nối đời đều gọi là Hùng Vương phúc gồm mười tám đời trải hơn hai nghìn năm buộc nút dây mà làm chính sự dân không gian dối có thể thấy được phong tục thuần hậu quê mùa vậy	
後 王 德 衰 怠 於 政 事 廢 武 僃 而 不 脩 酒 色 以 為 樂 蜀 兵 一 至 而 國 綂 遂 亡	Đến vua sau đức kém lười chính sự bỏ sửa sang vũ bị ham mê tửu sắc làm vui binh nước Thục vừa đến thì quốc thống bèn mất	
安 陽 王 西 徒 巴 蜀 南 烕 䧺 王 都 于 螺 城	An Dương Vương phía tây thì dời sang Ba Thục phía nam thì diệt vua Hùng Vương đóng đô ở Loa Thành	
保 有 甌 貉 得 龜 爪 之 弩 卻 秦 人 之 兵 狃 於 戰 勝 安 樂 而 驕 趙 兵 來 攻 而 邊 疆 失 守	Giữ nước Âu Lạc nhờ được nỏ móng rùa đánh lui quân nhà Tần quen mui đánh thắng yên vui sinh kiêu quân Triệu đến đánh mà cõi bờ không giữ được	
趙 武 帝 承 秦 之 亂 奄 有 領 表 都 于 番 禺 與 漢 髙 祖 各 帝 一 方 有 爱 民 之 仁 有 保 之 智	Triệu Vũ Đế nhân loạn nhà Tần chiếm lấy đấy Lĩnh Biểu đóng đô ở Phiên Ngung cùng với Hán Cao Tổ đều làm đế một phương có lòng nhân thương dân có mưu trí giữ nước	
武 功 懾 乎 蠶 叢 文 教 振 乎 象 郡 以 詩 書 而 化 訓 國 俗 以 仁 義 而 固 結 人 心 教 民 耕 種 國 富 兵 強 至 於 遣 使 一 節 詞 極 謙 遜 南 北 交 歡 天 下 無 事 享 國 百 有 餘 年 真 英 雄 才 略 之 主 也	Vũ công khiến Tàm Tùng phải kinh sợ văn giáo khiến Tượng Quận được chấn hưng lấy thi thư mà biến đổi tục nước lấy nhân nghĩa mà cố kết lòng người dạy dân cày trồng nước giàu binh mạnh đến như các việc sai sứ thì lời rất khiêm tốn Nam Bắc chung vui thiên hạ vô sự hưởng nước hơn trăm năm đúng là bậc anh hùng tài lược	
文 王 以 武 帝 之 嫡 孫 纘 承 業 凡 其 制 度 典 章 一 遵 先 王 成 憲 感 鄰 以 義 卻 敵	Văn Vương là đích tôn của Vũ Đế nối giữ nghiệp cũ phàm các chế độ điển chương hết thảy đều tuân theo phép cũ của vua trước lấy nghĩa mà cảm nước láng giềng đánh lui quân địch	
安 邊	Giữ yên biên cương	
亦 繼 體 守 成 之 君 也	Cũng là bậc vua nối được thể chế giữ được cơ nghiệp vậy	
明 王 嗣 德 之 初 安 於 縱 弛	Minh Vương buổi đầu nối nghiệp yên vui buông thả	
樛 后 得 寵 越 姬 見 國 中 不 睦 紀 綱 大 亂	Cù Hậu được yêu vợ Việt bị bỏ trong nước không hoà kỷ cương đại loạn	
哀 王 以 童 稚 之 年 昧 經 國 之 理 母 后 驕 滛 權 臣 執 政 而 趙 家 基 業 卒 至 陵 夷	Ai Vương tuổi ấu thơ chưa biết lẽ trị nước mẫu hậu kiêu dâm quyền thần chấp chính mà cơ nghiệp họ Triệu rốt cuộc lụi bại	
術 陽 王 以 哀 王 之 兄 建 立 於 權 臣 之 守 智 力 短 淺 強 虜 來 侵 而 趙 氏 基 圖 從 茲 蕧 没	Thuật Dương Vương là anh Ai Vương lập nên bởi tay quyền thần trí kém sức yếu giặc mạnh xâm lấn mà cơ đồ nhà Triệu từ đấy sụp đổ	
迹 其 哀 王 之 禍 雖 出 於 吕 嘉 而 實 由 明 王 寵 嬖 樛 后 以 啟 之 也	Xét tai hoạ của Ai Vương tuy ở Lữ gia nhưng thực ra là do ở Minh Vương yêu chiều Cù Hậu mà gây ra	
女 色 之 傾 人 國 家 如 此 深 可 為 戒	Nữ sắc làm nghiêng đổ nước nhà như thế phải lấy làm răn	
逮 夫 徵 王 胃 出 雄 王 之 後 姊 妹 俱 以 勇 略 聞 念 蘇 定 苛 政 紏 率 諸 部 奮	Kịp đến Trưng Vương là dòng dõi Hùng Vương chị em đều có tiếng dũng lược căm giận Tô Định chính lệnh hà khắc tàn ngược tụ họp người các bộ hăng hái dấy	
雄 師 大 振 威 名 郡 縣 響 應 故 略 定 嶺 外 六 十 五 成 盡 復 南 越 故 境 亦 女 中 之 豪 傑 也	Đội quân hùng mạnh lừng lẫy uy danh quận huyện hưởng ứng cho nên lấy được sáu mươi năm thành ở Lĩnh Ngoại thu lại hết đất cũ Nam Việt cũng là bậc hào kiệt trong nữ lưu	
然 天 不 祚 貉 漢 兵 來 侵 向 使 當 時 有 英 雄 才 略 之 主 則 漢 敢 窺 於 梅 嶺	Song vì trời không giúp họ Lạc nên quân Hán lại sang xâm lược nếu bấy giờ có anh hùng tài lược thì nhà Hán đâu dám dòm ngó đến đèo Mai Lĩnh	
㢤 士 王 習 魯 國 之 風 流 學 問 博 洽 謙 虚 下 士 化 國 俗 以 詩 書 淑 人 心 以 禮 樂 治 國 踰 四 十 年 境 內 無 事	Sĩ Vương tập theo phong hoá nước Lỗ học vấn rộng khắp khiêm tốn với sĩ phu đổi tục nước bằng thi thư sửa lòng người bằng lễ nhạc trị nước hơn bốn mươi năm trong cõi vô sự	
然 而 子 徽 輕 信 士 匡 之 言 不 設 兵 僃 遂 為 吕 岱 所 害	Nhưng vì con là Huy nhẹ dạ tin lời Sĩ Khuông không đặt binh bị nên bị Lữ Đại giết hại	
趙 嫗 以 九 真 之 女 聚 徒 山 中 攻 破 城 邑 諸 部 景 從 易 於 反 掌	Triệu Ẩu là người con gái ở quận Cửu Chân họp quân trong núi đánh phá thành ấp các bộ đều theo như bóng theo hình dễ hơn trở bàn tay	
雖 未 㨿 嶺 表 如 徵 王 故 事 亦 女 中 之 雄 才 也	Tuy chưa chiếm giữ được đất Lĩnh Biểu như việc cũ của Trưng Vương nhưng cũng là bậc hùng tài trong nữ giới	
前 南	Tiền Lý Nam	
帝 有 聰 明 之 至 性 僃 文 武 之 奇 才 北 逐 蕭 諮 南 平 林 邑 建 國 號 正 尊 稱 置 百 官 紀 年 號 有 帝 王 䂓 畫 之 大 略	Đế tính rất thông minh đủ tài văn võ phía bắc đánh đuổi Tiêu Tư phía nam dẹp yên Lâm Ấp dựng quốc hiệu chính ngôi tôn đặt trăm quan định niên hiệu có đại lược quy hoạch của đế vương	
奈 何 澈 湖 之 師 已 潰 覇 先 之 寇 方 張 白 牛 之 書 盖 有 天 數 也	Nhưng quân ở Triệt Hồ đã vỡ giặc Bá Tiên đương hăng xem chữ trên lưng nghé trắng đủ biết số trời đã định	
桃 郎 王 以 南 帝 之 兄 收 餘 烬 之 卒 一 戰 而 敗 退 保 野 盖 其 威 力 不 足 也	Đào Lang Vương là anh của Nam Đế thu nhặt quân sót lại đánh một trận liền thua lui giữ Dã Năng là vì uy lực không đủ vậy	
趙 越 王 接 前 南 帝 之 統 保 有 朱 鳶 之 地 初 與 桃 郎 乘 時 而 稱 王 卒 與 後 李 分 國 而 共 治	Triệu Việt Vương nối ngôi Tiền Nam Đế giữ đất Chu Diên lúc đầu cùng với Đào Lang nhân thời mà xưng vương đến sau với Hậu Lý chia nước mà cùng trị	
幸 得 龍 爪 之 瑞 大 破 全 梁 之 兵	May được móng rồng điềm tốt phá tan được quân nhà Lương	
奈 何 螺 城 之 築 未 乾 鴉 海 之 師 隨 溺 鵝 毛 之 禍 是 誰 也 後 南 帝	Nhưng rồi thành Loa đất đắp chưa khô biển Nha quân liền chết đuối tai hoạ lông ngỗng ấy là lỗi của ai Hậu Nam Đế	
業 承 二 兄 治 踰 四 紀	Nối nghiệp của hai anh trị nước hơn bốn kỷ	
然 背 義 而 滅 趙 望 風 而 降 隋 遂 成 北 狩 之 辱 由 其 自 取 也	Song bội nghĩa mà diệt Triệu nghe gió mà hàng Tuỳ đến nỗi bị nhục đưa về bắc triều cũng bởi tự mình làm ra cả	
嗚 呼 天 命 靡 常 人 心 難 信	Than ôi Mệnh trời không thường lòng người khó tin	
前 乎 安 陽 王 恃 有 龜 爪 之 瑞 怠 心 一 形 而 國 隨 以 滅 後 乎 趙 王 恃 有 龍 爪 之 祥 驕 心 一 生 而 國 隨 以 亡	Trước thì An Dương Vương cậy có điềm móng rùa sinh lòng trễ biếng mà nước bị diệt sau thì Triệu Việt Vương cậy có điềm móng rồng sinh lòng kiêu căng mà nước bị mất	
祥 瑞 之 事 果 何 益 㢤 趙 武 帝 使 仲 始 托 婚 於 安 陽 王 之 女 乃 窃 其 龜 爪 以 伐 安 陽 王 而 取 其 國 則 趙 武 帝 之 計 險 矣 而 趙 氏 尋 滅 於 漢 後 南 帝 使 雅 郎 托 娶 於 趙 王 之 女 乃 窃 其 龍 爪 以 伐 趙 王 而 移 其 祚 則 後 南	Chuyện điềm lành có ích gì đâu Triệu Vũ Đế sai Trọng Thuỷ giả danh lấy con gái An Dương Vương rồi lấy trộm móng rùa đánh An Dương Vương để lấy nước thế thì kế của Triệu Vũ Đế cũng hiểm nhưng rồi Triệu cũng bị Hán diệt Hậu Lý Nam Đế sai Nhã Lang giả danh lấy con gái Triệu Việt Vương rồi lấy trộm móng rồng đánh Triệu Việt Vương mà cướp ngôi thế thì mưu của Hậu Nam Đế cũng hiểm	
帝 之 術 深 矣 而 李 氏 卒 陷 於 隋	Cũng sâu nhưng rồi Lý cũng bị mất với Tuỳ	
噫 滅 人 之 國 人 亦 滅 其 國 天 道 昭 昭 足 為 明 戒	Ôi Diệt nước của người thì người khác lại diệt nước của mình đạo trời rõ ràng đủ làm bài học	
梅 黒 帝 起 自 驩 州 忿 楚 客 之 虐 政 兵 攻 之 南 㨿 海 嶺 北 距 李 唐 可 謂 豪 傑 之 主 也	Mai Hắc Đế nổi lên từ Châu Hoan căm giận chính lệnh tàn ngược của Sở Khách cất quân tiến đánh phía nam giữ đất Hải Lĩnh phía bắc chống lại nhà Đường có thể gọi là bậc vua hào kiệt	
惜 其 禦 㓂 非 才 人 心 寡 助 而 不 遏 楊 思 朂 之 亂 也	Tiếc rằng không tài chống giặc lòng người ít theo nên không thể át nổi cái loạn Dương Tư Húc	
馮 布 盖 以 唐 林 之 英 豪 惡 正 平 之 苛 虐 兄 弟 乘 時 屈 起 拯 民 乱 布 德 立 功 可 謂 仁 厚 之 主 也	Phùng Bố Cái là người anh hào ở Đường Lâm ghét sự tàn ngược của Chính Bình anh em thừa thời quật khởi cứu dân dẹp loạn ban đức lập công có thể gọi là bậc vua nhân hậu	
惜 其 子 安 不 嗣 守 見 立 於 破 迎 降 於 趙 昌 雖 有 杜 英 翰 謀 國 之 臣 亦 無 救 乎 馮 氏 之 亡 也	Tiếc rằng con trai là An không nối giữ được cơ nghiệp Do Phá Cần lập nên rồi đầu hàng Triệu Xương tuy có Đỗ Anh Hàn là bề tôi mưu lược việc nước cũng không cứu vãn được sự bại vong của họ Phùng	
曲 先 主 世 爲 巨 族 䧺	Khúc Tiên Chúa Thừa Dụ mấy đời là hào tộc mạnh	
睿 智 略 因 唐 之 亡 群 心 爱 戴 共 推 為 主 都 于 羅 城 民 安 國 治 功 德 永 垂 享 年 弗 久	Sáng chí lược nhân nhà Đường mất lòng người yêu mến suy tôn làm chúa dựng đô La Thành dân yên nước trị công đức truyền mãi nhưng hưởng tuổi không dài	
曲 中 主 克 承 先 業 綽 有 祖 風 運 籌 决 勝 出 人 意 表 北 朝 諸 國 而 抗 衡 為 我 之 令 主 定 府 籍 甲 之 職 制 度 稍 立 中 道 崩 殂	Khúc Trung Chúa Hạo nối cơ nghiệp trước khoan hoà có phong thái của ông nội trù hoạch quyết thắng ngoài ý mọi người chống mọi các nước Bắc triều là bậc chúa hiền của nước Việt định ra hộ tịch và chức quản giáp chế độ mới lập ít nhiều nửa chừng thì mất	
至 於 後 主 瀆 於 干 戈 賦 繁 役 重 百 姓 怨 嗟 尋 為 南 漢 所 滅	Đến đời Hậu Chúa Thừa Mỹ nhàm can qua nặng phú dịch trăm họ oán trách rồi bị Nam Hán đánh diệt	
楊 正 公 念 我 土 宇 久 為 南 漢 所 併 收 用 豪 傑 大 興 旅 两 敗 賊 尽 復 轝 圖	Dương Chính Công Đình Nghệ nghĩ đất đai của nước Việt ta bị Nam Hán thôn tính đã lâu thu dụng hào kiệt cả mấy nghĩa quân hai lần đánh bại tướng giặc thu lại dư đồ	
然 僃 患 無 謀 更 為 兒 所 弑	Song không có mưu dự phòng tai hoạ rồi bị con nuôi giết chết	
吳 先 主 誅 公 羡 之 賊 臣 破 弘 操 之 勍 敵 置 文 武 百 官	Ngô Tiên Chúa Quyền giết được nghịch thần Công Tiễn phá được giặc mạnh Hoằng Thao đặt ra cấp bậc các quan văn võ	
之 階 定 律 令 衣 服 之 制 真 世 之 奇 才 也	Định chế độ luật lệ y phục thực là bậc tài giỏi cứu đời	
然 顧 托 非 人 禍 及 後 嗣	Song ký thác không được người tốt để lại tai vạ cho con	
楊 三 哥 以 外 戚 之 親 受 托 孤 之 寄 然 廢 主 自 立 難 迯 簒 弑 之 誅	Dương Tam Kha là bà con ngoại thích chịu ký thác con côi song bỏ chúa mà tự lập khó tránh khỏi tội chết vì cướp khôi giết vua	
吳 後 主 克 復 祖 宗 之 業 保 安 境 內 之 民 足 爲 承 平 之 主	Ngô Hậu Chúa Xương Văn thu phục cơ nghiệp của tổ tông giữ yên nhân dân trong cõi đủ làm bậc vua nối nghiệp thái bình	
然 政 尚 姑 息 黷 於 武 功 禍 及 其 身	Song chính sự nhu nhơ đánh dẹp nhàm bậy chuốc hoạ vào thân	
天 策 王 以 主 之 嫡 嗣 始 爲 奸 臣 所 簒 而 不 正 其 罪 終 以 南 晋 所 逼 而 不 讓 其 功 作 威 福 之 權 竟 失 友 于 之 義	Thiên Sách Vương Xương Ngập là con đích của Tiên Chúa trước bị gian thần cướp ngôi mà không biết trị tội sau lại bức bách Nam Tấn Vương mà không biết nhường công chuyên quyền làm oai làm phúc lại mất tình nghĩa anh em	
皆 庸 才 之 主 也	Cả hai người đều là bậc vua tài hèn cả	
嗟 夫 自 有 天 地 即 有 綱 常 父 為 子 綱 君 為 臣 綱 萬 古 截 然 而 不 可 紊	Than ôi Từ khi có trời đất tức có cương thường cha làm cương cho con vua làm cương cho tôi muôn đời hẳn không thể rối được	
公 羡 乃 楊 正 公 之 兒 忘 其 豢 養 之 恩 率 其 黨 而 殺 正 公 是 以 子 而 殺 其 父 竟 為 先 主 所 誅	Công Tiễn kia vốn là con nuôi của Dương Chính Công mà quên ơn nuôi nấng đem bè đảng giết Chính Công thế là con giết cha rốt cũng bị Tiên Chủ giết chết	
三 哥 乃 吳 昌 岌 之 舊 臣 背 其 顧 托 之 言 逐 其 君 而 自 立 是 以 臣 而 叛 其 君 又 為 後 主 所 戮	Tam Kha là bề tôi cũ của Ngô Xương Ngập mà trái lời ký thác đuổi vua đi mà tự lập thế là tôi phản vua rồi lại bị Hậu Chúa giáng truất	
乱 賊 之 軰 生 前 則 不 容 天 地 之 間 没 後 則 難 迯 春 秋 之 法	Bọn loạn tặc lúc còn sống thì không thể dung trong trời đất sau khi chết thì khó tránh khỏi phép khen chê của Kinh Xuân Thu	
故 史 臣 筆 之 通 鑑 深 致 意 於 其 間 焉	Cho nên sử thần soạn sách Thông Giám để ý sâu vào chỗ ấy	
吳 氏 既 亡 十 二 使 君 乘 時 蜂 起 吳 日 慶 㨿 唐 林 李 朗 公 㨿 超 類 矯 順 㨿 洄 湖 吳 南 帝 㨿 夜 澤 阮 超 㨿 扶 烈 范 防 遏 㨿 藤 州 陳 明 公 㨿 長 州 吳 昌 熾 㨿 平	Họ Ngô đã mất Mười hai sứ quân thừa thời nổi dậy như ong Ngô Nhật Khánh giữ Đường Lâm Lý Lãng công giữ Siêu Loại Kiểu Thuận giữ Hồi Hồ Ngô Nam Đế giữ Dạ Trạch Nguyễn Siêu giữ Phù Liệt Phạm Phòng Át giữ Đằng Châu Trần Minh Công giữ Trường Xuân Ngô Xương Xí giữ Bình	
橋 矯 公 罕 㨿 峯 州 阮 太 平 㨿 三 帶 杜 景 碩 㨿 杜 洞 阮 守 捷 㨿 仙 逰	Kiều Kiều Công Hãn giữ Phong Châu Nguyễn Thái Bình giữ Tam Đới Đỗ Cảnh Thạc giữ Đỗ Động Nguyễn Thủ Tiệp giữ Tiên Du	
各 守 封 域 莫 相 攝	Mỗi người giữ lấy đất riêng không thể thông nhiếp nhau được	
世 道 至 此 風 俗 澆 漓 甚 矣	Thế đạo đến bấy giờ phong tục kiêu bạc quá lắm rồi	
何 則 十 二 使 君 皆 吳 王 之 舊 臣 當 後 主 親 征 唐 阮 為 毒 矢 所 中 而 殂 爲 臣 下 者 固 宜 復 讎 致 討 而 雪 後 主 之 耻 可 也 亦 當 圖 立 嗣 君 以 繼 先 主 之 統 可 也	Sao thế Mười hai sứ quân đều là tôi cũ của Ngô Vương khi Hậu chúa thân đi đánh hai thôn đem quân đến đánh báo thù để rửa nhục cho Hậu chúa mới là phải lại phải lo lập ra nối ngôi để nối lại thống hệ của Tiên chúa mới là phải	
胡 乃 君 既 遇 害 臣 皆 恝 心 各 相 雄 長 僣 僞 紛 紜 非 惟 得 罪 於 當 時 抑 亦 貽 譏 於 後 世	Thế mà vua bị hại bề tôi đều dửng dưng tự xưng hùng trường với nhau tiếm nguỵ rối ren không chỉ có tội với đương thời lại còn để tiếng chê cười cho đời sau nữa	
卒 為 丁 先 皇 所 定 固 其 宜 也	Rốt cuộc bị Đinh Tiên Hoàng bình định là đáng lắm	
故 史 臣 於 十 二 使 君 以 前 著 爲 外 紀 以 別 内 外	Cho nên sử thần tách từ Mười hai sứ quân về trước chép làm Ngoại Kỷ để phân biệt phần trong phần ngoài	
之 分 自 丁 先 皇 以 後 著 爲 正 統 以 明 君 臣 之 分	Từ Đinh Tiên Hoàng về sau chép làm chính thống để tỏ rõ phận vua tôi	
世 道 升 降 之 幾 於 此 可 以 見 矣	Cơ vi thế đạo lên xuống xem có thể thấy được	
丁 先 皇 因 吳 國 之 䘮 乱 平 十 二 使 君 天 人 㱕 轝 圖 混 一 任 丁 佃 阮 匐 刘 基 鄭 琇 之 儔 為 之 輔 佐 剏 制 朝 定 立 軍 旅 我 正 統 之 君 實 自 此 始	Đinh Tiên Hoàng nhân khi nhà Ngô loạn lạc mất nước dẹp được Mười hai sứ quân trời cho người theo nhất thông bờ cõi dùng bọn Đinh Điền Nguyễn Bặc Lưu Cơ Trịnh Tú làm người phù tá sáng chế chiều nghi định lập quân đội vua chính thống của nước Việt ta thực bắt đầu từ đấy	
論 其 平 戎 破 敵 功 則 偉 矣 然 宗 庙 未 立 校 未 建 設 鼎 養 虎 以 爲 刑 獄 之 具 遺 犀 納 象 徒 爲 貢 献 之 勞 禮 樂 刑 政 之 不 脩 重 門 擊 柝 之 不 謹 卒 使 身 弑 國 危 禍 及 其 子 是 防 微 杜 漸 之 無 謀 也	Kể về mặt dẹp giặc phá định thì công to lắm nhưng tông miếu chưa dựng nhà học chưa xây đặt vạc nuôi hổ để làm đồ dùng hình ngục biếu tê dâng voi chỉ vất vả về cống dâng lễ nhạc hình chính không sửa sang giữ cửa canh đêm không cẩn thận rốt cùng chính mình bị giết nước bị nguy vạ lây đến con đó là không có mưu phòng giữ từ lúc việc còn bé nhỏ ngăn ngừa từ khi việc mới chớm ra	
少 帝 以 幼 虫	Thiếu đế tuổi còn thơ ấu	
之 年 嗣 艱 大 之 業 國 家 多 難 社 稷 傾 危 加 以 占 㓂 擾 其 南 宋 師 侵 其 北 權 臣 攝 政 國 内 離 心 丁 氏 訖 籙 是 保 制 治 之 無 策 也	Nối giữ cơ nghiệp khó khăn nước nhà nhiều nạn xã tắc lâm nguy lại thêm giặc Chiêm quấy nhiễu phía nam quân Tống xâm lăng phía bắc quyền thần nắm việc nước người trong nước lìa lòng kỷ nhà Đinh hết chép Chú giải là vì không có sách lược để giữ nước trị dân vậy	
盖 丁 氏 之 興 雖 出 於 天 数 及 其 衰 也 由 三 綱 之 不 正 焉	Nhà Đinh dấy lên tuy do số trời nhưng đến lúc suy tàn là do tam cương không chính	
先 皇 廢 嫡 立 少 而 父 子 之 恩 暌 五 后 並 立 而 夫 婦 之 倫 紊 任 杜 釋 以 成 簒 弑 之 禍 而 君 臣 之 道 䘮	Tiên Hoàng bỏ con đích lập con nhỏ mà ân tình cha con trái lìa lập năm hàng hậu ngang nhau mà tình nghĩa vợ chồng rối loạn yêu dùng Đỗ Thích để thành hoạ cướp ngôi giết vua mà đạo vua tôi không còn	
是 則 丁 氏 之 興 由 於 先 皇 丁 氏 之 亡 亦 由 於 先 皇 非 天 命 之 不 佑 盖 人 謀 之 弗 臧 也	Thế thì họ Đinh dấy lên do ở Tiên Hoàng mà họ Đinh mất đi cũng là do Tiên Hoàng không phải là mệnh trời không giúp chính là vì mưu của người không ra gì	
黎 大 行 擁 十 道 之 權 行 居 攝 之 事 主 少 國 危 乘 時 受 命 誅 占	Lê Đại Hành cầm quyền tướng quân mười đạo giữ chức nhiếp chính vua bé nước nguỵ nhân thời chịu mệnh giết	
城 主 以 雪 執 使 之 耻 摧 趙 宋 師 以 挫 必 勝 之 謀	Vua Chiêm Thành để rửa cái nhục sứ thần bị bắt phá quân Triệu Tống làm nhụt cái mưu tất thắng của chúng	
用 洪 献 巨 俩 徐 穆 子 安 之 流 為 之 左 右	Dùng bọn Hồng Hiến Cự Lạng Từ Mục Tử An để làm tả hữu	
