cn,sv,vi
孔子,Khổng Tử,Khổng Tử
太,Thái,Thái
黎凌,Lê Lăng,Lê Lăng
凌,Lăng,Lăng
明,Minh,Minh
翰,Hàn,Hàn
錢溥,Tiền Phổ,Tiền Phổ
王豫,Vương Dự,Vương Dự
安南國王司,An Nam Quốc Vương Tư,An Nam Quốc Vương Tư
太,Thái,Thái
柴昇,Sài Thăng,Sài Thăng
張俊,Trương Tuấn,Trương Tuấn
張榮,Trương Vinh,Trương Vinh
明,Minh,Minh
錢溥,Tiền Phổ,Tiền Phổ
溥,Phổ,Phổ
繼,Kế,Kế
吏,Lại,Lại
明黎公路,Minh Lê Công Lộ,Minh Lê Công Lộ
陳盤奏,Trần Bàn Tấu,Trần Bàn Tấu
裴祐,Bùi Hựu,Bùi Hựu
黎文顯黄文午謝子顛,Lê Văn Hiển Hoàng Văn Ngọ Tạ Tử Điên,Lê Văn Hiển Hoàng Văn Ngọ Tạ Tử Điên
明,Minh,Minh
鏳,Tranh,Tranh
皇,Hoàng,Hoàng
太,Thái,Thái
阮熾入,Nguyễn Xí Nhập,Nguyễn Xí Nhập
癸未,Quý Mùi,Quý Mùi
明天順,Minh Thiên Thuận,Minh Thiên Thuận
入,Nhập,Nhập
阮耒入,Nguyễn Lỗi Nhập,Nguyễn Lỗi Nhập
東,Đông,Đông
國,Quốc,Quốc
黎念,Lê Niệm,Lê Niệm
阮復,Nguyễn Phục,Nguyễn Phục
門,Môn,Môn
北,Bắc,Bắc
翰,Hàn,Hàn
阮如堵翰,Nguyễn Như Đổ Hàn,Nguyễn Như Đổ Hàn
東,Đông,Đông
阮永錫國,Nguyễn Vĩnh Tích Quốc,Nguyễn Vĩnh Tích Quốc
阮伯既,Nguyễn Bá Ký,Nguyễn Bá Ký
梁世榮,Lương Thế Vinh,Lương Thế Vinh
清池,Thanh Trì,Thanh Trì
大右例,Đại Hữu Lệ,Đại Hữu Lệ
阮氏蒲,Nguyễn Thị Bồ,Nguyễn Thị Bồ
梁世榮,Lương Thế Vinh,Lương Thế Vinh
東華,Đông Hoa,Đông Hoa
黄清,Hoàng Thanh,Hoàng Thanh
清,Thanh,Thanh
直卿,Trực Khanh,Trực Khanh
時洪州梁如鵠,Thời Hồng Châu Lương Như Hộc,Thời Hồng Châu Lương Như Hộc
太,Thái,Thái
聖宗,Thánh Tông,Thánh Tông
周,Chu,Chu
昨,Tạc,Tạc
阮復,Nguyễn Phục,Nguyễn Phục
傅阮熾,Phó Nguyễn Xí,Phó Nguyễn Xí
宗,Tông,Tông
卿,Khanh,Khanh
吏,Lại,Lại
阮如堵刑,Nguyễn Như Đổ Hình,Nguyễn Như Đổ Hình
陳封兵,Trần Phong Binh,Trần Phong Binh
阮永錫户,Nguyễn Vĩnh Tích Hộ,Nguyễn Vĩnh Tích Hộ
阮,Nguyễn,Nguyễn
法兵,Pháp Binh,Pháp Binh
阮廷美,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
司馬光,Tư MÃ Quang,Tư MÃ Quang
君,Quân,Quân
今黎景徽阮如堵范瑜,Kim Lê Cảnh Huy Nguyễn Như Đổ Phạm Du,Kim Lê Cảnh Huy Nguyễn Như Đổ Phạm Du
阮茂阮永錫阮鷟阮善,Nguyễn Mậu Nguyễn Vĩnh Tích Nguyễn TRạc Nguyễn Thiện,Nguyễn Mậu Nguyễn Vĩnh Tích Nguyễn TRạc Nguyễn Thiện
阮茂,Nguyễn Mậu,Nguyễn Mậu
阮茂,Nguyễn Mậu,Nguyễn Mậu
禮部,Lễ Bộ,Lễ Bộ
梁如鵠昨阮永禎,Lương Như Hộc Tạc Nguyễn Vĩnh Trinh,Lương Như Hộc Tạc Nguyễn Vĩnh Trinh
國,Quốc,Quốc
洪州,Hồng Châu,Hồng Châu
武覧,Vũ Lãm,Vũ Lãm
都,Đô,Đô
阮如回楊國明,Nguyễn Như Hồi Dương Quốc Minh,Nguyễn Như Hồi Dương Quốc Minh
吳西,Ngô Tây,Ngô Tây
阮胡,Nguyễn Hồ,Nguyễn Hồ
熾,Xí,Xí
司,Ti,Ti
阮盎,Nguyễn Áng,Nguyễn Áng
阮師回,Nguyễn Sư Hồi,Nguyễn Sư Hồi
予,Dư,Dư
時,Thờị,Thờị
師回,Sư Hồi,Sư Hồi
諭太,Dụ Thái,Dụ Thái
黎念,Lê Niệm,Lê Niệm
昔,Tích,Tích
太祖,Thái Tổ,Thái Tổ
逮太宗,Đãi Thái Tông,Đãi Thái Tông
仁宗,Nhân Tông,Nhân Tông
宥,Hựu,Hựu
甲申,Giáp Thân,Giáp Thân
明天順,Minh Thiên Thuận,Minh Thiên Thuận
明英宗,Minh Anh Tông,Minh Anh Tông
見濡,Kiến Nhu,Kiến Nhu
成化,Thành Hoá,Thành Hoá
憲宗,Hiến Tông,Hiến Tông
西京,Tây Kinh,Tây Kinh
山陵,Sơn Lăng,Sơn Lăng
黎景徽,Lê Cảnh Huy,Lê Cảnh Huy
今,Kim,Kim
阮廌子󰢒鵡,Nguyễn Trãi Tử Anh Vũ,Nguyễn Trãi Tử Anh Vũ
阮廷羙,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
噐,Khí,Khí
吳士連阮善,Ngô Sĩ Liên Nguyễn Thiện,Ngô Sĩ Liên Nguyễn Thiện
刑,Hình,Hình
阮茂爾,Nguyễn Mậu Nhĩ,Nguyễn Mậu Nhĩ
如晦玄齡,Như Hối Huyền Linh,Như Hối Huyền Linh
戴胄,Đái Trụ,Đái Trụ
彦博,Ngạn Bác,Ngạn Bác
明,Minh,Minh
正,Chánh,Chánh
尚,Thượng,Thượng
蘇陵信,Tô Lăng Tín,Tô Lăng Tín
卲震,Thiệu Chấn,Thiệu Chấn
憲宗,Hiến Tông,Hiến Tông
明范伯珪,Minh Phạm Bá Khuê,Minh Phạm Bá Khuê
香黎友直楊宗海范慶庸,Hương Lê Hữu Trực Dương Tông Hải Phạm Khánh Dung,Hương Lê Hữu Trực Dương Tông Hải Phạm Khánh Dung
黎宗榮范琚陳文真,Lê Tông Vinh Phạm Cư Trần Văn Chân,Lê Tông Vinh Phạm Cư Trần Văn Chân
昔,Tích,Tích
祖,Tổ,Tổ
時,Thời,Thời
阮熾,Nguyễn Xí,Nguyễn Xí
昔,Tích,Tích
宋石高,Tống Thạch Cao,Tống Thạch Cao
唐房杜,Đường Phòng Đỗ,Đường Phòng Đỗ
卿,Khanh,Khanh
爾師回,Nhĩ Sư Hồi,Nhĩ Sư Hồi
當,Đương,Đương
諭僉,Dụ Thiêm,Dụ Thiêm
阮善,Nguyễn Thiện,Nguyễn Thiện
太和延寧,Thái Hoà Diên Ninh,Thái Hoà Diên Ninh
阮廷羙,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
廷羙,Đình Mĩ,Đình Mĩ
厲德,Lệ Đức,Lệ Đức
阮如堵陳封,Nguyễn Như Đổ Trần Phong,Nguyễn Như Đổ Trần Phong
北,Bắc,Bắc
阮如堵陳封,Nguyễn Như Đổ Trần Phong,Nguyễn Như Đổ Trần Phong
爾,Nhĩ,Nhĩ
阮善,Nguyễn Thiện,Nguyễn Thiện
爾,Nhĩ,Nhĩ
兵,Binh,Binh
阮永錫今楊國明,Nguyễn Vĩnh Tích Kim Dương Quốc Minh,Nguyễn Vĩnh Tích Kim Dương Quốc Minh
諭,Dụ,Dụ
覧,Lãm,Lãm
唐,Đường,Đường
王魏,Vương Nguỵ,Vương Nguỵ
乙酉,Ất Dậu,Ất Dậu
明憲宗見濡,Minh Hiến Tông Kiến Nhu,Minh Hiến Tông Kiến Nhu
化,Hoá,Hoá
阮師回大,Nguyễn Sư Hồi Đại,Nguyễn Sư Hồi Đại
他,Tha,Tha
黎念,Lê Niệm,Lê Niệm
五,Ngũ,Ngũ
丁癸,Đinh Quý,Đinh Quý
阮廷羙,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
黎壽域,Lê Thọ Vực,Lê Thọ Vực
爾,Nhĩ,Nhĩ
羽林,Vũ Lâm,Vũ Lâm
敬天,KÍnh Thiên,KÍnh Thiên
昌江,Xương Giang,Xương Giang
令,Lệnh,Lệnh
黎景徽,Lê Cảnh Huy,Lê Cảnh Huy
一,Nhất,Nhất
東華,Đông Hoa,Đông Hoa
禮,Lễ,Lễ
皇,Hoàng,Hoàng
至,Chí,Chí
便,Tiện,Tiện
樊姬,Phàn Cơ,Phàn Cơ
長,Trưởng,Trưởng
秦王,Tần Vương,Tần Vương
佯,Dương,Dương
衛󰱤,Vệ Quán,Vệ Quán
何,Hà,Hà
薜居州,Tiết Cư Châu,Tiết Cư Châu
時皇,Thời Hoàng,Thời Hoàng
鏳,Tranh,Tranh
改都,Cải Đô,Cải Đô
欽,Khâm,Khâm
知,Tri,Tri
左,Tả,Tả
吏,Lại,Lại
海,Hải,Hải
户,Hộ,Hộ
東,Đông,Đông
禮科南,Lễ Khoa Nam,Lễ Khoa Nam
兵,Binh,Binh
西,Tây,Tây
刑,Hình,Hình
北,Bắc,Bắc
工,Công,Công
編,Biên,Biên
尚,Thượng,Thượng
行遣,Hành Khiển,Hành Khiển
宣,Tuyên,Tuyên
造謹德,Tạo Cẩn Đức,Tạo Cẩn Đức
陳封,Trần Phong,Trần Phong
西,Tây,Tây
宣,Tuyên,Tuyên
陳謹,Trần Cẩn,Trần Cẩn
陳封,Trần Phong,Trần Phong
謹,Cẩn,Cẩn
封葑,Phong Phong,Phong Phong
謂,Vị,Vị
時翰,Thời Hàn,Thời Hàn
陳盤,Trần Bàn,Trần Bàn
朝,Triều,Triều
官,Quan,Quan
明陶雋陶正,Minh Đào Tuấn Đào Chính,Minh Đào Tuấn Đào Chính
阮士興,Nguyễn Sĩ Hưng,Nguyễn Sĩ Hưng
保樂,Bảo Lạc,Bảo Lạc
敬天乾德,KÍnh Thiên Càn Đức,KÍnh Thiên Càn Đức
文明,Văn Minh,Văn Minh
阮伯驥,Nguyễn Bá Ký,Nguyễn Bá Ký
伯驥,Bá Ký,Bá Ký
朕,Trẫm,Trẫm
予,Dư,Dư
司,Tư,Tư
范虎,Phạm Hổ,Phạm Hổ
爾,Nhĩ,Nhĩ
其,Kì,Kì
中,Trung,Trung
常,Thường,Thường
满,Mãn,Mãn
鴈,Nhạn,Nhạn
聯,Liên,Liên
魚,Ngư,Ngư
三,Tam,Tam
七,Thất,Thất
張,Trương,Trương
相,Tương,Tương
奇,Kì,Kì
京,Kinh,Kinh
凣,Phàm,Phàm
丙戌,Bính Tuất,Bính Tuất
明成化,Minh Thành Hoá,Minh Thành Hoá
黎仁噲,Lê NHân Khoái,Lê NHân Khoái
置宣,Trí Tuyên,Trí Tuyên
文顯,Văn Hiển,Văn Hiển
欽,KHâm,KHâm
阮時達,Nguyễn Thì Đạt,Nguyễn Thì Đạt
順化,Thuận Hoá,Thuận Hoá
宣,Tuyên,Tuyên
阮文質,Nguyễn Văn Chất,Nguyễn Văn Chất
乂安宣,Nghệ An Tuyên,Nghệ An Tuyên
黎仁噲,Lê NHân Khoái,Lê NHân Khoái
陳封,TRần Phong,TRần Phong
係,Hệ,Hệ
陳胡,Trần Hồ,Trần Hồ
吳,Ngô,Ngô
順天,Thuận Thiên,Thuận Thiên
敬天,Kính Thiên,Kính Thiên
命崇,Mệnh Sùng,Mệnh Sùng
入,Nhập,Nhập
黎景徽,Lê Cảnh Huy,Lê Cảnh Huy
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
翰,Hàn,Hàn
都,Đô,Đô
陳盤,TRần Bàn,TRần Bàn
阮直翰,Nguyễn Trực Hàn,Nguyễn Trực Hàn
户,Hộ,Hộ
謹德,Cẩn Đức,Cẩn Đức
阮居,Nguyễn Cư,Nguyễn Cư
道翰,Đạo Hàn,Đạo Hàn
武永禎,Vũ Vĩnh Trinh,Vũ Vĩnh Trinh
楊如珠,Dương Như Châu,Dương Như Châu
阮仁?,Nguyễn NHân Thiếp,Nguyễn NHân Thiếp
自,Tự,Tự
楊如珠,Dương Như Châu,Dương Như Châu
禮,Lễ,Lễ
東化,Đông Hoa,Đông Hoa
膠水,Giao Thuỷ,Giao Thuỷ
楊如珠,Dương Như Châu,Dương Như Châu
按覃文禮,Án Đàm Văn Lễ,Án Đàm Văn Lễ
粤,Việt,Việt
唐󰔄三代,Đường Ngu Tam Đại,Đường Ngu Tam Đại
漢唐宋,Hán Đường Tống,Hán Đường Tống
黎太祖,Lê Thái Tổ,Lê Thái Tổ
太宗,Thái Tông,Thái Tông
自壬戌,Tự Nhâm Tuất,Tự Nhâm Tuất
仁宗,Nhân Tông,Nhân Tông
至聖宗癸未中興,Chí Thánh Tông Quý Mùi Trung Hưng,Chí Thánh Tông Quý Mùi Trung Hưng
壬戌,Nhâm Tuất,Nhâm Tuất
癸未,Quý Mùi,Quý Mùi
丙戌,Bính Tuất,Bính Tuất
刑,Hình,Hình
吏户禮兵刑工,Lại Hộ Lễ Binh Hình Công,Lại Hộ Lễ Binh Hình Công
太,Thái,Thái
黎廷俊,Lê Đình Tuấn,Lê Đình Tuấn
於,Ư,Ư
黎壽域,Lê Thọ Vực,Lê Thọ Vực
尔,Nhĩ,Nhĩ
時壽域,Thời Thọ Vực,Thời Thọ Vực
端明,Đoan Minh,Đoan Minh
訓,Huấn,Huấn
自,Tự,Tự
清化乂安順化天長南策國威北江安󰘊興化宣光太原諒山中都,Thanh Hoá Nghệ An Thuận Hoá Thiên Trường Nam Sách Quốc Oai Bắc Giang An Bang Hưng Hoá Tuyên Quang Thái Nguyên Lạng Sơn Trung Đô,Thanh Hoá Nghệ An Thuận Hoá Thiên Trường Nam Sách Quốc Oai Bắc Giang An Bang Hưng Hoá Tuyên Quang Thái Nguyên Lạng Sơn Trung Đô
巡察,Tuần Sát,Tuần Sát
縣,Huyện,Huyện
社,Xã,Xã
社,Xã,Xã
停,Đình,Đình
小,Tiểu,Tiểu
隊,Đội,Đội
軍,Quân,Quân
改工,Cải Công,Cải Công
以僉,Lĩ Thiêm,Lĩ Thiêm
阮善,Nguyễn Thiện,Nguyễn Thiện
清華,Thanh Hoa,Thanh Hoa
爾,Nhĩ,Nhĩ
梁如鵠,Lương Như Hộc,Lương Như Hộc
係,Hệ,Hệ
裴榴,Bùi Lựu,Bùi Lựu
一,Nhất,Nhất
羽林,Vũ Lâm,Vũ Lâm
改左,Cải Tả,Cải Tả
司,Ti,Ti
諭僉,Dụ Thiêm,Dụ Thiêm
陶雋,Đào Tuấn,Đào Tuấn
太和延寧,Thái Hoà Diên Ninh,Thái Hoà Diên Ninh
御,Ngự,Ngự
是,Thị,Thị
又,Hựu,Hựu
陶雋,Đào Tuấn,Đào Tuấn
今,Kim,Kim
丁亥八,Đinh Hợi Bát,Đinh Hợi Bát
明成化,Minh Thành Hoá,Minh Thành Hoá
春,Xuân,Xuân
西京,Tây Kinh,Tây Kinh
天派,Thiên Phái,Thiên Phái
上,Thượng,Thượng
朕,Trẫm,Trẫm
欲,Dục,Dục
去,Khứ,Khứ
朕,Trẫm,Trẫm
苟,Cẩu,Cẩu
朝,Triều,Triều
户,Hộ,Hộ
尙,Thượng,Thượng
陳封,Trần Phong,Trần Phong
鎮,Trấn,Trấn
永蓬,Vĩnh Phùng,Vĩnh Phùng
經,Kinh,Kinh
鄭文洒黎希葛,Trịnh Văn Sái Lê Hi Cát,Trịnh Văn Sái Lê Hi Cát
兵,Binh,Binh
阮永錫,Nguyễn Vĩnh Tích,Nguyễn Vĩnh Tích
大小,Đại Tiểu,Đại Tiểu
殿,Điện,Điện
汝文蘭,Nhữ Văn Lan,Nhữ Văn Lan
小,Tiểu,Tiểu
慶,Khánh,Khánh
勤政,Cần Chính,Cần Chính
太,Thái,Thái
慶壽,KHánh Thọ,KHánh Thọ
慶壽,Khánh Thọ,Khánh Thọ
勤政,Cần Chính,Cần Chính
國,Quốc,Quốc
若會,NHược Hội,NHược Hội
中鄕,Trúng Hương,Trúng Hương
御,Ngự,Ngự
添,Thiêm,Thiêm
梁世,Lương Thế,Lương Thế
籃京,Lam Kinh,Lam Kinh
籃京,Lam Kinh,Lam Kinh
安泊,An Bạc,An Bạc
丁酉,Đinh Dậu,Đinh Dậu
行文廟,Hành Văn Miếu,Hành Văn Miếu
甲辰,Giáp Thìn,Giáp Thìn
太,Thái,Thái
阮耒,Nguyễn Lỗi,Nguyễn Lỗi
至靈弘祐,Chí Linh Hoằng Hựu,Chí Linh Hoằng Hựu
命户,Mệnh Hộ,Mệnh Hộ
陳封,Trần Phong,Trần Phong
籃山,Lam Sơn,Lam Sơn
霪,Dâm,Dâm
籃京,Lam Kinh,Lam Kinh
乙巳,Ất Tị,Ất Tị
屈打,Khuất Đả,Khuất Đả
哀牢,Ai Lao,Ai Lao
初哀牢,Sơ Ai Lao,Sơ Ai Lao
弄恫,Lộng Động,Lộng Động
屈打,Khuất Đả,Khuất Đả
同,Đồng,Đồng
阮洞,Nguyễn Động,Nguyễn Động
汧仁壽,Nghiên Nhân Thọ,Nghiên Nhân Thọ
帝,Đế,Đế
仁壽,Nhân Thọ,Nhân Thọ
汝,Nhữ,Nhữ
屈打,Khuất Đả,Khuất Đả
仁壽,Nhân Thọ,Nhân Thọ
東京,Đông Kinh,Đông Kinh
太,Thái,Thái
黎念,Lê Niệm,Lê Niệm
武庫,Vũ KHố,Vũ KHố
黎念,Lê Niệm,Lê Niệm
國威,Quốc Oai,Quốc Oai
𢒎來,Phi Lai,Phi Lai
時粘,Thời Chiêm,Thời Chiêm
沈樸勒沙,Thẩm Phác Lặc Sa,Thẩm Phác Lặc Sa
安,An,An
明,Minh,Minh
太,Thái,Thái
丁列太,Đinh Liệt Thái,Đinh Liệt Thái
阮耒,Nguyễn Lỗi,Nguyễn Lỗi
往,Vãng,Vãng
明,Minh,Minh
縱,Túng,Túng
卿,Khanh,Khanh
阮居道,Nguyễn Cư Đạo,Nguyễn Cư Đạo
人,Nhân,Nhân
明,Minh,Minh
魯江,Lỗ Giang,Lỗ Giang
天長承,Thiên Trường Thừa,Thiên Trường Thừa
承,Thừa,Thừa
犯瑜,Phạm Du,Phạm Du
瑜,Du,Du
知,Tri,Tri
阮似,Nguyễn Tự,Nguyễn Tự
命寧朔,Mệnh Ninh Sóc,Mệnh Ninh Sóc
陶院,Đào Viện,Đào Viện
督,Đốc,Đốc
屈打,Khuất Đả,Khuất Đả
哀牢,Ai Lao,Ai Lao
哀牢,Ai Lao,Ai Lao
哀牢,Ai Lao,Ai Lao
請,Thỉnh,Thỉnh
屈打,Khuất Đả,Khuất Đả
陶院,Đào Viện,Đào Viện
韋,Vi,Vi
黎舌,Lê Thiệt,Lê Thiệt
罷鎮,Bãi Trấn,Bãi Trấn
黎漢庭,Lê Hán Đình,Lê Hán Đình
初漢庭,Sơ Hán Đình,Sơ Hán Đình
陶保,Đào Bảo,Đào Bảo
漢庭,Hán Đình,Hán Đình
太,Thái,Thái
阮德素,Nguyễn Đức Tố,Nguyễn Đức Tố
漢庭,Hán Đình,Hán Đình
中,Trung,Trung
满,Mãn,Mãn
三,Tam,Tam
常,Thường,Thường
鎮,Trấn,Trấn
安吒,An Cha,An Cha
常山,Thường Sơn,Thường Sơn
白鶴三岐,Bạch Hạc Tam Kì,Bạch Hạc Tam Kì
吏,Lại,Lại
國,Quốc,Quốc
下營繕,Hạ Dinh Thiện,Hạ Dinh Thiện
黄文弁,Hoàng Văn Biền,Hoàng Văn Biền
鄭公旦,Trịnh Công Đán,Trịnh Công Đán
講武,Giảng Võ,Giảng Võ
翰,Hàn,Hàn
阮,Nguyễn,Nguyễn
命禮,Mệnh Lễ,Mệnh Lễ
黎弘欲,Lê Hoằng Dục,Lê Hoằng Dục
占城,Chiêm Thành,Chiêm Thành
北,Bắc,Bắc
占,Chiêm,Chiêm
占,Chiêm,Chiêm
奪西,Đoạt Tây,Đoạt Tây
黎,Lê,Lê
舌,Thiệt,Thiệt
伯達,Bá Đạt,Bá Đạt
以户,Dĩ Hộ,Dĩ Hộ
陳封,Trần Phong,Trần Phong
刑,Hình,Hình
吏,Lại,Lại
范文顯,Phạm Văn Hiển,Phạm Văn Hiển
中,Trung,Trung
禮,Lễ,Lễ
黎弘欲,Lê Hoằng Dục,Lê Hoằng Dục
西,Tây,Tây
工,Công,Công
裴括,Bùi Quát,Bùi Quát
東,Đông,Đông
刑,Hình,Hình
范公毅,Phạm Công Nghị,Phạm Công Nghị
禮,Lễ,Lễ
御,Ngự,Ngự
勤政,Cần Chính,Cần Chính
阮居道,Nguyễn Cư Đạo,Nguyễn Cư Đạo
都,Đô,Đô
户,Hộ,Hộ
天長,Thiên Trường,Thiên Trường
范瑜,Phạm Du,Phạm Du
宣,Tuyên,Tuyên
工,Công,Công
御,Ngự,Ngự
陳鷟,Trần Xác,Trần Xác
翰,Hàn,Hàn
吏,Lại,Lại
秘,Bí,Bí
阮廷美,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
宫,Cung,Cung
户,Hộ,Hộ
翰,Hàn,Hàn
兵,Binh,Binh
陳盤,Trần Bàn,Trần Bàn
宮,Cung,Cung
吏,Lại,Lại
太,Thái,Thái
行,Hành,Hành
黎忠,Lê Trung,Lê Trung
承,Thừa,Thừa
户,Hộ,Hộ
光,Quang,Quang
武永禎,Vũ Vĩnh Trinh,Vũ Vĩnh Trinh
翰林,Hàn Lâm,Hàn Lâm
禮,Lễ,Lễ
秘,Bí,Bí
阮寧,Nguyễn Ninh,Nguyễn Ninh
僉,Thiêm,Thiêm
右,Hữu,Hữu
吏,Lại,Lại
潘維禎,Phan Duy Trinh,Phan Duy Trinh
天長,Thiên Trường,Thiên Trường
承,Thừa,Thừa
興化,Hưng Hoá,Hưng Hoá
參,Tham,Tham
阮德輶,Nguyễn Đức Du,Nguyễn Đức Du
御,Ngự,Ngự
歸化,Quy Hoá,Quy Hoá
知,Tri,Tri
阮叔通,Nguyễn Thúc Thông,Nguyễn Thúc Thông
化承,Hoá Thừa,Hoá Thừa
屈打,Khuất Đả,Khuất Đả
通政,Thông Chính,Thông Chính
汧仁壽,Nghiên Nhân Thọ,Nghiên Nhân Thọ
哀牢,Ai Lao,Ai Lao
道同,Đạo Đồng,Đạo Đồng
嘉興木州,Gia Hưng Mộc Châu,Gia Hưng Mộc Châu
馬,Mã,Mã
溝弄,Câu Lộng,Câu Lộng
屈打,Khuất Đả,Khuất Đả
嘉興,Gia Hưng,Gia Hưng
總,Tổng,Tổng
黎勉,Lê Miễn,Lê Miễn
丘祝,Khâu Chúc,Khâu Chúc
越每,Việt Mỗi,Việt Mỗi
屈打,Khuất Đả,Khuất Đả
道銅,Đạo Đồng,Đạo Đồng
屈打,Khuất Đả,Khuất Đả
木,Mộc,Mộc
車蛮,Xa Man,Xa Man
琴蘿,Cầm La,Cầm La
丁列,Đinh Liệt,Đinh Liệt
道銅,Đạo Đồng,Đạo Đồng
道銅,Đạo Đồng,Đạo Đồng
初明,Sơ Minh,Sơ Minh
李茂實,Lí Mậu Thực,Lí Mậu Thực
廣東,Quảng Đông,Quảng Đông
安󰘊,An Bang,An Bang
阮居道,Nguyễn Cư Đạo,Nguyễn Cư Đạo
屯,Đồn,Đồn
其,Kì,Kì
宣光歸化陀江,Tuyên Quang Quy Hoá Đà Giang,Tuyên Quang Quy Hoá Đà Giang
陽宗海,Dương Tông Hải,Dương Tông Hải
都,Đô,Đô
梁世榮,Lương Thế Vinh,Lương Thế Vinh
鎮,Trấn,Trấn
裴訓,Bùi Huấn,Bùi Huấn
人,Nhân,Nhân
今訓,Kim Huấn,Kim Huấn
五,Ngũ,Ngũ
時監,Thời Giám,Thời Giám
詩書,Thi Thư,Thi Thư
禮,Lễ,Lễ
周,Chu,Chu
春,Xuân,Xuân
五,Ngũ,Ngũ
黎宗永,Lê Tông Vĩnh,Lê Tông Vĩnh
宗永,Tông Vĩnh,Tông Vĩnh
嘉遠,Gia Viễn,Gia Viễn
阮固,Nguyễn Cố,Nguyễn Cố
總,Tổng,Tổng
黎元,Lê Nguyên,Lê Nguyên
梁世榮,Lương Thế Vinh,Lương Thế Vinh
帝,Đế,Đế
蘇問嗒剌,Tô Vấn Đáp Lạt,Tô Vấn Đáp Lạt
北平通化,Bắc Bình Thông Hoá,Bắc Bình Thông Hoá
遣北,Khiển Bắc,Khiển Bắc
潘宗薦,Phan Tông Tiến,Phan Tông Tiến
北平,Bắc Bình,Bắc Bình
黎六阮量,Lê Lục Nguyễn Lượng,Lê Lục Nguyễn Lượng
時明,Thời Minh,Thời Minh
鎮安,Trấn An,Trấn An
岑祖德,Sầm Tổ Đức,Sầm Tổ Đức
音洞,Âm Động,Âm Động
岑望,Sầm Vọng,Sầm Vọng
北平,Bắc Bình,Bắc Bình
通農那蠻,Thông Nông Na Man,Thông Nông Na Man
保樂,Bảo Lạc,Bảo Lạc
祖德,Tổ Đức,Tổ Đức
蠻離蠻戎,Man Li Man Nhung,Man Li Man Nhung
鎮安,Trấn An,Trấn An
戒離,Nhung Li,Nhung Li
通農保樂,Thông Nông Bảo Lạc,Thông Nông Bảo Lạc
岑望,Sầm Vọng,Sầm Vọng
祖德,Tổ Đức,Tổ Đức
宗薦,Tông Tiến,Tông Tiến
阮量,Nguyễn Lượng,Nguyễn Lượng
黄輦,Hoàng Liễn,Hoàng Liễn
安西,An Tây,An Tây
哀牢,Ai Lao,Ai Lao
丘牢,Khâu Lao,Khâu Lao
明,Minh,Minh
蘇問嗒剌,Tô Vấn Đáp Lạt,Tô Vấn Đáp Lạt
吏,Lại,Lại
嘉興,Gia Hưng,Gia Hưng
順每,Thuận Mỗi,Thuận Mỗi
琴同,Cầm Đồng,Cầm Đồng
哀牢,Ai Lao,Ai Lao
攽五,Ban Ngũ,Ban Ngũ
國,Quốc,Quốc
武永禎,Vũ Vĩnh Trinh,Vũ Vĩnh Trinh
楊宗海通,Dương Tông Hải Thông,Dương Tông Hải Thông
左,Tả,Tả
汧仁壽,Nghiên Nhân Thọ,Nghiên Nhân Thọ
鄭鉄長,Trịnh Thiết Trường,Trịnh Thiết Trường
刑,Hình,Hình
杜宗男,Đỗ Tông Nam,Đỗ Tông Nam
吏,Lại,Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
以阮復,Dĩ Nguyễn Phục,Dĩ Nguyễn Phục
清化承,Thanh Hoá Thừa,Thanh Hoá Thừa
昔,Tích,Tích
北,Bắc,Bắc
今,Kim,Kim
阮耒,Nguyễn Lỗi,Nguyễn Lỗi
北平,Bắc Bình,Bắc Bình
知,Tri,Tri
陶復禮,Đào Phục Lễ,Đào Phục Lễ
明,Minh,Minh
鎮安,Trấn An,Trấn An
紹,Thiệu,Thiệu
鎖脱隘,Toả Thoát Ải,Toả Thoát Ải
丁列,Đinh Liệt,Đinh Liệt
范公毅,Phạm Công Nghị,Phạm Công Nghị
古,Cổ,Cổ
傷,Thương,Thương
稷,Tắc,Tắc
邰,Thai,Thai
姬,Cơ,Cơ
󰔄舜姚,Ngu Thuấn Diêu,Ngu Thuấn Diêu
夏禹姒,Hạ Vũ Tự,Hạ Vũ Tự
周文姬,Chu Văn Cơ,Chu Văn Cơ
九,Cửu,Cửu
三,Tam,Tam
五,Ngũ,Ngũ
十,Thập,Thập
至漢髙祖,Chí Hán Cao Tổ,Chí Hán Cao Tổ
婁敬,Lâu Kính,Lâu Kính
劉,Lưu,Lưu
唐高祖,Đường Cao Tổ,Đường Cao Tổ
世勣,Thế Tích,Thế Tích
李,Lí,Lí
璜,Hoàng,Hoàng
宣光,Tuyên Quang,Tuyên Quang
黎饋,Lê Quỹ,Lê Quỹ
本,Bản,Bản
𫎇當,Mông Đương,Mông Đương
吒,Xá,Xá
丁列,Đinh Liệt,Đinh Liệt
邉,Biên,Biên
蠻夷,Man Di,Man Di
監,Giám,Giám
甲戌,Giáp Tuất,Giáp Tuất
