cn,sv,entity_position,entities,entity_type
二,Nhị,(0: 1),Nhị,
閏二月五日賜文武臣僚宴於翠靄洲,Nhuận nhị nguyệt ngũ nhật tứ văn võ thần liêu yến ư Thuý Ái châu,(12: 14),Thuý Ái,
時御舟𭛁自梁江駐翠靄文武臣僚拜賀故宴之,Thời ngự chu phát tự Lương Giang trú Thuý Ái văn võ thần liêu bái hạ cố yến chi,"(5: 7), (8: 10)","Lương Giang, Thuý Ái",
先是二月皇太后上陵而㱕偶嬰苦痢至閏月二十六日亥時崩于承華殿正寝壽七十六,Tiên thị nhị nguyệt Hoàng thái hậu thượng lăng nhi quy ngẫu anh khổ lị chí nhuận nguyệt nhị thập lục nhật Hợi thời băng vu Thừa Hoa điện chính tẩm thọ thất thập lục,"(4: 5), (22: 23), (26: 28)","Hoàng, Hợi, Thừa Hoa",
初皇太后未崩冬時帝𭁈皇太子日夜視疾弗離左右,Sơ Hoàng thái hậu vị băng đông thời đế dữ hoàng thái tử nhật dạ thị tật phất li tả hữu,(0: 2),Sơ Hoàng,
属纊之際亦自呼號太后猶為一󰟸関口欲言而辦也,Thuộc khoáng chi tế diệc tự hô hiệu Thái hậu do vi nhất khoảnh quan khẩu dục ngôn nhi biện dã,(8: 9),Thái,
帝作古今宮祠詩并自叙命東閣大𭓇士申仁忠校書吳綸奉評,Đế tác Cổ kim cung từ thi tính tự tự mệnh Đông các đại học sĩ Thân Nhân Trung hiệu thư Ngô Luân phụng bình,"(2: 3), (11: 12), (16: 19), (21: 23)","Cổ, Đông, Thân Nhân Trung, Ngô Luân",
會試天下󰁮人取阮文訓等四十三人,Hội thí thiên hạ cử nhân Thủ Nguyễn Văn Huấn đẳng tứ thập tam nhân,(6: 10),Thủ Nguyễn Văn Huấn,
三月十九日丁酉上親試于敬天殿丹墀詢以治道,Tam nguyệt thập cửu nhật Đinh Dậu thượng thân thí vu KÍnh Thiên điện Đan Trì tuân dĩ trị đạo,"(5: 7), (11: 13), (14: 16)","Đinh Dậu, KÍnh Thiên, Đan Trì",
命兵部尚書定功伯鄭公旦御史󰱑都御史郭有嚴提調户部左侍郎阮弘碩御史󰱑副都御史覃文禮監試翰林院承旨東閣大𭓇士兼國子監祭酒申仁忠翰林院侍讀東閣𭓇士陶󰁮翰林院侍󰕖掌翰林院事刘興孝東閣校,Mệnh Binh bộ thượng thư Định Công bá Trịnh Công Đán Ngự sử đài đô ngự sử Quách Hữu Nghiêm đề điệu Hộ bộ tả thị lang Nguyễn Hoằng Thạc Ngự sử đài phó đô ngự sử Đàm Văn Lễ giám thí Hàn lâm viện thừa chỉ Đông các đại học sĩ kiêm Quốc tử giám tế tửu Thân Nhân Trung Hàn lâm viện thị độc Đông các học sĩ Đào Cử Hàn lâm viện thị giảng chưởng Hàn lâm viện sự Lưu Hưng Hiếu Đông các Hiệu,"(0: 2), (5: 7), (8: 12), (17: 20), (22: 23), (27: 31), (37: 40), (42: 43), (47: 48), (53: 54), (58: 62), (66: 67), (70: 73), (78: 79), (82: 86), (87: 88)","Mệnh Binh, Định Công, Trịnh Công Đán Ngự, Quách Hữu Nghiêm, Hộ, Nguyễn Hoằng Thạc Ngự, Đàm Văn Lễ, Hàn, Đông, Quốc, Thân Nhân Trung Hàn, Đông, Đào Cử Hàn, Hàn, Lưu Hưng Hiếu Đông, Hiệu",
書吳綸吳焕翰林院侍書兼秀林局司訓陳克念翰林院讀書吳󰠐讀卷,thư Ngô Luân Ngô Hoán Hàn lâm viện thị thư kiêm Tú lâm cục tư huấn Trần Khắc Niệm Hàn lâm viện độc thư Ngô Thẩm độc quyển,"(1: 6), (11: 12), (16: 20), (24: 26)","Ngô Luân Ngô Hoán Hàn, Tú, Trần Khắc Niệm Hàn, Ngô Thẩm",
二十六日進諸士人入金鑾殿庭,Nhị thập lục nhật tiến chư sĩ nhân nhập Kim Loan điện đình,(9: 11),Kim Loan,
賜嚴瑗阮勛丁鎏三名進士及第丁󱗦等八名進士出身阮道演等十九名同進士出身,Tứ Nghiêm Viên Nguyễn Huân Đinh Lưu tam danh tiến sĩ cập đệ Đinh Cương đẳng bát danh tiến sĩ xuất thân Nguyễn Đạo Diễn đẳng thập cửu danh đồng tiến sĩ xuất thân,"(0: 7), (13: 15), (22: 25)","Tứ Nghiêm Viên Nguyễn Huân Đinh Lưu, Đinh Cương, Nguyễn Đạo Diễn",
夏五月八日詔曰憲司係言責如有鈌貟󰱇内進士科并各衙門文武各衛司儒指揮有會試中塲果䏻奉公幹事剛直不畏避權貴無過犯,Hạ ngũ nguyệt bát nhật chiếu viết Hiến ti hệ ngôn trách như hữu khuyết viên tuyển nội tiến sĩ khoa tịnh các nha môn văn võ các vệ ti nho chỉ huy hữu hội thí trúng trường quả năng phụng công cán sự cương trực bất uý tị quyền quý vô quá phạm,(7: 8),Hiến,
者銓除憲察副使,giả thuyên trừ Hiến sát phó sứ,(3: 4),Hiến,
又以府縣州官必統諸牧民首領等聀如監生儒生𭓇生按吏各衙門吏會試累中塲年深知務動幹及有軍功等項初授知縣知州縣承同知州守領序班等聀满三年無過犯方許得實授六年無過犯知縣知州除貟外郎縣丞同知州知簿典簿序班除司務主事推官都官等聀满六考無過犯貟外郎同知府始得陞為知府,Hựu dĩ phủ huyện châu quan tất thống chư mục dân thủ lĩnh đẳng chức như giám sinh nho sinh học sinh án lại các nha môn lại hội thí luỹ trúng trường niên thâm tri vụ động cán cập hữu quân công đẳng hạng sơ thụ Tri huyện Tri châu Huyện thừa Đồng tri châu Thủ lĩnh tự ban đẳng chức mãn tam niên vô quá phạm phương hứa đắc thực thụ lục niên vô quá phạm Tri huyện Tri châu trừ Viên ngoại lang Huyện thừa Đồng tri châu Tri bạ Điển bạ Tự ban trừ Tư vụ Chủ sự Thôi quan Đô quan đẳng chức mãn lục khảo vô quá phạm Viên ngoại lang Đồng tri phủ thuỷ đắc thăng vi Tri phủ,"(47: 48), (49: 50), (51: 52), (53: 54), (56: 57), (78: 79), (80: 81), (83: 84), (86: 87), (88: 89), (91: 92), (93: 94), (95: 96), (98: 99), (100: 101), (102: 103), (104: 105), (114: 115), (117: 118), (124: 125)","Tri, Tri, Huyện, Đồng, Thủ, Tri, Tri, Viên, Huyện, Đồng, Tri, Điển, Tự, Tư, Chủ, Thôi, Đô, Viên, Đồng, Tri",
二十二日吏部尚書兼國子監祭酒黎潤阮如堵等奏題本看一本山南,Nhị thập nhị nhật Lại bộ thượng thư kiêm Quốc tử giám tế tửu Lê Nhuận Nguyễn Như Đổ đẳng tấu đề bản khán Nhất bản Sơn Nam,"(4: 5), (9: 10), (14: 19), (24: 25), (26: 28)","Lại, Quốc, Lê Nhuận Nguyễn Như Đổ, Nhất, Sơn Nam",
道監察御史阮陽祺奏各處邊遠州縣吏常𭁈蛮人徃諸各税䏻服水土諳曉夷情可以幹濟事務堪除為本處州縣吏,đạo Giám sát ngự sử Nguyễn Dương Kì tấu các xứ biên viễn châu huyện Lại thường dữ Man nhân vãng chư các thuế năng phục thuỷ thổ am hiểu Di tình khả dĩ cán tế sự vụ kham trừ vi bản xứ châu huyện lại,"(1: 2), (5: 8), (15: 16), (18: 19), (30: 31)","Giám, Nguyễn Dương Kì, Lại, Man, Di",
自今各處儒學訓導鈌貟吏部遵如前例具奏送國子監及各衙門官保󰱇儒生并中塲吏及儒生年三十五歳以上有𭓇問行檢無過犯送禮部考課四塲合格者如例銓除,Tự kim các xứ nho học huấn đạo khuyết viên Lại bộ tuân như tiền lệ cụ tấu tống Quốc tử giám cập các nha môn quan bảo tuyển nho sinh tịnh trúng trường lại cập nho sinh niên tam thập ngũ tuế dĩ thượng hữu học vấn hạnh kiểm vô quá phạm tống Lễ bộ khảo khoá tứ trường hợp cách giả như lệ thuyên trừ,"(10: 11), (19: 20), (54: 55)","Lại, Quốc, Lễ",
八月初二日令州縣擇置社長係姑舅两姨之,Bát nguyệt sơ nhị nhật lệnh châu huyện trạch trí xã trưởng Hệ cô cữu lưỡng di chi,(12: 13),Hệ,
子男女同嫁為婚姻者並不得置為一社社長,tử nam nữ đồng giá vi hôn nhân giả tịnh bất đắc trí vi nhất xã Xã trưởng,(16: 17),Xã,
若已為社長宜擇某人䏻幹事者留餘即奏却還前項,Nhược dĩ vi Xã trưởng nghi trạch mỗ nhân năng cán sự giả lưu dư tức tấu khước hoàn tiền hạng,(3: 4),Xã,
初四日太宗皇帝忌辰,Sơ tứ nhật Thái Tông Hoàng Đế kị thì,(3: 7),Thái Tông Hoàng Đế,
九月以陶󰁮為翰林院侍講東閣𭓇士,Cửu nguyệt dĩ Đào Cử vi Hàn lâm viện thị giảng Đông các học sĩ,"(3: 5), (6: 7), (11: 12)","Đào Cử, Hàn, Đông",
上賜以天南餘暇一部并賜和梁江夜興詩一首及賜錢二十五貫,Thượng tứ dĩ Thiên Nam dư hạ nhất bộ tịnh tứ hoạ Lương Giang dạ hưng thi nhất thủ cập tứ tiền nhị thập ngũ quán,"(3: 5), (12: 14)","Thiên Nam, Lương Giang",
諭行在東閣大学士申仁忠𭓇士陶󰁮云雲去天中月懸空際雲來,Dụ hành tại Đông các đại học sĩ Thân Nhân Trung Học sĩ Đào Cử vân vân khứ thiên trung nguyệt huyền không tế vân lai,"(3: 4), (8: 12), (13: 15)","Đông, Thân Nhân Trung Học, Đào Cử",
則月暗雲去則月明人󰰽不見之其䏻道得者觧,tắc nguyệt ám vân khứ tắc nguyệt minh nhân thục bất kiến chi Kì năng đạo đắc giả giải,(13: 14),Kì,
吾仰觀天上情動于中言刑于外有句云素蟾皎皎玉盤清雲弄寒光暗復明,Ngô ngưỡng quan thiên thượng tình động vu trung ngôn hình vu ngoại hữu câu vân tố thiềm hạo hạo ngọc bàn thanh Vân lộng hàn quang ám phục minh,(23: 24),Vân,
凣人𡸈䏻道之乎歐王脩云廬山髙名節之篇杜子羙亦不䏻為唯吾䏻之𡸈云妄想,Phàm nhân khởi năng đạo chi hồ Âu Vương Tu vân Lư sơn cao danh tiết chi thiên Đỗ Tử Mĩ diệc bất năng vi duy ngô năng chi khởi vân vọng tưởng,"(7: 10), (11: 12), (18: 21)","Âu Vương Tu, Lư, Đỗ Tử Mĩ",
申仁忠陶󰁮詠詩句云瓊島夢殘春萬頃寒江詩落夜三更,Thân Nhân Trung Đào Cử vịnh thi câu vân Quỳnh đảo mộng tàn xuân vạn khoảnh Hàn giang thi lạc dạ tam canh,"(0: 5), (9: 10), (16: 17)","Thân Nhân Trung Đào Cử, Quỳnh, Hàn",
𨿽李杜歐蘇復生未必䏻之唯吾䏻之,Tuy Lí Đỗ Âu Tô phục sinh vị tất năng chi duy ngô năng chi,(0: 5),Tuy Lí Đỗ Âu Tô,
昔錦瑟詩云莊生曉夢迷蝴蝶望帝春心託杜鵑,Tích Cầm sắt thi vân Trang sinh hiểu mộng mê hồ điệp Vọng đế xuân tâm thác đỗ quyên,"(0: 2), (5: 6), (12: 13)","Tích Cầm, Trang, Vọng",
凔海月明珠有淚籃田日暖玉生煙,Thương hải nguyệt minh châu hữu lệ Lam Điền nhật noãn ngọc sinh yên,(7: 9),Lam Điền,
𡸈吾鬪一字之奇以為工誇一字之巧以為羙真直説如歐王脩耳爾如何,Khởi ngô đấu nhất tự chi kì dĩ vi công khoa nhất tự chi xảo dĩ vi mĩ Chân trực thuyết như Âu Vương Tu nhĩ nhĩ như hà,"(18: 19), (22: 25)","Chân, Âu Vương Tu",
勑旨内外𬋩甲府錦衣金吾殿前神武効力五府都督都總兵使等衙門長官公同揀擇該内將校或征戰功勞忠信可任或韜畧講貫武藝精通及才𧥾亷䏻勤幹明敏者方許在職,Sắc chỉ nội ngoại quản giáp phủ Cẩm y Kim ngô Điện tiền Thần vũ Hiệu lực Ngũ phủ đô đốc Đô tổng binh sứ đẳng nha môn trưởng quan công đồng giản trạch cai nội tướng hiệu hoặc chinh chiến công lao trung tín khả nhiệm hoặc thao lược giảng quán võ nghệ tinh thông cập tài thức liêm năng cần cán minh mẫn giả phương hứa tại chức,"(7: 8), (9: 10), (11: 12), (13: 14), (15: 16), (17: 18), (21: 22)","Cẩm, Kim, Điện, Thần, Hiệu, Ngũ, Đô",
敢有揀擇不實訓練不勤以𦤶将校猶多猥冗士卒猶多迯亡六科監察錦衣衛舍人體訪紏奏治罪,Cảm hữu giản trạch bất thực huấn luyện bất cần dĩ trí tướng hiệu do đa ổi nhũng sĩ tốt do đa đào vong Lục khoa giám sát Cẩm y vệ xá nhân thể phỏng củ tấu trị tội,"(24: 25), (28: 29)","Lục, Cẩm",
十二月初六日立洪德二十七年丙辰科進士題名碑,Thập nhị nguyệt sơ lục nhật lập Hồng Đức nhị thập thất niên Bính Thìn khoa tiến sĩ đề danh bi,"(7: 9), (13: 15)","Hồng Đức, Bính Thìn",
丁巳二十八年明弘治十年,Đinh tị nhị thập bát niên Minh Hoằng Trị thập niên ,(6: 9),Minh Hoằng Trị,
春正月初五日令諸税某年徵納至末年納足不得如前今年納明年徵,Xuân chính nguyệt sơ ngũ nhật lệnh Chư thuế mỗ niên trưng nạp chí mạt niên nạp túc bất đắc như tiền kim niên nạp minh niên trưng,(7: 8),Chư,
二十九日辛未帝疾大漸乃憑玉几命皇太子嗣位,Nhị thập cửu nhật Tân Mùi đế tật đại tiềm nãi bằng ngọc kỷ mệnh hoàng thái tử tự vị,(4: 6),Tân Mùi,
帝將崩時有自述詩云五十年華七尺軀剛膓如鐵却成柔風吹牕外黄花謝露浥庭前綠柳癯碧漢望󰠃雲杳杳黄梁夢醒夜悠悠蓬來山上音容断氷玉断魂入夢無,Đế tương băng thời hữu tự thuật thi vân Ngũ thập niên hoa thất xích khu Cương trường như thiết khước thành nhu Phong xuy song ngoại hoàng hoa tạ Lộ ấp đình tiền lục liễu cù Bích hán vọng cùng vân diểu diểu Hoàng Lương mộng tỉnh dạ du du Bồng lai sơn thượng âm dung đoạn Băng ngọc đoạn hồn nhập mộng vô,"(9: 10), (16: 17), (23: 24), (30: 31), (37: 38), (44: 46), (51: 52), (58: 59)","Ngũ, Cương, Phong, Lộ, Bích, Hoàng Lương, Bồng, Băng",
三十日壬子帝崩于寶光殿,Tam thập nhật Nhâm Tí đế băng vu Bảo Quang điện,"(3: 5), (8: 10)","Nhâm Tí, Bảo Quang",
帝生皇子十有四長皇太子𨭗次梁王銓宋王鏦唐王鎬建王鑌福王錚演王鏓廣王鐰林王將應王󱴐義王󱴑鎮王鋞肇王鋑荆王鍵皇女二十在等,Đế sinh hoàng tử thập hữu tứ Trưởng hoàng thái tử Tăng thứ Lương Vương Thuyên Tống Vương Tung Đường Vương Cảo Kiến Vương Tân Phúc Vương Tranh Diễn Vương Thông Quảng Vương Tảo Lâm Vương Tương Ứng Vương Chiêu Nghĩa Vương Cảnh Trấn Vương Kinh Triệu Vương Toan Kinh Vương Kiện hoàng nữ nhị thập tại đẳng,"(7: 8), (11: 12), (13: 52)","Trưởng, Tăng, Lương Vương Thuyên Tống Vương Tung Đường Vương Cảo Kiến Vương Tân Phúc Vương Tranh Diễn Vương Thông Quảng Vương Tảo Lâm Vương Tương Ứng Vương Chiêu Nghĩa Vương Cảnh Trấn Vương Kinh Triệu Vương Toan Kinh Vương Kiện",
作紫霞殿寶文殿金鵉殿寶光殿籃山寝殿,Tác Tử Hà điện Bảo Văn điện Kim Loan điện Bảo Quang điện Lam Sơn tẩm điện,"(0: 3), (4: 6), (7: 9), (10: 12), (13: 15)","Tác Tử Hà, Bảo Văn, Kim Loan, Bảo Quang, Lam Sơn",
初帝即位上仁宗之尊號稱宣慈之徽號,Sơ đế tức vị thượng Nhân Tông chi tôn hiệu xưng Tuyên Từ chi huy hiệu,"(5: 7), (11: 13)","Nhân Tông, Tuyên Từ",
陶表死節則特加旌表,Đào Biểu tử tiết tắc đặc gia tinh biểu,(0: 2),Đào Biểu,
得寧從逆則嚴加顕戮,Đắc Ninh tòng nghịch tắc nghiêm gia hiển lục,(0: 2),Đắc Ninh,
帝常論在朝諸臣云朕有二失一曰政令施爲違道干󰕑二曰素尸在位擾乱天工,Đế thường luận tại triều chư thần vân Trẫm hữu nhị thất nhất viết chính lệnh thi vi vi đạo can dự nhị viết tố thi tại vị nhiễu loạn thiên công,(8: 9),Trẫm,
𨿽内外庶職难以枚󰁮且以其尤者而言都督黎練木偶土人安可加以圓冠方履㢤,Tuy nội ngoại thứ chức nan dĩ mai cử thả dĩ kì vưu giả nhi ngôn Đô đốc Lê Luyện mộc ngẫu thổ nhân an khả gia dĩ viên quán phương lí tai,"(16: 17), (18: 20)","Đô, Lê Luyện",
太師丁列太傅黎念職居三公不聞爕理陰,Thái sư Đinh Liệt Thái phó Lê Niệm chức cư tam công bất văn nhiếp lí âm,"(2: 5), (6: 8)","Đinh Liệt Thái, Lê Niệm",
史臣武瓊曰帝天資髙邁英明果断有䧺才大畧緯武經文而聖學尤勤手不釋卷,Sử thần Vũ Quỳnh viết Đế thiên tư cao mại anh minh quả đoán hữu hùng tài đại lược vĩ võ kinh văn nhi thánh học vưu cần thủ bất thích quyển,"(2: 4), (5: 6)","Vũ Quỳnh, Đế",
𭁈阮直武永謨申仁忠郭廷保杜潤陶󰁮覃文禮為天南餘暇自號天南洞主道庵主人,Dữ Nguyễn Trực Vũ Vĩnh Mô Thân Nhân Trung Quách Đình BẢo Đỗ Nhuận Đào Cử Đàm Văn Lễ vi Thiên Nam dư hạ tự hiệu Thiên Nam động chủ Đạo Am chủ nhân,"(0: 19), (20: 22), (26: 28), (30: 32)","Dữ Nguyễn Trực Vũ Vĩnh Mô Thân Nhân Trung Quách Đình BẢo Đỗ Nhuận Đào Cử Đàm Văn Lễ, Thiên Nam, Thiên Nam, Đạo Am",
入󰱥大統帝知屯般之軰已就誅夷諒山親王又被其害慘然不楽有戚傷心咎其骨肉相残至使外人乘釁一門兄第俱被其禍,Nhập kế đại thống đế tri Đồn Ban chi bối dĩ tựu tru di Lạng Sơn thân vương hựu bị kì hại thảm nhiên bất lạc hữu thích thương tâm cữu kì cốt nhục tương tàn chí sử ngoại nhân thừa hấn nhất môn huynh đệ cụ bị kì hoạ,"(6: 8), (14: 16)","Đồn Ban, Lạng Sơn",
置錦衣金吾二衛,Trí Cẩm y Kim ngô nhị vệ,"(0: 2), (3: 4)","Trí Cẩm, Kim",
又擇信厚之臣以為爪牙心膂阮復黄仁添杜熊武鄰之徒俱擐列左右,Hựu trạch tín hậu chi thần dĩ vi trảo nha tâm lữ Nguyễn Phục Hoàng Nhân Thiêm Đỗ Hùng Vũ Lân chi đồ cụ hoàn liệt tả hữu,(12: 21),Nguyễn Phục Hoàng Nhân Thiêm Đỗ Hùng Vũ Lân,
又慮占㓂世嘗薇吾患今日不剪將何其為乃南征茶全而復其封疆西拨雅蘭而掃其巢穴,Hựu lự Chiêm khấu thế thường vi ngô hoạn kim nhật bất tiễn tương hà kì vi nãi Nam chinh Trà Toàn nhi phục kì phong cương Tây bạt Nhã Lan nhi tảo kì sào huyệt,"(2: 3), (18: 19), (20: 22), (27: 28), (29: 31)","Chiêm, Nam, Trà Toàn, Tây, Nhã Lan",
山蛮有征而威揚乎北,Sơn man hữu chinh nhi uy dương hồ Bắc,(8: 9),Bắc,
盆忙有征而地闢乎西,Bồn Mường hữu chinh nhi địa tịch hồ Tây,"(0: 2), (8: 9)","Bồn Mường, Tây",
其䂓模之畧中興之功可以比肩夏少康蹈迹周宣王薄漢光唐憲於下風矣,Kì quy mô chi lược Trung hưng chi công khả dĩ tỉ khiên Hạ Thiếu Khang đạo tích Chu Tuyên Vương bạc Hán Quang Đường Hiến ư hạ phong hĩ,"(5: 6), (13: 16), (18: 21), (22: 26)","Trung, Hạ Thiếu Khang, Chu Tuyên Vương, Hán Quang Đường Hiến",
長樂皇后,Trường Lạc hoàng hậu,(0: 2),Trường Lạc,
賛曰申仁忠等撰烝㢤聖宗丕承基緒,Tán viết Thân Nhân Trung đẳng soạn  Chưng tai Thánh Tông Phỉ thừa cơ tự,"(2: 5), (7: 8), (9: 12)","Thân Nhân Trung, Chưng, Thánh Tông Phỉ",
曆數在躬臣民徯志握符闡珍,Lịch số tại cung Thần dân hễ chí Ốc phù xiển chân,"(4: 5), (8: 9)","Thần, Ốc",
凝命正位執中建極,Ngưng mệnh chính vị Chấp trung kiến cực,(4: 5),Chấp,
法祖憲天,Pháp Tổ hiến thiên,(0: 2),Pháp Tổ,
仁弘裕後孝篤奉先,Nhân hoằng dụ hậu Hiếu đốc phụng tiên,(4: 5),Hiếu,
文昭奎壁𭓇有淵源,Văn chiêu khuê bích Học hữu uyên nguyên,(4: 5),Học,
惇典用禮遠奸親賢,Đôn điển dụng lễ Viễn gian thân hiền,(4: 5),Viễn,
𫳭綏兆姓文教誕敷,Lung tuy triệu tính Văn giáo đản phu,(4: 5),Văn,
武功耆定山獠遁跡盆蛮㱕命,Vũ công kì định sơn lạo độn tích Bồn Man quy mệnh,(8: 10),Bồn Man,
惟彼占㓂,Duy bỉ Chiêm khấu,(2: 3),Chiêm,
擾我南鄙侵彼四州,Nhiễu ngã Nam bỉ Xâm bỉ tứ châu,"(2: 3), (4: 5)","Nam, Xâm",
親提虎旅髙御龍舟,Thân đề hổ lữ Cao ngự long chu,(4: 5),Cao,
闍槃,Trà Bàn,(0: 2),Trà Bàn,
毛燎尸耐血流,mao liệu Thi Nại huyết lưu,(2: 4),Thi Nại,
茶全授首清廟献俘,Trà Toàn thụ thủ Thanh miếu hiến phù,"(0: 2), (4: 5)","Trà Toàn, Thanh",
萬里闢天古復讐,Vạn Lí tịch địa Thiên cổ phục thù,"(0: 2), (4: 5)","Vạn Lí, Thiên",
蠢蠢老撾挭吾聲教,Xuẩn xuẩn Lão Qua Cánh ngô thanh giáo,(2: 5),Lão Qua Cánh,
帝怒爰赫師興致討,Đế nộ viên hách Sư hưng trí thảo,(4: 5),Sư,
白旗一麾前戈盡倒,Bạch kì nhất huy Tiền qua tận đảo,(4: 5),Tiền,
竹破灰飛庭犁穴掃,Trúc phá hôi phi Đình lê huyệt tảo,(4: 5),Đình,
三垂息侵九夷通道,Tam thuỳ tức xâm Cửu di thông đạo,(4: 5),Cửu,
盛登軒世俗媲󰔄周,Thịnh đăng hiên thế Tục bễ Ngu Chu,"(4: 5), (6: 8)","Tục, Ngu Chu",
深仁厚澤垂四十秋,Thâm nhân hậu trạch Thuỳ tứ thập thu,(4: 5),Thuỳ,
二月初一日皇太子令諭公侯伯文武官等聖父皇帝光啓中興克篤前烈在位三十八年夙夜祗勤,Nhị nguyệt sơ nhất nhật Hoàng thái tử lệnh dụ công hầu bá văn võ quan đẳng Thánh phụ Hoàng Đế quang khải trung hưng khắc đốc tiền liệt tại vị tam thập bát niên túc dạ chi cần,"(5: 6), (17: 18), (19: 21)","Hoàng, Thánh, Hoàng Đế",
至今年春正月三十日辰時崩于寶光宮,Chí kim niên xuân chính nguyệt tam thập nhật Thìn thời băng vu Bảo Quang cung,"(9: 10), (13: 15)","Thìn, Bảo Quang",
予,Dự,(0: 1),Dự,
内外臣民守職如故每日太早就東長安待令候有司擇日行禮,Nội ngoại thần dân thủ chức như cố mỗi nhật thái tảo tựu Đông Trường An đãi lệnh hầu hữu ti trạch nhật hành lễ,(13: 16),Đông Trường An,
仍僃榜文武朝參並著烏紗帽黒圓領衣進詣景門外朝時一次侯行禮如󰀩,Nhưng bị bảng văn võ triều tham tịnh trước ô sa mạo hắc viên lĩnh y tiến nghệ Cảnh Môn ngoại triêu thời nhất thứ hầu hành lễ như nghi,(18: 20),Cảnh Môn,
皇太子諭朝臣曰子生三年然後免父母之𢙇,Hoàng thái tử dụ triều thần viết Tử sinh tam niên nhiên hậu miễn phụ mẫu chi hoài,(7: 8),Tử,
漢文不師古訓遺命短䘮以日易月,Hán Văn bất sư cổ huấn di mệnh đoản tang dĩ nhật dị nguyệt,(0: 2),Hán Văn,
大臣百官皆稽首対曰孝者治天下之大本,Đại thần bách quan giai khể thủ đối viết Hiếu giả trị thiên hạ chi đại bản,(9: 10),Hiếu,
今殿下克遵孝道惇叙彜倫𨿽帝舜之大孝武王之達孝󰓳以尚兹臣等敢不遵行,Kim điện hạ khắc tuân hiếu đạo đôn tự di luân tuy đế Thuấn chi đại hiếu Vũ Vương chi đạt hiếu miệt dĩ thượng tư thần đẳng cảm bất tuân hành,"(13: 14), (17: 19)","Thuấn, Vũ Vương",
奉天府及天下軍民男女著縞素衣停婚嫁三箇月,Phụng Thiên phủ cập thiên hạ quân dân nam nữ trước cảo tố y đình hôn giá tam cá nguyệt,(0: 2),Phụng Thiên,
朝臣定公伯鄭公旦等󱗫皇太子即位不𠃔初六月戊寅太保平涼侯黎志兵部上書定功伯鄭公旦西軍都督府左都督崇溪伯黎永就弘文殿奉迎皇太子即位以明年改為景統元年,Triều thần Định Công Bá Trịnh Công Đán đẳng khuyến Hoàng thái tử tức vị bất doãn Sơ lục nguyệt Mậu Dần Thái bảo Bình lương hầu Lê Chí Binh bộ thượng thư Định Công bá Trịnh Công Đán Tây quân đô đốc phủ tả đô đốc sùng khê bá Lê Vĩnh Tựu Hoằng Văn Điện phụng nghinh Hoàng thái tử tức vị Dĩ minh niên cải vi Cảnh Thống nguyên niên,"(2: 8), (10: 11), (17: 18), (20: 23), (24: 25), (27: 30), (33: 35), (36: 40), (50: 56), (58: 59), (63: 64), (68: 70)","Định Công Bá Trịnh Công Đán, Hoàng, Sơ, Mậu Dần Thái, Bình, Lê Chí Binh, Định Công, Trịnh Công Đán Tây, Lê Vĩnh Tựu Hoằng Văn Điện, Hoàng, Dĩ, Cảnh Thống",
初十日諭六科御史󰱑監察曰進賢退不肖為政之大務也,Sơ thập nhật dụ lục khoa Ngự sử đài giám sát viết Tiến hiền thoái bất tiêu vi chính chi đại vụ dã,"(6: 7), (12: 13)","Ngự, Tiến",
是故任賢勿貳去邪勿疑唐󰔄之所以臻於变枝風旌淑别慝彰善瘅惡成周之所以致太平之治,Thị cố nhiệm hiền vật nhị khứ tà vật nghi Đường Ngu chi sở dĩ trăn ư biến chi phong tinh thục biệt thắc chương thiện đản ác Thành Chu chi sở dĩ trí thái bình chi trị,"(10: 12), (28: 30)","Đường Ngu, Thành Chu",
然慮各衙門官善惡混淆忠邪靡定儻不區處曷示勸懲尔軰司朝廷之綱紀作天,Nhiên lự các nha môn quan thiện ác hỗn hào trung tà mi định thảng bất khu xử hạt thị khuyến trừng Nhĩ bối ti triều đình chi cương kỷ tác thiên,(22: 23),Nhĩ,
勑㫖内外各係大市已有例額者即如前,Sắc chỉ nội ngoại các Hệ đại thị dĩ hữu lệ ngạch giả tức như tiền,(5: 6),Hệ,
若乂安地方軍民諸色𩹌寡飢寒廢疾諸人間有欠食者承憲二司行下府縣官作急類取姓名具本𭛁給見貯官栗每人一百,Nhược Nghệ An địa phương quân dân chư sắc quan quả cơ hàn phế tật chư nhân gian hữu khiếm thực giả Thừa Hiến nhị ti hành hạ phủ huyện quan tác cấp loại thủ tính danh cụ bản phát cấp kiến trữ quan lật mỗi nhân nhất bách,"(0: 3), (22: 24)","Nhược Nghệ An, Thừa Hiến",
十六日頒御諱𨭗并皇太后諱恒,Thập lục nhật ban ngự huý Tranh tịnh Hoàng thái hậu huý Hằng,"(6: 7), (8: 9), (12: 13)","Tranh, Hoàng, Hằng",
令官員吏典有科目及會試中塲鄕試中式及監生儒生生徒遭負母䘮方得守制,Lệnh quan viên lại điển hữu khoa mục cập hội thí trúng trường hương thí trúng thức cập Giám sinh nho sinh sinh đồ tao phụ mẫu tang phương đắc thủ chế,(18: 19),Giám,
