cn,sv,vi
申仁忠禮,Thân Nhân Trung Lễ,Thân Nhân Trung Lễ
覃文禮東,Đàm Văn Lễ Đông,Đàm Văn Lễ Đông
劉興孝,Lưu Hưng Hiếu,Lưu Hưng Hiếu
乂安順化,Nghệ An Thuận Hoá,Nghệ An Thuận Hoá
鄭值,Trịnh Trị,Trịnh Trị
賛,Tán,Tán
黄翕件,Hoàng Hấp Kiện,Hoàng Hấp Kiện
故易,Cố Dịch,Cố Dịch
書,Thư,Thư
廣南都,Quảng Nam Đô,Quảng Nam Đô
升華思義𢙇仁,Thăng Hoa Tư Nghĩa Hoài Nhơn,Thăng Hoa Tư Nghĩa Hoài Nhơn
阮觀賢范盛黎俊茂,Nguyễn Quan Hiền Phạm Thịnh Lê Tuấn Mậu,Nguyễn Quan Hiền Phạm Thịnh Lê Tuấn Mậu
農,Nông,Nông
天會,Thiên Hội,Thiên Hội
若清華乂安順化太原諒山興化宣光,Nhược Thanh Hoa Nghệ An Thuận Hoá Thái Nguyên Lạng Sơn Hưng Hoá Tuyên Quang,Nhược Thanh Hoa Nghệ An Thuận Hoá Thái Nguyên Lạng Sơn Hưng Hoá Tuyên Quang
首,Thủ,Thủ
武伏龍范如裕武世好,Vũ Phục Long Phạm Như Dụ Vũ Thế Hảo,Vũ Phục Long Phạm Như Dụ Vũ Thế Hảo
該,Cai,Cai
清華安拜諒山太原宣光興化,Thanh Hoa Yên Bái Lạng Sơn Thái Nguyên Tuyên Quang Hưng Hoá,Thanh Hoa Yên Bái Lạng Sơn Thái Nguyên Tuyên Quang Hưng Hoá
乂安髙平順化,Nghệ An Cao Bằng Thuận Hoá,Nghệ An Cao Bằng Thuận Hoá
故三,Cố Tam,Cố Tam
六韜,Lục Thao,Lục Thao
崇溪,Sùng Khê,Sùng Khê
黎永都,Lê Vĩnh Đô,Lê Vĩnh Đô
贑川,Cống Xuyên,Cống Xuyên
黎能讓,Lê Năng Nhượng,Lê Năng Nhượng
洵,Tuân,Tuân
然東,Nhiên Đông,Nhiên Đông
禫,Đàm,Đàm
試,Thí,Thí
奉天府,Phụng Thiên Phủ,Phụng Thiên Phủ
陳瑾,Trần Cẩn,Trần Cẩn
倚,Ỷ,Ỷ
弘,Hoằng,Hoằng
我太祖髙皇帝,Ngã Thái Tổ Cao Hoàng Đế,Ngã Thái Tổ Cao Hoàng Đế
華夏,Hoa Hạ,Hoa Hạ
華林,Hoa Lâm,Hoa Lâm
鄭遜吏,Trịnh Tốn Lại,Trịnh Tốn Lại
陳瑾提,Trần Cẩn Đề,Trần Cẩn Đề
阮保翰,Nguyễn Bảo Hàn,Nguyễn Bảo Hàn
黎彦俊,Lê Ngạn Tuấn,Lê Ngạn Tuấn
杜履謙梁得朋阮克儉,Đỗ Lí Khiêm Lương Đắc Bằng Nguyễn Khắc Kiệm,Đỗ Lí Khiêm Lương Đắc Bằng Nguyễn Khắc Kiệm
黄徵阮恒,Hoàng Trưng Nguyễn Hằng,Hoàng Trưng Nguyễn Hằng
陳伯良黎緒,Trần Bá Lương Lê Tự,Trần Bá Lương Lê Tự
賞,Thưởng,Thưởng
山夷占城琉球老撾,Sơn Di Chiêm Thành Lưu Cầu Lão Qua,Sơn Di Chiêm Thành Lưu Cầu Lão Qua
部,Binh,Binh
力,Hiệu,Hiệu
武,Thần,Thần
從户,Tòng Hộ,Tòng Hộ
禄,Lộc,Lộc
范泰,Phạm Thái,Phạm Thái
陳保,Trần Bảo,Trần Bảo
阮逢時,Nguyễn Phùng Thì,Nguyễn Phùng Thì
𫢋跡,Thiên Tích,Thiên Tích
天福,Thiên Phúc,Thiên Phúc
咱皇,Thính Hoàng,Thính Hoàng
貞,Trinh,Trinh
豊祜,Phong Hỗ,Phong Hỗ
丁覩,Đinh Đổ,Đinh Đổ
嘗,Thường,Thường
杜履謙,Đỗ Lí Khiêm,Đỗ Lí Khiêm
五王,Ngũ Vương,Ngũ Vương
梁得朋,Lương Đắc Bằng,Lương Đắc Bằng
阮貴雅,Nguyễn Quý Nhã,Nguyễn Quý Nhã
附翼,Phụ Dực,Phụ Dực
期,Kì,Kì
詔自,Chiếu Tự,Chiếu Tự
陳瑾吏,Trần Cẩn Lại,Trần Cẩn Lại
黎嵩,Lê Tung,Lê Tung
漢宣,Hán Tuyên,Hán Tuyên
珍,Trân,Trân
阮牢,Nguyễn Lao,Nguyễn Lao
清華承,Thanh Hoa Thừa,Thanh Hoa Thừa
違,Vi,Vi
黎永中,Lê Vĩnh Trung,Lê Vĩnh Trung
黎闌,Lê Lan,Lê Lan
淳,Thuần,Thuần
庚子明,Canh Tí Minh,Canh Tí Minh
聖宗皇,Thánh Tông Hoàng,Thánh Tông Hoàng
壬寅明,Nhâm Dần Minh,Nhâm Dần Minh
梁儲,Lương Trừ,Lương Trừ
王縝,Vương Chẩn,Vương Chẩn
黎能讓少,Lê Năng Nhượng Thiếu,Lê Năng Nhượng Thiếu
鄭公旦刑,Trịnh Công Đán Hình,Trịnh Công Đán Hình
阮克恭錦,Nguyễn Khắc Cung Cẩm,Nguyễn Khắc Cung Cẩm
范勉鄰東,Phạm Miễn Lân Đông,Phạm Miễn Lân Đông
范智謙大,Phạm Trí Khiêm Đại,Phạm Trí Khiêm Đại
劉肅清華,Lưu Túc Thanh Hoa,Lưu Túc Thanh Hoa
武達道通,Vũ Đạt Đạo Thông,Vũ Đạt Đạo Thông
武仁脩阮欽范瑾,Vũ Nhân Tu Nguyễn Khâm Phạm Cẩn,Vũ Nhân Tu Nguyễn Khâm Phạm Cẩn
陳珪刑,Trần Khuê Hình,Trần Khuê Hình
裴原道工,Bùi Nguyên Đạo Công,Bùi Nguyên Đạo Công
黎岳刑,Lê Nhạc Hình,Lê Nhạc Hình
阮保珪,Nguyễn Bảo Khuê,Nguyễn Bảo Khuê
壽昌,Thọ Xương,Thọ Xương
鄭季述工,Trịnh Quý Thuật Công,Trịnh Quý Thuật Công
阮僴吏,Nguyễn Giản Lại,Nguyễn Giản Lại
黎嵩海陽,Lê Tung Hải Dương,Lê Tung Hải Dương
阮漢廷,Nguyễn Hán Đình,Nguyễn Hán Đình
市橋,Thị Cầu,Thị Cầu
臨淮,Lâm Hoài,Lâm Hoài
黎達昭户,Lê Đạt Chiêu Hộ,Lê Đạt Chiêu Hộ
陳崇頴御,Trần Sùng Dĩnh Ngự,Trần Sùng Dĩnh Ngự
黄沆安邦,Hoàng Hãng Yên Bang,Hoàng Hãng Yên Bang
鄭葵,Trịnh Quỳ,Trịnh Quỳ
吕瑰,Lữ Khôi,Lữ Khôi
梁儲徐鈺,Lương Trừ Từ Ngọc,Lương Trừ Từ Ngọc
梁儲王縝徐鈺,Lương Trừ Vương Chẩn Từ Ngọc,Lương Trừ Vương Chẩn Từ Ngọc
阮仁浹裴甄,Nguyễn Nhân Thiếpm Bùi Nhân,Nguyễn Nhân Thiếpm Bùi Nhân
徐鈺,Từ Ngọc,Từ Ngọc
小光,Tiểu Quang,Tiểu Quang
儲,Trừ,Trừ
裴甄,Bùi Nhân,Bùi Nhân
盛烈,Thịnh Liệt,Thịnh Liệt
爾安南,Nhĩ An Nam,Nhĩ An Nam
灝,Hạo,Hạo
鏳,Sanh,Sanh
於,Ộ,Ộ
儲縝,Trừ Chẩn,Trừ Chẩn
立景統,Lập Cảnh Thống,Lập Cảnh Thống
己未,Kỷ Mùi,Kỷ Mùi
太𭓇,Thái Học,Thái Học
阮維貞禮,Nguyễn Duy Trinh Lễ,Nguyễn Duy Trinh Lễ
黎蘭馨尚,Lê Lan Hinh Thượng,Lê Lan Hinh Thượng
阮儒宗,Nguyễn Nho Tông,Nguyễn Nho Tông
杜絪通,Đỗ Nhân Thông,Đỗ Nhân Thông
裴端教,Bùi Đoan Giáo,Bùi Đoan Giáo
以郭有嚴,Dĩ Quách Hữu Nghiêm,Dĩ Quách Hữu Nghiêm
鄭季遵,Trịnh Quý Tuân,Trịnh Quý Tuân
度,Độ,Độ
陶舜,Đào Thuấn,Đào Thuấn
鄧俊傳,Đặng Tuấn Truyền,Đặng Tuấn Truyền
初直原,Sơ Trực Nguyên,Sơ Trực Nguyên
黎廣度,Lê Quảng Độ,Lê Quảng Độ
貶東,Biếm Đông,Biếm Đông
吳焕,Ngô Hoán,Ngô Hoán
後辛酉,Hậu Tân Dậu,Hậu Tân Dậu
德廣,Đức Quảng,Đức Quảng
太祖髙皇帝,Thái Tổ Cao Hoàng Đế,Thái Tổ Cao Hoàng Đế
觀稼,Quan Giá,Quan Giá
阮仁浹黎彦俊黎茂賞阮冲慤翰,Nguyễn Nhân Thiếp Lê Ngạn Tuấn Lê Mậu Thưởng Nguyễn Xung Xác Hàn,Nguyễn Nhân Thiếp Lê Ngạn Tuấn Lê Mậu Thưởng Nguyễn Xung Xác Hàn
阮孫蔑東,Nguyễn Tôn Miệt Đông,Nguyễn Tôn Miệt Đông
鄧從矩鄧鳴謙梁得朋翰林,Đặng Tòng Củ Đặng Minh Khiêm Lương Đắc Bằng Hàn Lâm,Đặng Tòng Củ Đặng Minh Khiêm Lương Đắc Bằng Hàn Lâm
阮垣武珠校,Nguyễn Viên Vũ Châu Hiệu,Nguyễn Viên Vũ Châu Hiệu
阮敏,Nguyễn Mẫn,Nguyễn Mẫn
詔繼,Chiếu Kế,Chiếu Kế
阮端,Nguyễn Đoan,Nguyễn Đoan
令禮,Lệnh Lễ,Lệnh Lễ
詔𬋩,Chiếu Quản,Chiếu Quản
轝,Dư,Dư
其御,Kì Ngự,Kì Ngự
詔華,Chiếu Hoa,Chiếu Hoa
阮郁東,Nguyễn Úc Đông,Nguyễn Úc Đông
丁󱴏翰,Đinh Cường Hàn,Đinh Cường Hàn
鄧鳴謙,Đặng Minh Khiêm,Đặng Minh Khiêm
阮弘碩,Nguyễn Hoằng Thạc,Nguyễn Hoằng Thạc
一繼,Nhất Kế,Nhất Kế
若興化安邦宣光諒山,Nhược Hưng Hoá Yên Bang Tuyên Quang Lạng Sơn,Nhược Hưng Hoá Yên Bang Tuyên Quang Lạng Sơn
以刑,Dĩ Hình,Dĩ Hình
揚直原,Dương Trực Nguyên,Dương Trực Nguyên
阮觀賢,Nguyễn Quan Hiền,Nguyễn Quan Hiền
陳翼,Trần Dực,Trần Dực
武有提,Vũ Hữu Đề,Vũ Hữu Đề
揚直原御,Dương Trực Nguyên Ngự,Dương Trực Nguyên Ngự
裴昌澤,Bùi Xương Trạch,Bùi Xương Trạch
左春,Tả Xuân,Tả Xuân
覃文禮禮,Đàm Văn Lễ Lễ,Đàm Văn Lễ Lễ
阮保禮,Nguyễn Bảo Lễ,Nguyễn Bảo Lễ
黎彦俊國,Lê Ngạn Tuấn Quốc,Lê Ngạn Tuấn Quốc
何公程司,Hà Công Trình Tư,Hà Công Trình Tư
黄培太,Hoàng Bồi Thái,Hoàng Bồi Thái
嚴琳進,Nghiêm Lâm Tiến,Nghiêm Lâm Tiến
黎益沐水棠,Lê Ích Mộc Thuỷ Đường,Lê Ích Mộc Thuỷ Đường
清朗,Thanh Lăng,Thanh Lăng
黎𡺄阮文泰,Lê Sạn Nguyễn Văn Thái,Lê Sạn Nguyễn Văn Thái
阮景演黎仁濟,Nguyễn Cảnh Diễn Lê Nhân Tế,Nguyễn Cảnh Diễn Lê Nhân Tế
范謙柄阮茂,Phạm Khiêm Bính Nguyễn Mậu,Phạm Khiêm Bính Nguyễn Mậu
詔各,Chiếu Các,Chiếu Các
杜絪,Đỗ Nhân,Đỗ Nhân
郭有嚴監,Quách Hữu Nghiêm Giám,Quách Hữu Nghiêm Giám
阮秉和给,Nguyễn Bỉnh Hoà Cấp,Nguyễn Bỉnh Hoà Cấp
陳茂材,Trần Mậu Tài,Trần Mậu Tài
匹,Sất,Sất
󰔄,Ngu,Ngu
奇南,Kì Nam,Kì Nam
陳寬,Trần Khoan,Trần Khoan
閣,Các,Các
李東陽,Lí Đông Dương,Lí Đông Dương
有嚴,Hữu Nghiêm,Hữu Nghiêm
丙午建王鑌,Bính Ngọ Kiến Vương Tân,Bính Ngọ Kiến Vương Tân
貞靖,Trinh Tĩnh,Trinh Tĩnh
乂安建安,Nghệ An Kiến An,Nghệ An Kiến An
阮榮,Nguyễn Vinh,Nguyễn Vinh
楊靜,Dương Tĩnh,Dương Tĩnh
秦楚,Tần Sở,Tần Sở
壬,Nhâm,Nhâm
西夷,Tây Di,Tây Di
楊琮,Dương Tông,Dương Tông
并兵,Tịnh Binh,Tịnh Binh
曾,Tằng,Tằng
藻,Tảo,Tảo
豸,Trãi,Trãi
鷁,Ích,Ích
酒,Tửu,Tửu
升,Thăng,Thăng
彗,Tuệ,Tuệ
札橋,Trát Kiều,Trát Kiều
安福,Yên Phúc,Yên Phúc
上福,Thượng Phúc,Thượng Phúc
星,Tinh,Tinh
荆,Kinh,Kinh
肃宗明弘治,Túc Tông Minh Hoằng Trị,Túc Tông Minh Hoằng Trị
泰貞,Thái Trinh,Thái Trinh
圖治,Đồ Trị,Đồ Trị
上陽鑑治圖治長生,Thượng Dương Giám Trị Đồ Trị Trường Sinh,Thượng Dương Giám Trị Đồ Trị Trường Sinh
流盃,Lưu Bôi,Lưu Bôi
稱上陽,Xưng Thượng Dương,Xưng Thượng Dương
安王洵,An Vương Tuân,An Vương Tuân
嗣皇㵮,Tự Hoàng Thuần,Tự Hoàng Thuần
通王溶,Thông Vương Dung,Thông Vương Dung
明王治,Minh Vương Trị,Minh Vương Trị
思王養,Tư Vương Dưỡng,Tư Vương Dưỡng
黎廣度南,Lê Quảng Độ Nam,Lê Quảng Độ Nam
黎達昭,Lê Đạt Chiêu,Lê Đạt Chiêu
皇極,Hoàng Cực,Hoàng Cực
肃宗欽皇帝諱㵮,Túc Tông Khâm Hoàng Đế Huý Thuần,Túc Tông Khâm Hoàng Đế Huý Thuần
󰥙憲宗,Thuần Hiến Tông,Thuần Hiến Tông
敬陵,Kính Lăng,Kính Lăng
荘順,Trang Thuận,Trang Thuận
環天施平陵,Hoàn Thiên Thi Bình Lăng,Hoàn Thiên Thi Bình Lăng
以洪德,Dĩ Hồng Đức,Dĩ Hồng Đức
及憲宗,Cập Hiến Tông,Cập Hiến Tông
嗣皇,Tự Hoàng,Tự Hoàng
肅宗,Túc Tông,Túc Tông
大行,Đại Hành,Đại Hành
體天凝道懋德至仁昭文紹武宣哲欽聖彰孝睿皇帝,Thể Thiên Ngưng Đạo Mậu Đức Chí Nhân Chiêu Văn Thiệu Vũ Tuyên Triết Khâm Thánh Chương Hiếu Duệ Hoàng Đế,Thể Thiên Ngưng Đạo Mậu Đức Chí Nhân Chiêu Văn Thiệu Vũ Tuyên Triết Khâm Thánh Chương Hiếu Duệ Hoàng Đế
荘順明懿皇,Trang Thuận Minh Ý Hoàng,Trang Thuận Minh Ý Hoàng
段世儂,Đoàn Thế Nùng,Đoàn Thế Nùng
時世儂,Thời Thế Nùng,Thời Thế Nùng
髙平,Cao Bằng,Cao Bằng
甲辰憲宗,Giáp Thìn Hiến Tông,Giáp Thìn Hiến Tông
阮仁浹范盛程志,Nguyễn Nhân Thiếp Phạm Thịnh Trình Chí,Nguyễn Nhân Thiếp Phạm Thịnh Trình Chí
鄧讚撿,Đặng Tán Kiểm,Đặng Tán Kiểm
屈瓊玖户,Khuất Quỳnh Cửu Hộ,Khuất Quỳnh Cửu Hộ
刘光輔,Lưu Quang Phụ,Lưu Quang Phụ
阮鄰監,Nguyễn Lân Giám,Nguyễn Lân Giám
阮敬嚴,Nguyễn Kính Nghiêm,Nguyễn Kính Nghiêm
阮寶珪東,Nguyễn Bảo Khuê Đông,Nguyễn Bảo Khuê Đông
陳曰良校,Trần Viết Lương Hiệu,Trần Viết Lương Hiệu
武珠,Vũ Châu,Vũ Châu
成康文景,Thành Khang Văn Cảnh,Thành Khang Văn Cảnh
黎廣度贑川,Lê Quảng Độ Cống Xuyên,Lê Quảng Độ Cống Xuyên
甲戌中,Giáp Tuất Trung,Giáp Tuất Trung
黎廣度宗,Lê Quảng Độ Tông,Lê Quảng Độ Tông
叙,Tự,Tự
興明,Hưng Minh,Hưng Minh
端慶,Đoan Khánh,Đoan Khánh
時阮寶珪,Thời Nguyễn Bảo Khuê,Thời Nguyễn Bảo Khuê
寶珪,Bảo Khuê,Bảo Khuê
五城,Ngũ Thành,Ngũ Thành
效,Hiệu,Hiệu
威穆帝諱濬,Uy Mục Đế Huý Tuấn,Uy Mục Đế Huý Tuấn
諠憲宗,Huyên Hiến Tông,Huyên Hiến Tông
簡脩,Giản Tu,Giản Tu
潆,Dinh,Dinh
安陵帝,An Lăng Đế,An Lăng Đế
昭仁皇,Chiêu Nhân Hoàng,Chiêu Nhân Hoàng
瑾東岸扶軫,Cẩn Đông Ngàn Phù Chẩn,Cẩn Đông Ngàn Phù Chẩn
𬋩寕,Quản Ninh,Quản Ninh
子,Tí,Tí
敬,Kính,Kính
大,Đạị,Đạị
瓊都,Quỳnh Đô,Quỳnh Đô
乙丑端慶,Ất Sửu Đoan Khánh,Ất Sửu Đoan Khánh
昭義顯仁温恭淵默惇孝𠃔恭欽皇帝,Chiêu Nghĩa Hiển Nhân Ôn Cung Uyên Mặc Đôn Hiếu Doãn Cung Khâm Hoàng Đế,Chiêu Nghĩa Hiển Nhân Ôn Cung Uyên Mặc Đôn Hiếu Doãn Cung Khâm Hoàng Đế
肅,Túc,Túc
昭仁弘懿皇,Chiêu Nhân Hoằng Ý Hoàng,Chiêu Nhân Hoằng Ý Hoàng
黎鼐唐安擇,Lê Nại Đường An Trạch,Lê Nại Đường An Trạch
黎鼐裴𠃔文陳棐彰德芝泥,Lê Nại Bùi Doãn Văn Trần Phỉ Chương Đức Chi Nê,Lê Nại Bùi Doãn Văn Trần Phỉ Chương Đức Chi Nê
啓,Khải,Khải
阮肖象陳磊,Nguyễn Tiếu Tượng Trần Lỗi,Nguyễn Tiếu Tượng Trần Lỗi
范󰦛碏阮胥,Phạm Đôn Thục Nguyễn Tư,Phạm Đôn Thục Nguyễn Tư
覃文禮阮人浹范盛程志森,Đàm Văn Lễ Nguyễn Nhân Thiếp Phạm Thịnh Trình Chí Sâm,Đàm Văn Lễ Nguyễn Nhân Thiếp Phạm Thịnh Trình Chí Sâm
初肅宗,Sơ Túc Tông,Sơ Túc Tông
阮汝爲,Nguyễn Nhữ Vi,Nguyễn Nhữ Vi
吕瑰王,Lữ Khôi Vương,Lữ Khôi Vương
汝爲,Nhữ Vi,Nhữ Vi
吕瑰王汝爲,Lữ Khôi Vương Nhữ Vi,Lữ Khôi Vương Nhữ Vi
東京太廟明德,Đông Kinh Thái Miếu Minh Đức,Đông Kinh Thái Miếu Minh Đức
那巖,Na Nham,Na Nham
丹溪,Đan Khê,Đan Khê
鄭侑,Trịnh Hựu,Trịnh Hựu
明光,Minh Quang,Minh Quang
徽嘉靜穆温恭柔順太,Huy Gia Tĩnh Mục Ôn Cung Nhu Thuận Thái,Huy Gia Tĩnh Mục Ôn Cung Nhu Thuận Thái
真元,Chân Nguyên,Chân Nguyên
寶瑞,Bảo Thuỵ,Bảo Thuỵ
東岸扶軫,Đông Ngàn Phù Chẩn,Đông Ngàn Phù Chẩn
宣󰕑,Tuyên Dự,Tuyên Dự
水堂華陵,Thuỷ Đường Hoa Lăng,Thuỷ Đường Hoa Lăng
光羙,Quang Mĩ,Quang Mĩ
廣德隷園,Quảng Đức Lệ Viên,Quảng Đức Lệ Viên
明孝宗,Minh Hiếu Tông,Minh Hiếu Tông
厚照,Hậu Chiếu,Hậu Chiếu
正德是,Chính Đức Thị,Chính Đức Thị
武宗,Vũ Tông,Vũ Tông
昭文,Chiêu Văn,Chiêu Văn
覃文禮御,Đàm Văn Lễ Ngự,Đàm Văn Lễ Ngự
阮光弼,Nguyễn Quang Bật,Nguyễn Quang Bật
初憲宗,Sơ Hiến Tông,Sơ Hiến Tông
昭仁,Chiêu Nhân,Chiêu Nhân
文禮,Văn Lễ,Văn Lễ
光弼,Quang Bật,Quang Bật
姜种阮汝爲,Khương Chủng Nguyễn Nhữ Vi,Khương Chủng Nguyễn Nhữ Vi
至真福,Chí Chân Phúc,Chí Chân Phúc
以黎嵩,Dĩ Lê Tung,Dĩ Lê Tung
起吳煥,Khởi Ngô Hoán,Khởi Ngô Hoán
清華憲,Thanh Hoa Hiến,Thanh Hoa Hiến
明武宗德,Minh Vũ Tông Đức,Minh Vũ Tông Đức
正春,Chính Xuân,Chính Xuân
仁睦,Nhân Mục,Nhân Mục
本,Trần,Trần
曰,Tùng,Tùng
曰,Trúc,Trúc
松,Tùng,Tùng
後竹,Hậu Trúc,Hậu Trúc
黜范謙柄,Truất Phạm Khiêm Bính,Truất Phạm Khiêm Bính
海陽憲,Hải Dương Hiến,Hải Dương Hiến
時謙柄,Thời Khiêm Bính,Thời Khiêm Bính
黎𡺄,Lê Sạn,Lê Sạn
召附翼,Triệu Phụ Dực,Triệu Phụ Dực
貴雅,Quý Nhã,Quý Nhã
絪,Nhân,Nhân
阮光羙吏,Nguyễn Quang Mĩ Lại,Nguyễn Quang Mĩ Lại
阮旌提,Nguyễn Tinh Đề,Nguyễn Tinh Đề
阮仲逵,Nguyễn Trọng Quỳ,Nguyễn Trọng Quỳ
阮子棊,Nguyễn Tử Kì,Nguyễn Tử Kì
德春,Đức Xuân,Đức Xuân
曾鐸,Tăng Đạc,Tăng Đạc
張弘志,Trương Hoằng Chí,Trương Hoằng Chí
以阮󰉎,Dĩ Nguyễn Xao,Dĩ Nguyễn Xao
海陽承,Hải Dương Thừa,Hải Dương Thừa
初󰉎,Sơ Xao,Sơ Xao
後󰉎,Hậu Xao,Hậu Xao
何露,Hà Lộ,Hà Lộ
沈濤,Thẩm Đào,Thẩm Đào
許天錫,Hứa Thiên Tích,Hứa Thiên Tích
天錫,Thiên Tích,Thiên Tích
華文,Hoa Văn,Hoa Văn
阮贄,Nguyễn Chí,Nguyễn Chí
姜种,Khương Chủng,Khương Chủng
贄,Chí,Chí
富平,Phú Bình,Phú Bình
阮仲,Nguyễn Trọng,Nguyễn Trọng
至洪順己巳,Chí Hồng Thuận Kỷ Tị,Chí Hồng Thuận Kỷ Tị
還生,Hoàn Sinh,Hoàn Sinh
僞莫,Nguỵ Mạc,Nguỵ Mạc
義興髙平,Nghĩa Hưng Cao Bằng,Nghĩa Hưng Cao Bằng
春杜,Xuân Đỗ,Xuân Đỗ
以阮時雍,Dĩ Nguyễn Thì Ung,Dĩ Nguyễn Thì Ung
楊直原東,Dương Trực Nguyên Đông,Dương Trực Nguyên Đông
朱宋文翰,Chu Tống Văn Hàn,Chu Tống Văn Hàn
丁順,Đinh Thuận,Đinh Thuận
梁侃,Lương Khản,Lương Khản
阮銓,Nguyễn Thuyên,Nguyễn Thuyên
阮璹翰,Nguyễn Thọ Hàn,Nguyễn Thọ Hàn
尹茂魁户,Doãn Mậu Khôi Hộ,Doãn Mậu Khôi Hộ
黎挺之,Lê Đĩnh Chi,Lê Đĩnh Chi
黎嵩翰,Lê Tung Hàn,Lê Tung Hàn
丁貞監,Đinh Trinh Giám,Đinh Trinh Giám
黎孝忠,Lê Hiếu Trung,Lê Hiếu Trung
黎淵翰,Lê Uyên Hàn,Lê Uyên Hàn
吳綏監,Ngô Tuy Giám,Ngô Tuy Giám
黄岳,Hoàng Nhạc,Hoàng Nhạc
取杜鎣音,Thủ Đỗ Dung Âm,Thủ Đỗ Dung Âm
鎣舒池,Dung Thư Trì,Dung Thư Trì
阮簡清許三省阮有嚴,Nguyễn Giản Thanh Hứa Tam Tỉnh Nguyễn Hữu Nghiêm,Nguyễn Giản Thanh Hứa Tam Tỉnh Nguyễn Hữu Nghiêm
陳倧,Trần Tông,Trần Tông
阮義壽,Nguyễn Nghĩa Thọ,Nguyễn Nghĩa Thọ
以阮伯俊,Dĩ Nguyễn Bá Tuấn,Dĩ Nguyễn Bá Tuấn
清華總,Thanh Hoa Tổng,Thanh Hoa Tổng
阮戇,Nguyễn Trung,Nguyễn Trung
以莫登庸,Dĩ Mạc Đăng Dung,Dĩ Mạc Đăng Dung
登庸平河髙堆,Đăng Dung Bình Hà Cao Đôi,Đăng Dung Bình Hà Cao Đôi
莫挺之陳,Mạc Đĩnh Chi Trần,Mạc Đĩnh Chi Trần
挺之,Đĩnh Chi,Đĩnh Chi
髙髙,Cao Cao,Cao Cao
邃邃,Thuý Thuý,Thuý Thuý
嵩,Tung,Tung
清河蘭溪,Thanh Hà Lan Khê,Thanh Hà Lan Khê
萍萍,Bình Bình,Bình Bình
宜陽古斎,Nghi Dương Cổ Trai,Nghi Dương Cổ Trai
檄檄,Hịch Hịch,Hịch Hịch
鄧春,Đặng Xuân,Đặng Xuân
登庸,Đăng Dung,Đăng Dung
篤信,Đốc Tín,Đốc Tín
橛,Quyết,Quyết
宿,Túc,Túc
黒羅羅,Hắc La La,Hắc La La
朱村田,Chu Thôn Điền,Chu Thôn Điền
陳叔邁,Trần Thúc Mại,Trần Thúc Mại
鶚,Ngạc,Ngạc
記,Ký,Ký
羙,Mĩ,Mĩ
黎炯,Lê Quýnh,Lê Quýnh
征蠻,Chinh Man,Chinh Man
黑羅羅,Hắc La La,Hắc La La
到朱村田,Đáo Chu Thôn Điền,Đáo Chu Thôn Điền
水尾朱䦕,Thuỷ Vĩ Chu Quan,Thuỷ Vĩ Chu Quan
襄翼,Tương Dực,Tương Dực
洪明正德,Hồng Minh Chính Đức,Hồng Minh Chính Đức
乾元,Càn Nguyên,Càn Nguyên
以阮承業,Dĩ Nguyễn Thừa Nghiệp,Dĩ Nguyễn Thừa Nghiệp
模,Mô,Mô
黎炯鄭侑,Lê Quýnh Trịnh Hựu,Lê Quýnh Trịnh Hựu
援雲,Viện Vân,Viện Vân
飛,Phi,Phi
阮鑁,Nguyễn Tông,Nguyễn Tông
端康,Đoan Khang,Đoan Khang
金光,Kim Quang,Kim Quang
阮公論,Nguyễn Công Luận,Nguyễn Công Luận
設宫,Thiết Cung,Thiết Cung
設御,Thiết Ngự,Thiết Ngự
清陽,Thanh Dương,Thanh Dương
華陵養,Hoa Lăng Dưỡng,Hoa Lăng Dưỡng
仁睦帝,Nhân Mục Đế,Nhân Mục Đế
扶軫帝,Phù Chẩn Đế,Phù Chẩn Đế
又,Hựụ,Hựụ
阮廷科,Nguyễn Đình Khoa,Nguyễn Đình Khoa
而荆王,Nhi Kinh Vương,Nhi Kinh Vương
𥳑脩,Giản Tu,Giản Tu
保禄,Bảo Lộc,Bảo Lộc
黎子雲武耿,Lê Tử Vân Vũ Cảnh,Lê Tử Vân Vũ Cảnh
寶慶,Bảo Khánh,Bảo Khánh
至景統,Chí Cảnh Thống,Chí Cảnh Thống
茶福,Trà Phúc,Trà Phúc
楊德簡,Dương Đức Giản,Dương Đức Giản
制謾,Chế Mạn,Chế Mạn
麻末,Ma Mạt,Ma Mạt
罵羅,Ma La,Ma La
耿,Cảnh,Cảnh
姜种阮伯勝,Khương Chủng Nguyễn Bá Thắng,Khương Chủng Nguyễn Bá Thắng
後承教承業,Hậu Thừa Giáo Thừa Nghiệp,Hậu Thừa Giáo Thừa Nghiệp
阮文郎,Nguyễn Văn Lang,Nguyễn Văn Lang
黎能謹,Lê Năng Cẩn,Lê Năng Cẩn
制謾武伯武接,Chế Mạn Vũ Bá Vũ Tiếp,Chế Mạn Vũ Bá Vũ Tiếp
神符,Thần Phù,Thần Phù
簡,Giản,Giản
瀠,Dinh,Dinh
至神符,Chí Thần Phù,Chí Thần Phù
阮演吾楔阮伯髙黎湛,Nguyễn Diễn Ngô Khế Nguyễn Bá Cao Lê Trạm,Nguyễn Diễn Ngô Khế Nguyễn Bá Cao Lê Trạm
阮伯俊承,Nguyễn Bá Tuấn Thừa,Nguyễn Bá Tuấn Thừa
黎嵩參,Lê Tung Tham,Lê Tung Tham
