cn,vi
柳暗花明好鸟枝头也是朋友山峰回转路转白云深处有人家。,"Cành liễu hoa tươi chim đẹp nhánh đầu như bạn;
Nẻo quanh non biếc nơi sâu thẳm thấy nhà ai."
画不能充饥可以作名士文章隐匿姓氏大有一个不正直的人。,"Họa không đủ no, không kể danh sĩ;
Văn mà dấu họ, tất có vấn đề."
追求学习将会成为自己的本领读书贵在于虚心。,"Cầu học cốt cho thực dụng;
Đọc sách quý ở hư tâm."
他的父母在家中有名的婚姻两人同济美堂中有龙凤并增辉。,"Danh hôn dưới gối hai đều đẹp.
Long phượng trong nhà rạng cả đôi."
雨催玉树终天恨云暗竹林两地悲。,"Mưa dồn ngọc thụ chung trời hận
Mây ám trúc lâm lưỡng đất bi."
神功深远莫测圣德沉默地扶持。,"Thần công khôn lường sâu;
Thánh đức phù trì kín."
云拥芦旗天开运包咸水马匹终归神灵。,"Mây cuốn cờ lau', trời mở vận;
Bao hàm ngựa nước, đất linh thiêng."
江山到处风云护护香橘连春雨雾调。,"Núi sông đến đó gió mây bọc;
Hương quất vào xuân mưa móc đều."
波心似镜子留下明月松韵如竹林吹动午风。,"Lòng sông gương sáng trăng còn tỏ
Thông reo sáo thổi gió đang về"
生意就像春天的意思财源就像水源一样。,"Buôn bán như xuân ý;
Tài nguyên tựa nước nguồn."
从前的学问商量更加深邃新的学问更加深刻。,"Học cũ xem ra đều sâu kín;
Mới hay bồi dưỡng sẽ thâm trầm."
上天要保佑他好像在德行德行要盛于高高又难以称名。,"Trời phù hộ hẳn hoan như có mặt;
Đức cao đầy với vời khó nêu tên."
长观皓月静读天书。,"Ngắm nhìn trăng sáng;
Lặng đọc sách trời."
水底何年留显迹于秋台自古以来仰慕余威。,"Đáy nước năm nào, lưu hiển tích;
Đài thu tự cổ, ngưỡng uy thừa."
慈祥之间留下香气培养人才表现女子的美德在故乡留下遗迹勤劳王室显示臣子的忠诚。,"Phòng mẹ thơm hương, nuôi dạy nhân tài nêu liệt nữ;
Làng quê dấu tích, siêng năng việc nước tỏ trung thần."
依然水枕风船重重地向着烟波寻找旧梦何必一定要淡妆浓抹一片空色相见天真。,"Như xưa gối nước thuyền trôi lại hướng sóng mù tìm mộng cũ;
Hà tất thoa son đánh phấn, cứ để không mà được tự nhiên."
清思抱明月高怀对古松。,"Lòng trong trùm trăng sáng;
Nghĩ cao sánh tùng già."
豹的皮和虎的皮虎的皮千狐的腋膀五羊的皮。,"Báo đổi văn đốm, hổ tổ chất đẹp;
Nghìn cáo để lông, năm dê để da."
一条溪水粘天其余的胜地半山拥立后面独有高台。,"Nước vít trời cao thừa thắng địa;
Núi ôm đất thấp biệt cao đài."
九天日月开新运万国笙歌醉太平。,"Nhật nguyệt chín tầng khai vận mới;
Vạn quốc sênh ca túy thái bình."
月下彩娥来跨在凤凰云间仙客近乘龙。,"Người đẹp dưới trăng vui với phượng
Tiên khách đường mây thoả cưỡi rồng."
一江红日高低路两岸风远近图。,"Đường cao thấp ven sông che mặt trời mới mọc;
Gió thổi mát đôi bờ như tranh vẽ gần xa."
堂北萱花荣九秩天南宝婺耀千秋。,"Nhà bắc hoa huyên vinh chín chục.
Trời nam Bảo vụ sáng ngàn năm."
他饱览古今事情淡泊了解南北之情。,"Xem nhiều việc xưa nay;
Biết ít chuyện nam bắc."
沿着台阶的花木树木都显得奇观一座亭子春天的景色近水的楼台多有妖幻的景色满院的兰花风吹拂。,"Bên thềm rực rỡ cỏ hoa, một đình xuân sắc;
Gần sông tháp thoáng lâu đài, đầy viện gié thanh."
东风吹进屋内喜气满门。,"Gió đông vào nhà
Khí lành đầy cửa."
广海仰神麻安澜沾圣德。,"Biển rộng nhớ ơn thần;
Sóng yên nhuần đức thánh."
万里江山新景色三神骨肉欢喜团团。,"Muôn dặm non sông vừa đổi mới;
Ba kỳ ruột thịt lại chung vui."
历朝保护国运千年史越句镇守神灵万古神灵。,"Triều triều rạng rõ ngàn năm sử;
Hồn Việt hun thiêng vạn thuở thần."
鸳鸯对舞回转月光鸾凤同鸣叶纳春。,"Uyên ương múa cặp thu vầng nguyệt.
Loan phượng cùng kêu đón gió xuân."
古寺没有灯火明月照耀山门不锁白云封锁。,"Chùa cổ không đèn, trăng sáng chiếu;
Cửa non chẳng khoá, trắng mây che."
他巧妙地运用神机安抚妙手开辟鬼谷出现乌金。,"Khéo khiến máy thần, hiến tay giỏi;
Mở mang hang quỷ, lấy vàng đen."
奎星天空明朗人文灿烂碧水春深道脉长。,"Sao khuê, trời sáng, nhân văn tỏ;
Nước biếc, xuân sâu, đạo mạch dài."
道是人师现在施行权力开启善化降下佛种应当来兴建显远传灯。,"Đạo lý làm thầy, dẫn dụ quyền hành khai thiện hóa;
Nối đời Phật tử, sau này hưng hiển mãi truyền đăng."
景是神仙心是佛金为世界玉为台。,"Cảnh ấy thần tiên, tâm ấy phật;
Vàng đầy thế giới, ngọc đầy đài."
田野春光真好农家岁月更新。,"Đồng ruộng xuân tươi vui thực;
Nhà nông năm tháng mới hơn."
岩石的灵迹生成了将领变化成了神仙德年奉祀燕水长流外有祠内有寺庙千古尊严。,"Đỉnh núi dấu thiêng, sinh làm tướng, hoá làm thần, muôn năm thờ cúng;
Suối yến chảy mãi, ngoài có đền, trong có chùa, ngàn thuở tôn nghiêm."
树色溪光变得清净欣赏花香鸟语挽住尘缘。,"Sắc cây ánh suối nên thanh tịnh;
Hoa thơm chim hót kết duyên trần."
怎么能完全符合人意只求无愧于我的心。,"Đâu dễ làm vừa ý người;
Chỉ cần không thẹn lòng ta."
保卫越过山河云彩追逐北方扶持陈朝庙社太阳升东方。,"Giữ Việt non sông, mây đuổi Bắc;
Phù Trần xá tắc, mặt trời Đông."
先祖培养历代流传仁义是根本子孙兴旺延长寿命希望德行成为根本。,"Tiên tổ vun trồng, nối đời truyền lại nhân là gốc;
Cháu con hưng vượng, hàng năm nhớ mãi đức làm nên."
祖印重光如慧日香炉续焰如祥云。,"Dấu tổ trùng quang, theo ngày sáng;
Lò hương tiếp đượm, báo mây lành."
普照名兰原自古以来文辞和谐景色日益重新。,"Vốn cổ danh lam, làng Phổ Chiếu;
Sửa sang thắng cảnh, xã Văn Hoá."
流水行云谈论贝叶清风明月忆昙花。,"Nước chẩy mây trôi đàm lá quý
Gió lành trăng sáng tưởng hoa mờ."
神女月宫出生显现出美丽的迹象传说：葛母仪表天下就扬威配鹤峰高。,"Thần nữ cung trăng sinh hiển tích, dáng đẹp truyền nơi Vân Cát;
Mẫu nghi thiên hạ thật uy linh, sánh cùng chim hạc non cao."
变化而生出正气天上下神还在灵巫的地方北南。,"Hoá như sinh chính khí khắp trời trên dưới;
Thần như tại tiếng linh vang cả Bắc Nam."
生为将死为神正气留行于天地并功在史册英名赫赫古今都闻名。,"Sinh làm tướng, tử làm thần, chính khí lưu hành ngang trời đất;
Công tại Trần, danh tại sử, tiếng tăm lừng lẫy suốt xưa nay."
彩烛双辉欢合清歌一曲咏宜家。,"Vui hợp cẩn hai lần đuốc sáng
Vịnh nghi gia một khúc ca thanh."
蛟断长江事往万年保存地志鱼依恋五井春来三月拂西风。,"Chém giao long ở sông dài, việc đã ức năm còn chép đó;
Cá vào tiếng ngọc, tháng ba xuân đến gió tây về."
锦瑟声中鸾对语玉梅花际凤双飞。,"Đàn sắt tiếng trong loan đổi giọng
Hoa mai vẻ ngọc phương đôi bay."
乐奏云歌唱百岁德辉彤史祝千秋。,"Nhạc tấu vân ngao, mừng trăm tuổi
Đức ghi đồng sử, chúc ngàn năm."
国家长久山河巩固天道无边日月长。,"Quốc gia bền mãi non sông vững,
Thiên đạo vô biên ngày tháng dài;"
澄波影里天上的云彩飘动夹岸花间的蝴蝶飞。,"Sóng lặng bóng lay, trời mây động;
Bờ yên hoa nở, bướm chim bay."
客人来了难道是空谈四壁围书聊且当酒春来无别事一廊风月欲催诗。,"Khách đến há chuyện suông, bốn vách sách tranh cẩn có rượu;
Xuân về không việc khác, một vườn trăng gió giục làm thơ."
流水就是这样文武官员王侯的宅第高山长仰止三关深数分宫墙。,"Nước chảy vẫn như thường, văn võ y quan vương hầu phủ đệ;
Núi cao trông mãi thế, tam quan sâu thẳm mây nhận học đường."
香味辛辣到老年才知道桂树茂盛经过秋天才知道松树。,"Thông tươi tốt qua thu mới biết;
Quế cay nồng lên lão càng cay."
太阳照耀光明金殿阁月亮照耀光宅玉楼台。,"Trời chiếu sáng ngời điện gác vàng;
Trăng soi thiền viện lâu đài ngọc."
池上的绿荷挥动着彩笔天边的明月画出新眉。,"Sen biếc trên cao thêm hứng bút.
Bên trời trăng sáng đọng hàng mi."
香留德树花生颜色雪花花萼灵山石发出光芒。,"Cây đức hương thơm hoa sắc thắm;
Núi thiêng tuyết ánh đá sinh quang."
同德同心家道兴盛相亲相爱情深意长。,"Đồng đức, đồng tâm, đạo nhà thịnh;
Tương thân tương ái, tình nghĩa dài."
晚上读茶经能止渴早晨临米帖可以充饥。,"Tối đọc trà kinh dỡ cơn khát;
Sáng bên bồ gạo dễ bụng no."
四季和气春天常在一室安居乐业有余。,"Bốn mùa hoà khí xuân thường đến;
Một cửa yên vui phúc có thừa."
礼乐威仪恭敬如神在歌鼓舞乐在人和谐。,"Lễ nhạc uy nghi, kính như thần tại;
Hát ca cổ vũ, vui ở nhân hòa"
花间酒气春风远村里棋声夜雨寒。,"Trong hoa hơi rượu theo xuân đến;
Đầu xóm hội cờ tiếng mưa đêm."
呜呼许大山河征王不作赵安归翻教历史数千年多渠一死咄咄世界沱海水涨羞耻屏风山凝怨忍看胡须眉毛几百人与贼寇一同生存。,"Nước non rộng rãi đáng than thay! Trưng Vương không dậy, Triệu Ẩu về đâu? khiến cho lịch sử vài nghìn năm, thêm người chết nữa;
Thế giới lung tung đáng sợ thật! Đà Hải thẹn đầy, Bình Sơn thối ứ, nỡ để râu mày mấy trăm kẻ, cùng giặc sống sao?"
旧殿湖山留旺气新祠香火接余灵。,"Hồ núi đó xưa lưu vượng khí;
Tân từ hương hoả tiếp dấu thiêng."
五叶流芳遍大千一花显瑞遍沙界。,"Năm đời lưu truyền để lại tiếng thơm phủ khắp đại thiên thế giới
Một đóa hoa hiện điềm lạnh tỏa khắp pháp giới"
人欢马鸣升平世燕语莺歌锦绣春。,"Người vui ngựa hí, cảnh thái bình;
Yến hót oanh ca, xuân gấm vóc."
心落水木秀发幽深的鱼鸟栖息。,"Tâm an, nước cấy đẹp
Hứng nhã, chim cá nhàn"
阿弥陀息三途苦陀佛剪除十恶缘。,"A Di khiến tất tam đồ khổ;
Đà Phật giải trừ thập ác duyên."
水只有善于下能成为大海山不争高自极天。,"Nước khéo xuông thấp nên thành biển;
Núi chẳng tranh cao tự sát trời."
上苑的梅花开花九十岁高堂的桃树成熟一年有三千。,"Vườn thượng uyển mai mừng xuân chín chục;
Nhà tổ tiên đào chín tuổi ba ngàn."
不必百事一定要如意且喜欢六时长见书。,"Chưa mong trăm việc đều như ý;
Những mừng sáu khắc sách hay xem."
绿水自然形成壑谷春风无日不到山家。,"Nước biếc tự nhiên nên khe lũng;
Gió xuân ngày đến mỗi nhà sàn."
三代金身子育军生膏法雨历朝记载母仪千古翠英风。,"Thân vàng ba thế, nuôi dưỡng quân sinh xem pháp vũ;
Áo cõi mấy triều, mẫu nghi thiên cớ nổi anh phong."
几百年的旧家无不是积德第一等好事还是读书。,"Thế gia mấy trăm năm, không ngoài tích đức;
Việc tốt loại số một, vẫn là đọc sách."
解释前生诸传的债集合群众百姓保证平安。,"Cởi bỏ mọi món nợ truyền kiếp;
Giữ gìn cho trăm họ bình an."
政治通达世世泰泰千门强盛国富民强四海春。,"Chính thông đời tốt nghìn nhà sáng;
Nước mạnh dân giàu bốn biển xuân."
前寿五十天又迎接花甲等待延长十岁再祝祷古代稀少。,"Đã thọ năm tuần lại thêm hoa giáp.
Đợi tròn chục nữa, sẽ chúc cổ hi."
雄王宝剑凿田耕艺圣贤传播业绩尊崇农业。,"Vua Hùng mở nghề dạy cày cấy;
Thánh hiền ban nghiệp trọng nghề nông."
石头上的月光留下变化的痕迹瓶中的影子连着的影子散发出余香。,"Trên đá trăng soi lưu dấu tích
Trong bình sen bóng tản hương thừa."
七形成心自赤万言书写在汗犀青。,"Thất trảm sơ thành tâm tự xích;
Vạn ngôn thư tại hãn do thanh."
为人民服务一腔热血替百姓治理财政两袖清风。,"Phục vụ nhân dân một tấm lòng nhiệt huyết;
Để dân quân chúng hai tay áo thanh phong."
梵字巍峨悬挂日月禅门灿烂对着乾坤。,"Cảnh Phật nguy nga treo nhật nguyệt;
Cửa Thiền xán lạn đối càn khôn."
阳春的瑞兆和祥瑞飞出鹦鹉太吕律和引凤凰。,"Mây trùm dương xuân anh vũ bay.
Luật theo thái lữ phượng hoàng lại."
还没有出地的时候先有符节到了凌云的地方也没有心。,"Khí tiết rồi khi chưa lên khỏi đất;
Cao tận mây lòng vẫn thẳng ngay."
和气盈门迎瑞气春光满眼映文光。,"Hoà khí đầy nhà đón khí lành;
Xuân quang vui mắt ánh văn quang."
物品改良原本不是皮相精神崇尚武力在于革新。,"Đổi mới hàng hoá, bao bì là phụ;
Tinh thần chuộng võ, chính ở cách tân."
上没有听到呼唤小子在雪中空想见先生。,"Chẳng còn nghe thầy hô tiểu tử
Tưởng hoài trong tuyết thấy tiên sinh."
千树梅花半轮月万家烟火一帆风。,"Hoa mai ngàn gốc, nửa vầng trăng
Khói lửa muôn nhà, một buồm gió"
修养心性没有什么好的没有什么欲望最高的快乐没有比读书更好的了。,"Dưỡng tâm gì hơn ít dục;
Tận vui đâu bằng đọc sách."
继承祖先传承宗庙光辉永存连灯续焰映照无边。,"Tiếp nối cháu con ngời sáng mãi;
Lâu đài đèn lửa rạng khôn cùng."
天地之间勤俭最贵家庭中以爱为先。,"Giữa đất trời, cần kiệm quý nhất;
Trong gia đình dạy mến là đầu."
国号万春迹象在龙编名字在史书中志在安定天下生为南帝死为神。,"Quốc hiệu Vạn Xuân, dấu ở Long Biên, tên ở sử;
Chí an thiên hạ, sống làm Nam đế, thác làm thần."
一气转春回桂树郁兰芬芳梅花吐玉三元之气昭示万物化龙飞豹变凤呈丹。,"Xuân về một khí chuyển, quế tốt, lan hương, mai nhả ngọc;
Vật đổi ba tháng đầu, rồng bay, báo biến, phượng khoe màu."
百战立奇功懿亲良将千秋师傅胜迹旧宅新祠。,"Trăm trận lập kỳ công, Hoàng thân tướng giỏi,;
Ngàn thu truyền cảnh đẹp, Cố Trạch đền nay."
锦绣山河壮丽新分春色娇。,"Gấm vóc non sông mạnh;
Tươi tắn xuân sắc xinh."
祖父豆常陈述先祖的精神不死祖父告诉他就大了他的子孙侯杰才出生了。,"Cổ tế thường bày, tiên tổ tinh thần không mất;
Phả họ thật lớn, cháu con hào kiệt đấy lên."
慧眼游览书海平心评论古人。,"Mắt tuệ dạo biển sách;
Bình tâm bàn người xưa."
怎么知道一梦就会飞蝴蝶竟使千秋杜鹃啼泣杜鹃。,"Biết đâu một giấc bay hồ điệp
Để khiến nghìn thu khóc đỗ quyên."
暮鼓晨钟警醒爱何名利？客人经声佛号唤回善海扫荡迷津。,"Chiều trống sáng chuông, cảnh tỉnh kẻ theo đường danh lợi;
Tiếng kinh hiệu Phật, thiện căn gọi khách đắm mê tân."
贤人不虚生于宇宙学习的人常常会合通晓古今。,"Hiền giả chẳng sống thừa trong trời đất;
Người học thường thông suốt cả xưa nay."
昨夜和风吹来满屋今天早晨瑞气到了门口。,"Đêm trước gió lành về ngập hộ;
Sáng nay khí đẹp đến đầy nhà."
新岁日晴街市桃花梅花争着盛开故园春满乡村礼会各自开设。,"Năm mới đẹp trời phố phường đào mai đua nở;
Vườn cũ đầy xuân làng xóm lễ hội khai trương."
祖先的功德万古的精神聚集在草丛中春天祭祀秋天祭祀万年香火煮蒿草。,"Tổ công tông đức, muôn thuở tinh thần hội tụ;
Xuân cúng thu lễ, ức niên hương hoa thơm tho."
历朝皇帝下诏赠陈王显万古灵奎国史传。,"Trần vương hiển các triều sắc tặng;
Sử nước truyền vạn thuở anh linh."
水流扬枝叶洗除灾祸消除灾祸希望修行成人得道。,"Nước cành dương tẩy uế tiêu tai;
Nguyện tu hành thành người đắc đạo."
片刻念念追念恩德保存本族百年香火忆念先祖的功业。,"Tấm lòng tìm hiểu về giống họ;
Trăm năm hương hoả nhớ công xưa."
治国兴邦红旗如火丰衣足食百货如山。,"Giúp nước giúp dân, cờ hồng tựa lửa;
Ăn no mặc ấm, hàng hoá như non."
开辟人间的利路使天下的财源得到。,"Đường lợi nhân gian công khai thác;
Tài nguyên thiên hạ đức nắm quyền."
新年的朝气古国的雄风。,"Năm mới khí mới;
Nước cổ nếp hùng."
山色往往随着高士到来文心又像画家来的。,"Khách quý đến, núi xanh đổi sắc;
Họa sĩ thăm, lòng gợi ý văn."
萱草敷荣寿延八秩婺星焕彩福庆延续千年。,"Cỏ huyên tươi tốt, tiệc thọ tám mươi.
Sao vụ sáng ngời chúc mừng ngàn tuổi."
太皓收深霜染白渔家春早糖摇歌。,"Sáng trưng thu muộn sương nhuốm trắng;
Nhà chài xuân sớm hát mái chèo."
堂上萱草旭日辉辉阶前兰桂长春风。,"Trên nhà cha mẹ vui rạng rỡ;
Dưới thềm con cháu hưởng gió xuân."
义碑松月朗孝雨桂波流。,"Bia nghĩa tùng trăng chiếu;
Mưa hiếu quê sóng vờn."
宝鼎香烟腾紫气银炉烛影闪红光。,"Đỉnh quý khói hương bay khí tía;
Đài ngân ánh nến vút tia hồng."
福田大结因缘果舍宇明开智慧花。,"Quả nhân duyên, kết nhờ ruộng phúc;
Hoa trí tuệ, nở bởi nhà hiền."
俎豆常常陈列先祖的精神不死祖宗的谱系就会大了子孙俊杰才能得以生存。,"Cỗ tế thường bầy, tiên tổ tinh thần không mất;
Phả họ thật lớn, cháu con hào kiệt dấy lên."
春风大雅能容纳万物秋水清澈文章不染尘。,"Xuân phong đại nhã bao dung vật;
Thu thuỷ văn chương chẳng nhiễm trần."
观赏竹子梅花来修养性情听松涛来抒发胸怀。,"Nhìn trúc mai để dưỡng tính;
Nghe tùng sóng mà tráng hoài (làm lớn hoài bão của mình)."
看不见听不见阴气扶旺互相感应必然通行求必然响应人民依赖安康。,"Nhìn chẳng thấy, nghe chẳng cùng, âm phù thịnh vượng;
Cảm tất thông, cầu tất ứng, dân cậy an khang."
水流新韵山流翠竹报答平平安梅报答春。,"Nước khơi vần mới non khơi biếc;
Trúc báo bình an mai báo xuân."
恩惠安抚四方好像在上在左右沐浴神灵万古保护此土这样的人民。,"Nối tiếp bốn mùa, như ở trên, như trái phải;
Linh thiêng muón thuở, giữ đất này, nhân dân này."
翠色的眼睛看花满目花花出门就见喜喜满门。,"Ngước mắt nhìn hoa hoa đầy mắt;
Ra nhà được hỷ hỷ đầy nhà."
诰贲五花堂连接四代称九月福祚繁衍三多。,"Rực rỡ năm màu nhà liền tứ đại.
Rượu mừng tháng chín phúc đủ tam đa."
上天增添岁月人人增添寿春满满乾坤福满堂。,"Trời tăng năm tháng người tăng thọ.
Xuân đầy trời đất phúc đầy nhà;"
明月清风百类鱼禽都是园中的颜色金枝玉叶四季花草都有天香。,"Gió mát trăng thanh, trăm loại ngư cầm đều quốc sắc;
Cành vàng lá ngọc, bốn mùa hoa thảo có hương trời."
虽说智慧生于灵府更需要功夫在笔头。,"Dẫu rằng trí tuệ do trời giúp;
Vẫn phải siêng năng việc học hành."
互相敬爱互相学习同德同心共建家庭。,"Lẫn kính, lẫn yêu, lẫn giúp học tập
Cùng đức, cùng lòng, cùng xây gia đình."
偏浊慧云仙露降高悬宝镜慧珠圆。,"Sương tiên giáng mây từ riêng tưới;
Ngọc tuệ tròn kính báu còn vương."
珠玉腾辉琉璃换彩天中映月海上明星。,"Châu ngọc trưng mẫu, lưu ly rạng vẻ;
Trời cao trăng sáng, biển biếc sao ngời."
随时尽录旧金史尽日放怀天地间。,"Tuỳ thời chép hết việc xưa nay;
Hết ngày rong chơi trong trời đất."
山青水秀风光好人寿年丰喜庆多。,"Non xanh nước biếc phong quang lắm;
Người thọ mùa vui lễ hội nhiều."
福人福地培培厚文子孙子扬扬长大。,"Người phúc đất phúc nên đầy đặn;
Cháu hay con giỏi sẽ lâu dài."
周南风化归于仁厚大学心传至孝慈。,"Phong hoá Chu nam, chủ nhân hậu;
Tâm truyền Đại học, chỉ hiếu từ."
妙法辉煌照耀北郡云帆普济南方。,"Phép diệu sáng ngời, ngời quận bắc;
Buồm mây tế độ, độ phương nam."
伞岭雄山通国际仙花富石屹立乡祠。,"Đỉnh Tản non Hùng thông quốc mạch;
Hoa tiên đá chất khắp đền quê."
北望原千里遥远南来应伴半行孤行。,"Bắc ngóng cánh chim xa nghìn dặm
Nam về bầy nhạn lẻ nửa hàng."
老鼠去牛来听到老虎啸声人民殷殷国家富足看到龙飞。,"Chuột chạy trâu về nghe hổ thét;
Dân yên nước thịnh ngó rồng bay."
万树欢欣随春水绿百花争向阳光红。,"Nước biếc xuân về cây hớn hở;
Trời hồng ấm đến vạn hoa đua."
有质朴而没有文采毛发将要使它显露出来知识格物的皮肤可以显示出它的存在。,"Có chất lượng không màu mè, lòng còn là phụ;
Biết đến nơi hiểu đến chốn, da tất phải còn."
八代初开鼓山歌咏历代的襟襟留下玉牒千载后戒盘海誓忠念孝李奉金章。,"Tám đời xưa, Đông Cổ truyền ngôi, trải các triều bao phong, lưu ngọc điệp;
Ngàn năm sau, Châu Bản thể biến, nguyện một lòng trung hiếu, phụng kim chương."
声名洋溢尊敬亲人共同德化周流拯救万物同。,"Lẫy lừng danh tiếng, người thân dự;
Rộng đường ân huệ, tạm hương cùng."
上天赐给他永远的寿命继续引用鲁彭的岁月地震地震动旺盛的气氛嬉游于北方北方的乾坤。,"Trời phú tuổi cao, năm tháng Kiều Bành còn đủng đỉnh;
Đất bồi khí vượng, đường đời Âu Á vẫn thènh thang."
纸上请来始终觉得很浅心中觉悟出来才知道深。,"Chỉ thượng độc lai chung giác thiển;
Tâm trung ngộ xuất thủy tri thâm."
灼灼桃花初试喜祥昭昭兰兆早呈吉祥。,"Rực rỡ đào hoa, vừa báo hỉ;
Rõ rệt dấu lan, gợi điềm lành."
德泽长留风物在莲台上仰望水云迷惑。,"Cảnh vật còn đây ơn đức nhớ;
Nước mây mờ mịt cảnh tiên mong."
上天要保佑他浩浩荡荡如同在德行要盛大高大难以称名。,"Trời phù hộ hân hoan như có mặt;
Đức cao đầy vời vợi khó nêu tên."
交杯不要坠入青云的志向结婚应当保存立业的心思。,"Sau rượu cưới chí thanh vân chớ nhụt;
Tuần trăng mật lòng lập nghiệp nên còn."
莲池独诵长生叶璧水连征召世才。,"Ao sen ca tụng lá trường sinh.
Nước biếc ngợi khen người tài đức."
天下没有穷尽只有道义道理世间没有什么价值是文章。,"Thiên hạ không cùng, duy nghĩa lý;
Thế gian vô giá, ấy văn chương."
独鹤愁悲双凤管孤鸾哀断七弦琴。,"Hạc lẻ sầu bi đôi ống quyển
Loan cô đứt đoạn bẩy dây đàn."
利如晓日腾云起财如春潮带雨来。,"Lợi như ngày nắng cưỡi mây dậy;
Của tựa triều xuân đón nước về."
当面的命令只是现在没有一句话心中的丧事不可能短三年。,"Trước mặt đến nay không một ngữ
Tang lòng chưa thể trọn ba năm."
四海风光随处都好满天雨露随时新。,"Bốn bể phong quang nơi nơi tốt;
Đây trời mưa móc ứng thời tân."
驾御雨水腾腾云影圣统消除妖孽祸患严肃神威。,"Hình đức thánh đi mây về vũ;
Dậy oai thần diệt nạn trừ yêu."
佛道慈悲你你顿觉路上的菩提胜景人人沐浴大地。,"Đạo Phật từ bi kẻ kẻ qui đường giác ngộ;
Bồ Đề thắng cảnh người người tắm gội ơn lành."
灯光映照绣挥彩笔杯交暑日新眉。,"Ánh đuốc rèm thêu rạng vẻ bút.
Chén trao ngày nóng vẽ tươi mày."
青灯夜雨滋润文采蓝田春色上罗衣。,"Mưa tối đèn xanh tươi cảnh vật
Xuân sắc lam điền đẹp áo hoa."
仁基义址千年盛春花秋菊万古香。,"Nền cơ đất nghĩa, ngàn năm thịnh;
Xuân tế thu câu, muôn thuở hương."
尔朱荣生了一家有两个奇女羞愧地死了当时的几个男子。,"Khá khen một cừa hai kỳ nữ;
Đáng thẹn đương thời mấy trượng phu."
宜男草发连枝绿多子花开到第一朵红。,"Nên trai thịnh phát liền khoa bảng.
Lắm con hoa nở nối ngôi cao."
冬天离去山青水秀春天来了鸟语花香。,"Đông hết non xanh nước biếc;
Xuân về chim hót hoa thơm."
青色生出锦绣的步子绚丽的玉璧腾腾的燕子翼翼美好的声音游于碧水之中彩笔描绘新眉瑟琴和叶子的韵调谋令绪引上红丝。,"Thành đạt tạo dáng đi, bến ngọc cao bay cánh yến, tiếng kêu vọng nước xanh.
Bút tốt vẽ hàng mi, cầm sắt lá reo bày đặt, se chắp mối tơ hồng."
花雨松风月色茶烟琴韵书声。,"Mưa hoa, gió tùng, vẻ nguyệt;
Khói trà, đàn điệu, giọng văn."
鸟欲高飞先振翅人求上进早读书。,"Chim muốn bay cao trước vỗ cánh;
Người cầu tiến bộ chăm sách đèn."
大漠孤烟直长河落日圆。,"Sa mạc lớn làm trơ cột khói đứng;
Đại giang dài lơ lửng mặt trời tròn."
上天为什么要说呢？显道不关我的一点神灵阴灵只在忠诚的经典上。,"Trời nói gì đâu, đạo hiển nào do ta bói;
Thần duy có một, âm chất chi ở trung kinh."
桃花点缀着翠色的芳香千朵蒸饼开放紫紫万家。,"Hoa đào nở, thơm lừng ngàn đóa;
Bánh chưng khui, vui vẻ muôn nhà."
年纪已高椿萱并茂时逢盛世兰桂同芳。,"Trời cho tuổi thọ, xuân huyên đều tốt.
Gặp thời thịnh trị, lan quế cùng thơm."
一条水向前敞开明亮善地众星环绕朱珍屯驻的基础。,"Một dòng nước phía trước, mở thế đất mình đường hiếu thiện;
Các ngôi sao vây quanh, tạo nên móng tập hợp khí lành."
青地弘开传授佛道笆林通达转法轮。,"Thành địa mở mang truyền đạo phật;
Trúc lâm thông đạt chuyển pháp luân."
大丈夫应当在死中同生在祸中求福古人有贫困的时候才能修养道德贫穷的时候就著书。,"Trượng phu trong chỗ chết tìm sống, cầu phúc trong họa;
Cổ nhân gặp khốn mà tu đức, viết sách lúc cùng."
堂上客人满堂瑞气门前花草送新香。,"Khách bạn đây nhà nồng khí thịnh;
Cỏ hoa trước cửa ngát mùi hương."
创建胜景禅处并且记载千秋万载光辉日月造成连坐石座留传万古与江山相对。,"Sáng lập cảnh đẹp chùa am, sử chép nghìn thu ngời nhật nguyệt;
Tạo nên tòa sen bệ đá, người truyền muôn thuở với non sông."
一方清泰蒙神佑两字康宁叩圣扶。,"Một phương an thái ơn thần giúp;
Hai chữ khang ninh khẩn thánh phù."
八秩筵欢舞绿色千年宝婺喜生辉。,"Tám chục tiệc hoa mừng múa đẹp.
Ngàn năm Bảo vụ rạng niềm vui."
玉经焕发光彩忠臣业业履行名声高超贤哲的功绩。,"Ngọc sách vẻ vang sự bậc trung thần;
Đường danh toả sáng công đức triết hiền."
天下奇观看尽不如书卷喜欢世间的滋味书来不过是菜根香。,"Xem đủ kỳ quan thiên hạ, chẳng bằng đọc sách hay;
Từng nếm vị lạ thế gian, chẳng qua hương rau cỏ."
婺星呈辉增添秋色萱草敷荣庆老年。,"Sao vụ sáng ngời đẹp vẻ thu.
Cỏ huyên thắm sắc mừng cao tuổi."
新成新年新景春风春雨春花。,"Tuổi mới năm mới cảnh mới;
Mưa xuân gió xuân hoa xuân."
吐凤雄才成博议画娥彩笔点新诗。,"Tài hùng nhả phượng thành bác nghị.
Bút hay vẽ đẹp điểm tân thi."
